Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.05,0.05,0.05,0.05,306000,0.05
2013-09-19,0.05,0.05,0.05,0.05,359300,0.05
2013-09-18,0.05,0.05,0.05,0.05,1030900,0.05
2013-09-17,0.05,0.05,0.05,0.05,1568400,0.05
2013-09-16,0.05,0.05,0.05,0.05,2131500,0.05
2013-09-13,0.05,0.05,0.05,0.05,771700,0.05
2013-09-12,0.06,0.06,0.05,0.05,1663000,0.05
2013-09-11,0.06,0.06,0.05,0.05,5550000,0.05
2013-09-10,0.04,0.06,0.04,0.06,15210400,0.06
2013-09-09,0.05,0.05,0.04,0.04,1258000,0.04
2013-09-06,0.05,0.06,0.05,0.05,267800,0.05
2013-09-05,0.05,0.06,0.05,0.05,870100,0.05
2013-09-04,0.05,0.05,0.05,0.05,132500,0.05
2013-09-03,0.05,0.06,0.05,0.05,712600,0.05
2013-09-02,0.04,0.05,0.04,0.05,2136600,0.05
2013-08-30,0.04,0.04,0.04,0.04,1323600,0.04
2013-08-29,0.04,0.04,0.04,0.04,675300,0.04
2013-08-28,0.03,0.03,0.03,0.03,361400,0.03
2013-08-27,0.04,0.04,0.04,0.04,30000,0.04
2013-08-26,0.03,0.03,0.03,0.03,50000,0.03
2013-08-23,0.04,0.04,0.04,0.04,000,0.04
2013-08-22,0.04,0.04,0.04,0.04,000,0.04
2013-08-21,0.04,0.04,0.04,0.04,000,0.04
2013-08-20,0.04,0.04,0.04,0.04,000,0.04
2013-08-19,0.04,0.04,0.04,0.04,23900,0.04
2013-08-16,0.04,0.04,0.04,0.04,000,0.04
2013-08-15,0.04,0.04,0.04,0.04,000,0.04
2013-08-14,0.04,0.04,0.04,0.04,000,0.04
2013-08-13,0.04,0.04,0.04,0.04,240000,0.04
2013-08-12,0.04,0.04,0.04,0.04,000,0.04
2013-08-09,0.04,0.04,0.04,0.04,000,0.04
2013-08-08,0.04,0.04,0.04,0.04,000,0.04
2013-08-07,0.04,0.04,0.04,0.04,000,0.04
2013-08-06,0.04,0.04,0.04,0.04,198800,0.04
2013-08-05,0.05,0.05,0.05,0.05,000,0.05
2013-08-02,0.05,0.05,0.05,0.05,000,0.05
2013-08-01,0.05,0.05,0.05,0.05,000,0.05
2013-07-31,0.05,0.05,0.05,0.05,000,0.05
