Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.11,0.12,0.10,0.12,340000,0.12
2013-09-19,0.12,0.12,0.12,0.12,51900,0.12
2013-09-18,0.12,0.12,0.12,0.12,20800,0.12
2013-09-17,0.12,0.12,0.12,0.12,000,0.12
2013-09-16,0.12,0.12,0.12,0.12,17400,0.12
2013-09-13,0.12,0.12,0.12,0.12,13000,0.12
2013-09-12,0.12,0.12,0.12,0.12,20300,0.12
2013-09-11,0.12,0.13,0.12,0.13,56400,0.13
2013-09-10,0.12,0.12,0.12,0.12,14400,0.12
2013-09-09,0.12,0.12,0.12,0.12,000,0.12
2013-09-06,0.12,0.12,0.12,0.12,20000,0.12
2013-09-05,0.12,0.12,0.12,0.12,37000,0.12
2013-09-04,0.12,0.12,0.12,0.12,39000,0.12
2013-09-03,0.12,0.12,0.12,0.12,285300,0.12
2013-09-02,0.11,0.11,0.11,0.11,19000,0.11
2013-08-30,0.11,0.11,0.11,0.11,7000,0.11
2013-08-29,0.12,0.12,0.12,0.12,000,0.12
2013-08-28,0.12,0.12,0.12,0.12,10000,0.12
2013-08-27,0.12,0.12,0.12,0.12,96000,0.12
2013-08-26,0.12,0.12,0.12,0.12,000,0.12
2013-08-23,0.12,0.12,0.12,0.12,15000,0.12
2013-08-22,0.11,0.11,0.11,0.11,000,0.11
2013-08-21,0.12,0.12,0.11,0.11,245200,0.11
2013-08-20,0.12,0.12,0.11,0.12,275000,0.12
2013-08-19,0.10,0.11,0.09,0.11,35000,0.11
2013-08-16,0.12,0.12,0.12,0.12,77900,0.12
2013-08-15,0.13,0.13,0.13,0.13,30000,0.13
2013-08-14,0.13,0.13,0.12,0.12,30000,0.12
2013-08-13,0.13,0.13,0.13,0.13,2100,0.13
2013-08-12,0.14,0.14,0.14,0.14,10000,0.14
2013-08-09,0.16,0.16,0.16,0.16,000,0.16
2013-08-08,0.16,0.16,0.16,0.16,000,0.16
2013-08-07,0.16,0.16,0.16,0.16,000,0.16
2013-08-06,0.16,0.16,0.16,0.16,000,0.16
2013-08-05,0.16,0.16,0.16,0.16,000,0.16
2013-08-02,0.16,0.16,0.16,0.16,5100,0.16
2013-08-01,0.17,0.19,0.17,0.18,132300,0.18
2013-07-31,0.14,0.15,0.14,0.15,28200,0.15
2013-07-30,0.13,0.14,0.13,0.14,70000,0.14
2013-07-29,0.12,0.13,0.12,0.12,108200,0.12
2013-07-26,0.12,0.12,0.12,0.12,000,0.12
2013-07-25,0.12,0.12,0.12,0.12,000,0.12
2013-07-24,0.11,0.12,0.11,0.12,11600,0.12
2013-07-23,0.10,0.11,0.10,0.11,80500,0.11
2013-07-19,0.09,0.09,0.09,0.09,10000,0.09
2013-07-18,0.10,0.10,0.09,0.09,9600,0.09
2013-07-17,0.10,0.10,0.10,0.10,000,0.10
2013-07-16,0.10,0.10,0.10,0.10,36600,0.10
2013-07-15,0.10,0.10,0.09,0.09,120000,0.09
2013-07-12,0.10,0.10,0.10,0.10,42000,0.10
2013-07-11,0.11,0.11,0.11,0.11,000,0.11
2013-07-10,0.10,0.12,0.10,0.11,115500,0.11
2013-07-09,0.10,0.10,0.09,0.09,15000,0.09
2013-07-08,0.10,0.10,0.10,0.10,23200,0.10
2013-07-05,0.10,0.10,0.10,0.10,000,0.10
2013-07-04,0.11,0.11,0.10,0.10,80800,0.10
2013-07-03,0.10,0.10,0.10,0.10,52800,0.10
2013-07-02,0.10,0.11,0.10,0.11,102000,0.11
2013-07-01,0.10,0.10,0.10,0.10,000,0.10
2013-06-28,0.09,0.10,0.09,0.10,222000,0.10
2013-06-27,0.10,0.10,0.09,0.09,40400,0.09
2013-06-26,0.09,0.10,0.09,0.10,38800,0.10
2013-06-25,0.10,0.10,0.10,0.10,107600,0.10
2013-06-24,0.11,0.11,0.10,0.10,68000,0.10
2013-06-21,0.12,0.12,0.10,0.10,70000,0.10
2013-06-20,0.13,0.14,0.13,0.14,112000,0.14
2013-06-18,0.14,0.14,0.14,0.14,16700,0.14
2013-06-17,0.14,0.14,0.14,0.14,5000,0.14
2013-06-14,0.12,0.12,0.12,0.12,22000,0.12
2013-06-13,0.12,0.12,0.12,0.12,95000,0.12
2013-06-12,0.12,0.12,0.12,0.12,18700,0.12
2013-06-11,0.12,0.12,0.12,0.12,15300,0.12
2013-06-10,0.12,0.12,0.12,0.12,000,0.12
2013-06-07,0.12,0.12,0.12,0.12,97500,0.12
2013-06-06,0.11,0.11,0.11,0.11,000,0.11
2013-06-05,0.10,0.11,0.10,0.11,150000,0.11
2013-06-04,0.11,0.11,0.10,0.10,130000,0.10
2013-06-03,0.11,0.12,0.10,0.12,155000,0.12
2013-05-31,0.12,0.12,0.12,0.12,20000,0.12
2013-05-30,0.11,0.11,0.11,0.11,80000,0.11
2013-05-29,0.12,0.12,0.10,0.10,265500,0.10
2013-05-28,0.12,0.12,0.12,0.12,70000,0.12
2013-05-27,0.14,0.14,0.14,0.14,000,0.14
2013-05-24,0.14,0.14,0.14,0.14,000,0.14
2013-05-23,0.12,0.14,0.12,0.14,12300,0.14
2013-05-22,0.12,0.12,0.12,0.12,55000,0.12
2013-05-21,0.12,0.12,0.12,0.12,34000,0.12
2013-05-20,0.12,0.12,0.12,0.12,000,0.12
2013-05-17,0.12,0.12,0.10,0.12,108800,0.12
2013-05-16,0.11,0.12,0.11,0.11,293000,0.11
2013-05-15,0.12,0.12,0.10,0.10,235000,0.10
2013-05-14,0.12,0.13,0.12,0.13,116000,0.13
2013-05-13,0.13,0.13,0.13,0.13,000,0.13
2013-05-10,0.13,0.13,0.13,0.13,24700,0.13
2013-05-09,0.12,0.12,0.12,0.12,000,0.12
2013-05-08,0.12,0.12,0.12,0.12,20000,0.12
2013-05-07,0.13,0.13,0.13,0.13,88000,0.13
2013-05-06,0.16,0.16,0.16,0.16,2900,0.16
2013-05-03,0.14,0.16,0.14,0.16,21700,0.16
2013-05-02,0.13,0.13,0.13,0.13,30600,0.13
2013-05-01,0.14,0.14,0.13,0.13,140000,0.13
2013-04-30,0.13,0.14,0.12,0.14,237400,0.14
2013-04-26,0.17,0.17,0.17,0.17,5300,0.17
2013-04-25,0.16,0.16,0.16,0.16,000,0.16
2013-04-24,0.15,0.16,0.15,0.16,83300,0.16
2013-04-23,0.14,0.14,0.14,0.14,000,0.14
2013-04-22,0.14,0.14,0.14,0.14,10600,0.14
2013-04-19,0.15,0.15,0.14,0.15,79600,0.15
2013-04-18,0.17,0.17,0.16,0.16,14500,0.16
2013-04-17,0.17,0.18,0.17,0.17,80200,0.17
2013-04-16,0.16,0.18,0.16,0.18,171300,0.18
2013-04-15,0.16,0.16,0.15,0.15,5000,0.15
