Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.05,0.05,0.05,0.05,65300,0.05
2013-09-19,0.06,0.06,0.06,0.06,000,0.06
2013-09-18,0.06,0.06,0.06,0.06,000,0.06
2013-09-17,0.06,0.06,0.06,0.06,97400,0.06
2013-09-16,0.05,0.06,0.05,0.06,113900,0.06
2013-09-13,0.05,0.05,0.05,0.05,24700,0.05
2013-09-12,0.06,0.06,0.06,0.06,000,0.06
2013-09-11,0.06,0.06,0.06,0.06,9100,0.06
2013-09-10,0.05,0.06,0.05,0.06,24400,0.06
2013-09-09,0.06,0.06,0.05,0.05,135000,0.05
2013-09-06,0.06,0.06,0.05,0.05,933300,0.05
2013-09-05,0.06,0.06,0.06,0.06,20000,0.06
2013-09-04,0.05,0.06,0.05,0.06,220500,0.06
2013-09-03,0.05,0.05,0.05,0.05,80000,0.05
2013-09-02,0.05,0.05,0.05,0.05,000,0.05
2013-08-30,0.05,0.05,0.05,0.05,000,0.05
2013-08-29,0.05,0.05,0.05,0.05,68900,0.05
2013-08-28,0.05,0.05,0.05,0.05,000,0.05
2013-08-27,0.05,0.05,0.05,0.05,450000,0.05
2013-08-26,0.05,0.05,0.05,0.05,50000,0.05
2013-08-23,0.05,0.05,0.05,0.05,150000,0.05
2013-08-22,0.05,0.05,0.05,0.05,110000,0.05
2013-08-21,0.05,0.05,0.05,0.05,000,0.05
2013-08-20,0.05,0.05,0.05,0.05,250000,0.05
2013-08-19,0.05,0.05,0.05,0.05,000,0.05
2013-08-16,0.05,0.05,0.05,0.05,95000,0.05
2013-08-15,0.06,0.06,0.06,0.06,5800,0.06
2013-08-14,0.06,0.06,0.06,0.06,000,0.06
2013-08-13,0.06,0.06,0.06,0.06,14400,0.06
2013-08-12,0.05,0.06,0.05,0.06,56700,0.06
2013-08-09,0.06,0.06,0.05,0.05,562000,0.05
2013-08-08,0.06,0.06,0.06,0.06,000,0.06
2013-08-07,0.06,0.06,0.06,0.06,000,0.06
2013-08-06,0.06,0.06,0.06,0.06,47700,0.06
2013-08-05,0.07,0.07,0.07,0.07,000,0.07
2013-08-02,0.07,0.07,0.07,0.07,65000,0.07
2013-08-01,0.07,0.07,0.07,0.07,000,0.07
2013-07-31,0.07,0.07,0.07,0.07,000,0.07
2013-07-30,0.07,0.07,0.07,0.07,137000,0.07
2013-07-29,0.07,0.07,0.07,0.07,405000,0.07
2013-07-26,0.05,0.07,0.05,0.07,406700,0.07
2013-07-25,0.05,0.05,0.05,0.05,83200,0.05
2013-07-24,0.05,0.05,0.05,0.05,000,0.05
2013-07-23,0.05,0.05,0.05,0.05,11800,0.05
2013-07-22,0.05,0.05,0.05,0.05,79000,0.05
2013-07-19,0.05,0.05,0.05,0.05,30000,0.05
2013-07-18,0.05,0.05,0.05,0.05,107000,0.05
2013-07-17,0.05,0.05,0.05,0.05,000,0.05
2013-07-16,0.05,0.05,0.05,0.05,70000,0.05
2013-07-15,0.05,0.05,0.05,0.05,50000,0.05
2013-07-12,0.05,0.05,0.05,0.05,131000,0.05
2013-07-11,0.05,0.05,0.05,0.05,25000,0.05
2013-07-10,0.05,0.05,0.05,0.05,250000,0.05
2013-07-09,0.05,0.05,0.05,0.05,000,0.05
2013-07-08,0.05,0.05,0.05,0.05,000,0.05
2013-07-05,0.05,0.06,0.05,0.05,544700,0.05
2013-07-04,0.05,0.05,0.05,0.05,100000,0.05
2013-07-03,0.04,0.04,0.04,0.04,000,0.04
2013-07-02,0.04,0.04,0.04,0.04,000,0.04
2013-07-01,0.04,0.04,0.04,0.04,000,0.04
2013-06-28,0.05,0.05,0.04,0.04,332600,0.04
2013-06-27,0.05,0.05,0.05,0.05,126600,0.05
2013-06-26,0.04,0.05,0.04,0.05,136200,0.05
2013-06-25,0.04,0.04,0.04,0.04,30000,0.04
2013-06-24,0.04,0.04,0.04,0.04,25000,0.04
2013-06-21,0.04,0.04,0.04,0.04,107500,0.04
2013-06-20,0.05,0.05,0.05,0.05,149100,0.05
2013-06-19,0.05,0.05,0.05,0.05,390000,0.05
2013-06-18,0.05,0.05,0.05,0.05,10000,0.05
2013-06-17,0.06,0.06,0.05,0.05,135000,0.05
2013-06-14,0.06,0.06,0.06,0.06,79500,0.06
2013-06-13,0.06,0.06,0.06,0.06,25000,0.06
2013-06-12,0.06,0.06,0.06,0.06,15000,0.06
2013-06-11,0.06,0.06,0.06,0.06,12200,0.06
2013-06-10,0.06,0.06,0.06,0.06,000,0.06
2013-06-07,0.06,0.06,0.06,0.06,000,0.06
2013-06-06,0.06,0.06,0.06,0.06,000,0.06
2013-06-05,0.06,0.06,0.06,0.06,000,0.06
2013-06-04,0.06,0.06,0.06,0.06,10000,0.06
2013-06-03,0.07,0.07,0.06,0.06,108000,0.06
2013-05-31,0.07,0.07,0.07,0.07,23400,0.07
2013-05-30,0.07,0.07,0.07,0.07,58400,0.07
2013-05-29,0.07,0.07,0.07,0.07,100000,0.07
2013-05-28,0.07,0.07,0.07,0.07,82900,0.07
2013-05-27,0.07,0.07,0.07,0.07,249900,0.07
2013-05-24,0.07,0.07,0.07,0.07,127200,0.07
2013-05-23,0.07,0.07,0.06,0.06,127700,0.06
2013-05-22,0.08,0.08,0.06,0.07,2441900,0.07
2013-05-21,0.06,0.06,0.06,0.06,000,0.06
2013-05-20,0.06,0.06,0.06,0.06,7300,0.06
2013-05-17,0.07,0.07,0.07,0.07,000,0.07
2013-05-16,0.07,0.07,0.07,0.07,000,0.07
2013-05-15,0.07,0.07,0.07,0.07,000,0.07
2013-05-14,0.07,0.07,0.07,0.07,000,0.07
2013-05-13,0.07,0.07,0.07,0.07,000,0.07
2013-05-10,0.07,0.07,0.07,0.07,5000,0.07
2013-05-09,0.07,0.07,0.07,0.07,000,0.07
2013-05-08,0.07,0.07,0.07,0.07,000,0.07
2013-05-07,0.07,0.07,0.07,0.07,243000,0.07
2013-05-06,0.07,0.07,0.07,0.07,38000,0.07
2013-05-03,0.07,0.07,0.07,0.07,18000,0.07
2013-05-02,0.06,0.06,0.06,0.06,128800,0.06
2013-05-01,0.06,0.06,0.06,0.06,500,0.06
2013-04-30,0.06,0.06,0.06,0.06,43000,0.06
2013-04-29,0.06,0.06,0.06,0.06,65000,0.06
2013-04-26,0.06,0.06,0.06,0.06,000,0.06
2013-04-25,0.06,0.06,0.06,0.06,000,0.06
2013-04-24,0.06,0.06,0.06,0.06,88000,0.06
2013-04-23,0.06,0.06,0.06,0.06,129700,0.06
2013-04-22,0.06,0.06,0.06,0.06,31000,0.06
2013-04-19,0.06,0.06,0.06,0.06,40000,0.06
2013-04-18,0.06,0.06,0.06,0.06,72000,0.06
2013-04-17,0.07,0.07,0.07,0.07,350000,0.07
2013-04-16,0.06,0.06,0.06,0.06,10800,0.06
2013-04-15,0.07,0.07,0.07,0.07,24100,0.07
2013-04-12,0.07,0.07,0.07,0.07,20000,0.07
2013-04-11,0.07,0.07,0.07,0.07,000,0.07
2013-04-10,0.07,0.07,0.07,0.07,106000,0.07
2013-04-09,0.08,0.08,0.08,0.08,30000,0.08
2013-04-08,0.07,0.07,0.07,0.07,000,0.07
2013-04-05,0.07,0.07,0.07,0.07,75000,0.07
2013-04-04,0.07,0.07,0.07,0.07,97000,0.07
2013-04-03,0.07,0.07,0.07,0.07,000,0.07
2013-04-02,0.07,0.07,0.07,0.07,000,0.07
2013-04-01,0.07,0.07,0.07,0.07,000,0.07
2013-03-29,0.07,0.07,0.07,0.07,000,0.07
2013-03-28,0.07,0.07,0.07,0.07,153100,0.07
2013-03-27,0.07,0.07,0.07,0.07,362700,0.07
2013-03-26,0.07,0.07,0.07,0.07,000,0.07
2013-03-25,0.07,0.07,0.07,0.07,000,0.07
2013-03-22,0.07,0.07,0.07,0.07,100300,0.07
2013-03-21,0.07,0.07,0.07,0.07,000,0.07
2013-03-20,0.07,0.07,0.07,0.07,000,0.07
2013-03-19,0.07,0.07,0.07,0.07,220000,0.07
2013-03-18,0.07,0.07,0.07,0.07,107400,0.07
2013-03-15,0.07,0.07,0.07,0.07,306000,0.07
2013-03-14,0.07,0.07,0.07,0.07,106500,0.07
2013-03-13,0.07,0.07,0.07,0.07,180000,0.07
2013-03-12,0.07,0.07,0.07,0.07,213100,0.07
2013-03-11,0.07,0.07,0.07,0.07,20000,0.07
2013-03-08,0.07,0.07,0.07,0.07,60000,0.07
2013-03-07,0.07,0.07,0.07,0.07,175900,0.07
2013-03-06,0.07,0.07,0.07,0.07,83500,0.07
2013-03-05,0.07,0.07,0.07,0.07,311900,0.07
2013-03-04,0.07,0.07,0.07,0.07,200000,0.07
2013-03-01,0.07,0.07,0.07,0.07,000,0.07
2013-02-28,0.07,0.07,0.07,0.07,27600,0.07
2013-02-27,0.07,0.07,0.07,0.07,237200,0.07
2013-02-26,0.07,0.07,0.07,0.07,50500,0.07
2013-02-25,0.08,0.08,0.08,0.08,173600,0.08
2013-02-22,0.08,0.08,0.08,0.08,000,0.08
2013-02-21,0.08,0.08,0.08,0.08,000,0.08
2013-02-20,0.08,0.08,0.08,0.08,10000,0.08
2013-02-19,0.08,0.08,0.08,0.08,90900,0.08
2013-02-18,0.08,0.08,0.08,0.08,7000,0.08
2013-02-15,0.08,0.08,0.08,0.08,000,0.08
2013-02-14,0.07,0.08,0.07,0.08,57000,0.08
2013-02-13,0.07,0.07,0.07,0.07,000,0.07
2013-02-12,0.07,0.07,0.07,0.07,62000,0.07
2013-02-11,0.07,0.07,0.07,0.07,36000,0.07
2013-02-08,0.07,0.07,0.07,0.07,000,0.07
2013-02-07,0.07,0.07,0.07,0.07,558700,0.07
2013-02-06,0.08,0.08,0.07,0.08,43600,0.08
2013-02-05,0.08,0.08,0.08,0.08,267400,0.08
2013-02-04,0.08,0.08,0.08,0.08,500000,0.08
2013-02-01,0.08,0.08,0.08,0.08,300000,0.08
2013-01-31,0.09,0.09,0.08,0.08,330700,0.08
2013-01-30,0.09,0.09,0.08,0.08,710500,0.08
2013-01-29,0.09,0.09,0.09,0.09,87000,0.09
2013-01-28,0.09,0.09,0.09,0.09,000,0.09
2013-01-25,0.09,0.09,0.09,0.09,108000,0.09
2013-01-24,0.09,0.09,0.09,0.09,000,0.09
2013-01-23,0.09,0.09,0.09,0.09,331000,0.09
2013-01-22,0.09,0.09,0.09,0.09,572300,0.09
2013-01-21,0.10,0.10,0.09,0.09,743200,0.09
