Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.14,0.14,0.14,0.14,5200,0.14
2013-09-19,0.15,0.15,0.15,0.15,83300,0.15
2013-09-18,0.14,0.14,0.14,0.14,87700,0.14
2013-09-17,0.15,0.15,0.14,0.14,76100,0.14
2013-09-16,0.16,0.16,0.14,0.14,42800,0.14
2013-09-13,0.17,0.17,0.15,0.15,15900,0.15
2013-09-12,0.15,0.15,0.15,0.15,000,0.15
2013-09-11,0.15,0.15,0.15,0.15,300,0.15
2013-09-10,0.16,0.17,0.16,0.17,5400,0.17
2013-09-09,0.14,0.14,0.14,0.14,000,0.14
2013-09-06,0.14,0.14,0.14,0.14,114500,0.14
2013-09-05,0.14,0.14,0.14,0.14,000,0.14
2013-09-04,0.14,0.14,0.14,0.14,000,0.14
2013-09-03,0.14,0.14,0.14,0.14,000,0.14
2013-09-02,0.14,0.14,0.14,0.14,20000,0.14
2013-08-30,0.14,0.14,0.14,0.14,000,0.14
2013-08-29,0.14,0.14,0.14,0.14,191800,0.14
2013-08-28,0.14,0.14,0.14,0.14,64500,0.14
2013-08-27,0.15,0.15,0.14,0.14,50000,0.14
2013-08-26,0.15,0.15,0.15,0.15,000,0.15
2013-08-23,0.16,0.16,0.14,0.15,60800,0.15
2013-08-22,0.16,0.16,0.16,0.16,56800,0.16
2013-08-21,0.16,0.16,0.16,0.16,000,0.16
2013-08-20,0.16,0.16,0.16,0.16,31400,0.16
2013-08-19,0.14,0.14,0.14,0.14,7800,0.14
2013-08-16,0.14,0.14,0.14,0.14,000,0.14
2013-08-15,0.14,0.14,0.14,0.14,000,0.14
2013-08-14,0.14,0.14,0.14,0.14,13800,0.14
2013-08-13,0.15,0.15,0.14,0.14,36600,0.14
2013-08-12,0.16,0.16,0.15,0.16,74500,0.16
2013-08-09,0.16,0.16,0.16,0.16,25400,0.16
2013-08-08,0.16,0.16,0.16,0.16,000,0.16
2013-08-07,0.16,0.16,0.16,0.16,000,0.16
2013-08-06,0.16,0.16,0.16,0.16,81000,0.16
2013-08-05,0.16,0.16,0.16,0.16,000,0.16
2013-08-02,0.16,0.16,0.16,0.16,55900,0.16
2013-08-01,0.16,0.16,0.16,0.16,000,0.16
2013-07-31,0.16,0.16,0.16,0.16,1000,0.16
2013-07-30,0.16,0.17,0.16,0.16,166300,0.16
2013-07-29,0.17,0.17,0.17,0.17,000,0.17
2013-07-26,0.17,0.17,0.17,0.17,30000,0.17
2013-07-25,0.17,0.17,0.17,0.17,4100,0.17
2013-07-24,0.17,0.17,0.17,0.17,32700,0.17
2013-07-23,0.17,0.17,0.17,0.17,600,0.17
2013-07-22,0.17,0.17,0.17,0.17,14100,0.17
2013-07-19,0.17,0.17,0.17,0.17,31200,0.17
2013-07-18,0.17,0.17,0.17,0.17,25000,0.17
2013-07-17,0.16,0.16,0.16,0.16,1500,0.16
2013-07-16,0.18,0.18,0.18,0.18,000,0.18
2013-07-15,0.18,0.18,0.18,0.18,000,0.18
2013-07-12,0.18,0.18,0.18,0.18,000,0.18
2013-07-11,0.19,0.19,0.17,0.18,34000,0.18
2013-07-10,0.17,0.17,0.17,0.17,000,0.17
