Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.08,0.08,0.08,0.08,125000,0.08
2013-09-19,0.08,0.08,0.08,0.08,192000,0.08
2013-09-18,0.08,0.08,0.08,0.08,537400,0.08
2013-09-17,0.08,0.08,0.08,0.08,91700,0.08
2013-09-16,0.08,0.08,0.08,0.08,139300,0.08
2013-09-13,0.07,0.07,0.07,0.07,000,0.07
2013-09-12,0.07,0.07,0.07,0.07,000,0.07
2013-09-11,0.07,0.07,0.07,0.07,60200,0.07
2013-09-10,0.08,0.08,0.07,0.07,3050900,0.07
2013-09-09,0.08,0.08,0.08,0.08,87900,0.08
2013-09-06,0.08,0.08,0.08,0.08,439500,0.08
2013-09-05,0.08,0.08,0.08,0.08,362300,0.08
2013-09-04,0.08,0.08,0.08,0.08,44900,0.08
2013-09-03,0.08,0.08,0.08,0.08,227300,0.08
2013-09-02,0.08,0.08,0.08,0.08,65000,0.08
2013-08-30,0.09,0.09,0.08,0.08,507500,0.08
2013-08-29,0.09,0.09,0.09,0.09,222500,0.09
2013-08-28,0.09,0.09,0.09,0.09,25000,0.09
2013-08-27,0.09,0.09,0.09,0.09,282900,0.09
2013-08-26,0.09,0.09,0.09,0.09,66000,0.09
2013-08-23,0.08,0.09,0.08,0.08,110100,0.08
2013-08-22,0.09,0.09,0.08,0.08,71500,0.08
2013-08-21,0.08,0.08,0.08,0.08,100000,0.08
2013-08-20,0.08,0.09,0.08,0.08,325600,0.08
2013-08-19,0.08,0.08,0.08,0.08,100000,0.08
2013-08-16,0.09,0.09,0.08,0.08,1158600,0.08
2013-08-15,0.09,0.09,0.09,0.09,31500,0.09
2013-08-14,0.09,0.09,0.09,0.09,351800,0.09
2013-08-13,0.09,0.09,0.08,0.08,21000,0.08
2013-08-12,0.09,0.09,0.08,0.08,511000,0.08
2013-08-09,0.09,0.09,0.08,0.08,60000,0.08
2013-08-08,0.09,0.09,0.09,0.09,15500,0.09
2013-08-07,0.09,0.09,0.09,0.09,40000,0.09
2013-08-06,0.09,0.09,0.09,0.09,958000,0.09
2013-08-05,0.09,0.09,0.08,0.08,736300,0.08
2013-08-02,0.08,0.09,0.08,0.09,2869800,0.09
2013-08-01,0.07,0.08,0.07,0.08,636200,0.08
2013-07-31,0.07,0.07,0.07,0.07,335800,0.07
2013-07-30,0.07,0.07,0.07,0.07,461100,0.07
2013-07-29,0.07,0.07,0.07,0.07,245500,0.07
2013-07-26,0.07,0.07,0.07,0.07,465600,0.07
2013-07-25,0.07,0.07,0.06,0.06,737000,0.06
2013-07-24,0.07,0.07,0.07,0.07,296500,0.07
2013-07-23,0.08,0.08,0.07,0.07,54200,0.07
2013-07-19,0.08,0.08,0.07,0.07,179500,0.07
2013-07-18,0.08,0.08,0.08,0.08,40000,0.08
2013-07-17,0.07,0.08,0.07,0.08,318600,0.08
2013-07-16,0.07,0.07,0.07,0.07,7600,0.07
2013-07-15,0.08,0.08,0.07,0.07,815600,0.07
2013-07-12,0.07,0.08,0.07,0.08,110000,0.08
2013-07-11,0.07,0.07,0.07,0.07,25000,0.07
2013-07-10,0.08,0.08,0.08,0.08,193900,0.08
2013-07-09,0.07,0.08,0.07,0.08,952700,0.08
2013-07-08,0.07,0.07,0.07,0.07,54000,0.07
2013-07-05,0.07,0.07,0.07,0.07,29000,0.07
2013-07-04,0.07,0.07,0.07,0.07,57200,0.07
2013-07-03,0.07,0.07,0.07,0.07,64100,0.07
2013-07-02,0.07,0.07,0.07,0.07,109900,0.07
2013-07-01,0.07,0.07,0.07,0.07,000,0.07
2013-06-28,0.07,0.07,0.07,0.07,000,0.07
2013-06-27,0.07,0.07,0.06,0.07,55500,0.07
2013-06-26,0.07,0.07,0.07,0.07,387700,0.07
2013-06-25,0.07,0.07,0.06,0.06,254500,0.06
2013-06-24,0.07,0.07,0.07,0.07,667200,0.07
2013-06-21,0.07,0.07,0.07,0.07,13100,0.07
2013-06-20,0.08,0.08,0.07,0.07,302200,0.07
2013-06-18,0.07,0.07,0.07,0.07,185100,0.07
2013-06-17,0.07,0.07,0.07,0.07,336500,0.07
2013-06-14,0.07,0.07,0.07,0.07,383300,0.07
2013-06-13,0.07,0.07,0.06,0.07,242200,0.07
2013-06-12,0.08,0.08,0.06,0.07,278700,0.07
2013-06-11,0.08,0.08,0.08,0.08,000,0.08
2013-06-10,0.08,0.08,0.08,0.08,000,0.08
2013-06-07,0.08,0.08,0.08,0.08,000,0.08
2013-06-06,0.08,0.08,0.08,0.08,300000,0.08
2013-06-05,0.08,0.08,0.08,0.08,208000,0.08
2013-06-04,0.08,0.08,0.08,0.08,3000,0.08
2013-06-03,0.08,0.09,0.08,0.09,155900,0.09
2013-05-31,0.08,0.08,0.08,0.08,147600,0.08
2013-05-30,0.08,0.08,0.08,0.08,000,0.08
2013-05-29,0.08,0.08,0.08,0.08,178000,0.08
2013-05-28,0.07,0.07,0.07,0.07,100000,0.07
2013-05-27,0.07,0.07,0.07,0.07,30700,0.07
2013-05-24,0.07,0.07,0.07,0.07,52000,0.07
2013-05-23,0.07,0.07,0.07,0.07,88200,0.07
2013-05-22,0.08,0.08,0.08,0.08,000,0.08
2013-05-21,0.08,0.08,0.08,0.08,144400,0.08
2013-05-20,0.09,0.09,0.08,0.08,203000,0.08
2013-05-17,0.09,0.09,0.09,0.09,30000,0.09
2013-05-16,0.09,0.09,0.08,0.09,105100,0.09
2013-05-15,0.09,0.09,0.09,0.09,428900,0.09
2013-05-14,0.08,0.09,0.08,0.09,279600,0.09
2013-05-13,0.08,0.08,0.08,0.08,908000,0.08
2013-05-10,0.07,0.07,0.07,0.07,99600,0.07
2013-05-09,0.07,0.07,0.07,0.07,164000,0.07
2013-05-08,0.08,0.08,0.07,0.07,631400,0.07
2013-05-07,0.07,0.07,0.07,0.07,241500,0.07
2013-05-06,0.08,0.08,0.07,0.07,142000,0.07
2013-05-03,0.07,0.08,0.07,0.08,399100,0.08
2013-05-02,0.08,0.08,0.07,0.07,144100,0.07
2013-05-01,0.09,0.09,0.08,0.08,456500,0.08
2013-04-30,0.09,0.09,0.09,0.09,291500,0.09
2013-04-26,0.07,0.09,0.07,0.08,1169300,0.08
2013-04-25,0.07,0.07,0.07,0.07,000,0.07
2013-04-24,0.07,0.07,0.07,0.07,144900,0.07
2013-04-23,0.07,0.07,0.07,0.07,263800,0.07
