Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.03,0.03,0.03,0.03,3073900,0.03
2013-09-19,0.03,0.03,0.03,0.03,2562500,0.03
2013-09-18,0.03,0.03,0.03,0.03,3884000,0.03
2013-09-17,0.03,0.03,0.03,0.03,3088700,0.03
2013-09-16,0.03,0.03,0.03,0.03,2493100,0.03
2013-09-13,0.04,0.04,0.03,0.03,3136700,0.03
2013-09-12,0.03,0.04,0.03,0.03,2291600,0.03
2013-09-11,0.03,0.03,0.03,0.03,483700,0.03
2013-09-10,0.03,0.03,0.03,0.03,1030600,0.03
2013-09-09,0.03,0.03,0.03,0.03,000,0.03
2013-09-06,0.03,0.03,0.03,0.03,394000,0.03
2013-09-05,0.04,0.04,0.03,0.03,2326800,0.03
2013-09-04,0.03,0.04,0.03,0.04,2129900,0.04
2013-09-03,0.03,0.03,0.03,0.03,1991000,0.03
2013-09-02,0.03,0.03,0.03,0.03,670000,0.03
2013-08-30,0.03,0.03,0.03,0.03,1394100,0.03
2013-08-29,0.03,0.03,0.03,0.03,4154000,0.03
2013-08-28,0.03,0.03,0.03,0.03,4491400,0.03
2013-08-27,0.04,0.04,0.03,0.03,2473000,0.03
2013-08-26,0.04,0.04,0.04,0.04,1543500,0.04
2013-08-23,0.04,0.04,0.04,0.04,679000,0.04
2013-08-22,0.04,0.04,0.04,0.04,2095900,0.04
2013-08-21,0.04,0.04,0.04,0.04,2668400,0.04
2013-08-20,0.04,0.04,0.04,0.04,4432700,0.04
2013-08-19,0.04,0.04,0.04,0.04,2156000,0.04
2013-08-16,0.04,0.04,0.04,0.04,2140000,0.04
2013-08-15,0.04,0.04,0.04,0.04,1857300,0.04
2013-08-14,0.04,0.04,0.04,0.04,2231000,0.04
2013-08-13,0.04,0.04,0.04,0.04,3132200,0.04
2013-08-12,0.04,0.04,0.04,0.04,6913700,0.04
2013-08-09,0.04,0.04,0.04,0.04,5472300,0.04
2013-08-08,0.04,0.04,0.04,0.04,8748200,0.04
2013-08-07,0.04,0.05,0.04,0.04,40374200,0.04
2013-08-06,0.05,0.06,0.05,0.06,26084400,0.06
2013-08-05,0.05,0.06,0.05,0.05,5669300,0.05
2013-08-02,0.06,0.06,0.05,0.05,8762900,0.05
2013-08-01,0.06,0.06,0.06,0.06,6837200,0.06
2013-07-31,0.06,0.06,0.06,0.06,16076900,0.06
2013-07-30,0.07,0.07,0.06,0.06,11680200,0.06
2013-07-29,0.07,0.07,0.06,0.06,9596100,0.06
2013-07-26,0.07,0.08,0.07,0.07,26322300,0.07
2013-07-25,0.06,0.07,0.06,0.07,28067900,0.07
2013-07-24,0.06,0.07,0.06,0.06,13744500,0.06
2013-07-23,0.07,0.07,0.06,0.06,34499500,0.06
2013-07-22,0.06,0.08,0.06,0.06,84820500,0.06
2013-07-19,0.05,0.07,0.04,0.05,113088900,0.05
2013-07-18,0.03,0.03,0.03,0.03,90400,0.03
2013-07-17,0.03,0.03,0.03,0.03,1199000,0.03
