Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.30,0.30,0.30,0.30,000,0.30
2013-09-19,0.30,0.30,0.30,0.30,000,0.30
2013-09-18,0.30,0.30,0.30,0.30,31500,0.30
2013-09-17,0.30,0.31,0.30,0.30,13800,0.30
2013-09-16,0.29,0.29,0.29,0.29,000,0.29
2013-09-13,0.29,0.29,0.29,0.29,000,0.29
2013-09-12,0.29,0.29,0.29,0.29,000,0.29
2013-09-11,0.30,0.30,0.29,0.29,29900,0.29
2013-09-10,0.30,0.30,0.30,0.30,1600,0.30
2013-09-09,0.30,0.30,0.30,0.30,15500,0.30
2013-09-06,0.31,0.31,0.30,0.30,44000,0.30
2013-09-05,0.32,0.32,0.31,0.31,101000,0.31
2013-09-04,0.32,0.32,0.32,0.32,21800,0.32
2013-09-03,0.32,0.32,0.32,0.32,20000,0.32
2013-09-02,0.32,0.32,0.32,0.32,26900,0.32
2013-08-30,0.28,0.29,0.28,0.29,117000,0.29
2013-08-29,0.30,0.30,0.28,0.28,60000,0.28
2013-08-28,0.31,0.31,0.31,0.31,1600,0.31
2013-08-27,0.32,0.32,0.32,0.32,8000,0.32
2013-08-26,0.30,0.32,0.30,0.32,30300,0.32
2013-08-23,0.28,0.30,0.28,0.30,66800,0.30
2013-08-22,0.26,0.28,0.26,0.28,284500,0.28
2013-08-21,0.23,0.23,0.23,0.23,000,0.23
2013-08-20,0.23,0.23,0.23,0.23,000,0.23
2013-08-19,0.23,0.23,0.23,0.23,000,0.23
2013-08-16,0.22,0.23,0.22,0.23,22800,0.23
2013-08-15,0.22,0.22,0.22,0.22,000,0.22
2013-08-14,0.23,0.23,0.22,0.22,18700,0.22
2013-08-13,0.24,0.24,0.24,0.24,3000,0.24
2013-08-12,0.24,0.24,0.23,0.24,98400,0.24
2013-08-09,0.22,0.22,0.22,0.22,000,0.22
2013-08-08,0.25,0.27,0.22,0.22,15400,0.22
2013-08-07,0.25,0.25,0.25,0.25,000,0.25
2013-08-06,0.25,0.25,0.25,0.25,10400,0.25
2013-08-05,0.24,0.24,0.24,0.24,000,0.24
2013-08-02,0.25,0.25,0.24,0.24,58500,0.24
2013-08-01,0.25,0.25,0.25,0.25,000,0.25
2013-07-31,0.25,0.25,0.25,0.25,800,0.25
2013-07-30,0.24,0.24,0.24,0.24,000,0.24
2013-07-29,0.24,0.24,0.24,0.24,000,0.24
2013-07-26,0.24,0.24,0.24,0.24,13500,0.24
2013-07-25,0.25,0.25,0.25,0.25,000,0.25
2013-07-24,0.22,0.25,0.22,0.25,7200,0.25
2013-07-23,0.28,0.28,0.28,0.28,000,0.28
2013-07-19,0.30,0.30,0.30,0.30,000,0.30
2013-07-18,0.30,0.30,0.30,0.30,22500,0.30
2013-07-17,0.29,0.30,0.29,0.30,17000,0.30
2013-07-16,0.28,0.28,0.28,0.28,3500,0.28
2013-07-15,0.27,0.28,0.27,0.28,5500,0.28
2013-07-12,0.24,0.26,0.24,0.26,47200,0.26
2013-07-11,0.22,0.22,0.22,0.22,200000,0.22
2013-07-10,0.20,0.20,0.20,0.20,000,0.20
2013-07-09,0.20,0.20,0.20,0.20,26000,0.20
2013-07-08,0.23,0.23,0.22,0.22,16000,0.22
2013-07-05,0.23,0.26,0.23,0.26,31000,0.26
2013-07-04,0.23,0.23,0.23,0.23,000,0.23
2013-07-03,0.23,0.23,0.23,0.23,42500,0.23
2013-07-02,0.22,0.23,0.22,0.23,52000,0.23
2013-07-01,0.19,0.19,0.19,0.19,87500,0.19
2013-06-28,0.16,0.17,0.16,0.17,8400,0.17
2013-06-27,0.17,0.17,0.15,0.16,476000,0.16
2013-06-26,0.17,0.17,0.17,0.17,603900,0.17
2013-06-25,0.17,0.17,0.17,0.17,62900,0.17
2013-06-24,0.17,0.17,0.17,0.17,60000,0.17
2013-06-21,0.17,0.17,0.17,0.17,000,0.17
2013-06-20,0.17,0.17,0.17,0.17,2253600,0.17
2013-06-18,0.19,0.19,0.17,0.17,186300,0.17
2013-06-17,0.18,0.18,0.18,0.18,4000,0.18
