Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.90,0.92,0.90,0.92,34700,0.89
2013-09-19,0.90,0.90,0.88,0.88,18400,0.85
2013-09-18,0.89,0.89,0.88,0.88,8300,0.85
2013-09-17,0.88,0.88,0.88,0.88,11700,0.85
2013-09-16,0.85,0.88,0.85,0.88,27500,0.85
2013-09-13,0.90,0.90,0.90,0.90,12800,0.87
2013-09-12,0.90,0.90,0.90,0.90,3100,0.87
2013-09-11,0.90,0.90,0.90,0.90,30100,0.87
2013-09-10,0.91,0.91,0.91,0.91,000,0.88
2013-09-09,0.91,0.91,0.91,0.91,000,0.88
2013-09-06,0.91,0.91,0.91,0.91,000,0.88
2013-09-05,0.91,0.91,0.91,0.91,11900,0.88
2013-09-04,0.90,0.92,0.90,0.92,4100,0.89
2013-09-03,0.92,0.92,0.90,0.90,17600,0.87
2013-09-02,0.92,0.92,0.92,0.92,8600,0.89
2013-08-30,0.90,0.90,0.90,0.90,000,0.87
2013-08-29,0.90,0.90,0.90,0.90,13900,0.87
2013-08-28,0.92,0.92,0.92,0.92,000,0.89
2013-08-27,0.92,0.92,0.92,0.92,000,0.89
2013-08-26,0.91,0.92,0.91,0.92,16200,0.89
2013-08-23,0.91,0.91,0.91,0.91,000,0.88
2013-08-22,0.91,0.91,0.91,0.91,2100,0.88
2013-08-21,0.90,0.90,0.88,0.88,38000,0.85
2013-08-20,0.91,0.91,0.91,0.91,000,0.88
2013-08-19,0.88,0.91,0.88,0.91,20000,0.88
2013-08-16,0.88,0.88,0.88,0.88,25000,0.85
2013-08-15,0.87,0.87,0.85,0.85,12100,0.82
2013-08-14,0.85,0.85,0.85,0.85,4000,0.82
2013-08-13,0.88,0.88,0.88,0.88,000,0.85
2013-08-12,0.90,0.90,0.88,0.88,4300,0.85
2013-08-09,0.88,0.88,0.88,0.88,7400,0.85
2013-08-08,0.86,0.86,0.84,0.85,20500,0.82
2013-08-07,0.89,0.89,0.89,0.89,500,0.86
2013-08-06,0.90,0.90,0.90,0.90,000,0.87
2013-08-05,0.90,0.90,0.90,0.90,000,0.87
2013-08-02,0.89,0.90,0.89,0.90,51000,0.87
2013-08-01,0.89,0.90,0.89,0.90,2000,0.87
2013-07-31,0.87,0.87,0.83,0.87,11500,0.84
2013-07-30,0.87,0.87,0.87,0.87,000,0.84
2013-07-29,0.87,0.87,0.87,0.87,5800,0.84
2013-07-26,0.85,0.85,0.82,0.82,42000,0.80
2013-07-25,0.85,0.85,0.85,0.85,000,0.82
2013-07-24,0.85,0.85,0.85,0.85,000,0.82
2013-07-23,0.85,0.85,0.84,0.85,21900,0.82
2013-07-22,0.88,0.88,0.88,0.88,10000,0.85
2013-07-19,0.85,0.85,0.85,0.85,4000,0.82
2013-07-18,0.90,0.90,0.90,0.90,000,0.88
2013-07-17,0.90,0.90,0.90,0.90,000,0.88
2013-07-16,0.90,0.90,0.90,0.90,23300,0.88
2013-07-15,0.89,0.90,0.85,0.85,9800,0.82
2013-07-12,0.88,0.89,0.88,0.89,26000,0.86
2013-07-11,0.83,0.89,0.83,0.88,14500,0.86
2013-07-10,0.85,0.85,0.85,0.85,000,0.82
2013-07-09,0.85,0.85,0.85,0.85,000,0.82
2013-07-08,0.82,0.85,0.82,0.85,13400,0.82
2013-07-05,0.82,0.82,0.82,0.82,4200,0.80
2013-07-04,0.89,0.89,0.89,0.89,5300,0.86
2013-07-03,0.79,0.79,0.79,0.79,000,0.77
2013-07-02,0.79,0.79,0.79,0.79,000,0.77
2013-07-01,0.79,0.79,0.79,0.79,000,0.77
2013-06-28,0.79,0.79,0.79,0.79,8000,0.77
2013-06-27,0.73,0.77,0.72,0.77,10100,0.75
2013-06-26,0.82,0.83,0.82,0.83,12400,0.79
2013-06-25,0.90,0.90,0.90,0.90,000,0.86
2013-06-24,0.90,0.90,0.90,0.90,000,0.86
2013-06-21,0.90,0.90,0.90,0.90,000,0.86
2013-06-20,0.95,0.95,0.90,0.90,2800,0.86
2013-06-19,0.95,0.95,0.95,0.95,34400,0.91
2013-06-18,0.97,0.97,0.96,0.96,3200,0.92
2013-06-17,0.95,0.95,0.95,0.95,000,0.91
2013-06-14,1.00,1.00,0.95,0.95,7000,0.91
2013-06-13,1.03,1.03,0.96,1.01,11000,0.97
2013-06-12,1.01,1.01,1.01,1.01,2700,0.97
2013-06-11,0.97,0.97,0.97,0.97,5500,0.93
2013-06-10,0.95,0.95,0.95,0.95,000,0.91
2013-06-07,0.95,0.96,0.95,0.95,33000,0.91
2013-06-06,0.90,0.90,0.90,0.90,1800,0.86
2013-06-05,0.87,0.89,0.87,0.89,24300,0.85
2013-06-04,0.82,0.88,0.79,0.87,29300,0.83
2013-06-03,0.82,0.82,0.82,0.82,000,0.78
2013-05-31,0.82,0.82,0.82,0.82,28200,0.78
2013-05-30,0.82,0.82,0.82,0.82,1700,0.78
