Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.02,0.02,0.02,0.02,000,0.02
2013-09-19,0.02,0.02,0.02,0.02,71000,0.02
2013-09-18,0.03,0.03,0.02,0.02,146800,0.02
2013-09-17,0.03,0.03,0.03,0.03,345600,0.03
2013-09-16,0.03,0.03,0.03,0.03,163000,0.03
2013-09-13,0.03,0.03,0.03,0.03,000,0.03
2013-09-12,0.03,0.03,0.03,0.03,000,0.03
2013-09-11,0.03,0.03,0.03,0.03,100000,0.03
2013-09-10,0.03,0.03,0.03,0.03,96000,0.03
2013-09-09,0.03,0.03,0.03,0.03,67000,0.03
2013-09-06,0.03,0.03,0.03,0.03,133000,0.03
2013-09-05,0.03,0.03,0.03,0.03,000,0.03
2013-09-04,0.03,0.03,0.03,0.03,17000,0.03
2013-09-03,0.02,0.02,0.02,0.02,2200,0.02
2013-09-02,0.02,0.02,0.02,0.02,000,0.02
2013-08-30,0.03,0.03,0.02,0.02,1921800,0.02
2013-08-29,0.02,0.03,0.02,0.03,2081600,0.03
2013-08-28,0.02,0.02,0.02,0.02,675300,0.02
2013-08-27,0.02,0.02,0.02,0.02,1030100,0.02
2013-08-26,0.02,0.02,0.02,0.02,121900,0.02
2013-08-23,0.02,0.02,0.02,0.02,550000,0.02
2013-08-22,0.02,0.02,0.02,0.02,791400,0.02
2013-08-21,0.02,0.02,0.02,0.02,000,0.02
2013-08-20,0.02,0.02,0.02,0.02,692700,0.02
2013-08-19,0.02,0.02,0.02,0.02,200000,0.02
2013-08-16,0.02,0.02,0.02,0.02,375000,0.02
2013-08-15,0.02,0.02,0.02,0.02,200000,0.02
2013-08-14,0.02,0.02,0.02,0.02,450000,0.02
2013-08-13,0.02,0.02,0.02,0.02,335200,0.02
2013-08-12,0.02,0.02,0.02,0.02,5600,0.02
2013-08-09,0.02,0.02,0.02,0.02,000,0.02
2013-08-08,0.02,0.02,0.02,0.02,209200,0.02
2013-08-07,0.02,0.02,0.02,0.02,390700,0.02
2013-08-06,0.02,0.02,0.02,0.02,51500,0.02
2013-08-05,0.02,0.02,0.02,0.02,000,0.02
2013-08-02,0.02,0.02,0.02,0.02,000,0.02
2013-08-01,0.02,0.02,0.02,0.02,57900,0.02
2013-07-31,0.02,0.02,0.02,0.02,460000,0.02
2013-07-30,0.02,0.02,0.02,0.02,284700,0.02
2013-07-29,0.02,0.02,0.02,0.02,100,0.02
2013-07-26,0.02,0.02,0.02,0.02,000,0.02
2013-07-25,0.02,0.02,0.02,0.02,360000,0.02
2013-07-24,0.02,0.02,0.02,0.02,512800,0.02
2013-07-23,0.02,0.02,0.02,0.02,000,0.02
2013-07-19,0.02,0.02,0.02,0.02,23000,0.02
2013-07-18,0.02,0.02,0.02,0.02,19700,0.02
2013-07-17,0.02,0.02,0.02,0.02,000,0.02
2013-07-16,0.02,0.02,0.02,0.02,000,0.02
2013-07-15,0.02,0.02,0.02,0.02,000,0.02
2013-07-12,0.02,0.02,0.02,0.02,000,0.02
2013-07-11,0.02,0.02,0.02,0.02,150000,0.02
2013-07-10,0.02,0.02,0.02,0.02,160900,0.02
2013-07-09,0.02,0.02,0.02,0.02,000,0.02
2013-07-08,0.02,0.02,0.02,0.02,000,0.02
