Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.00,0.00,0.00,0.00,000,0.00
2013-09-19,0.00,0.00,0.00,0.00,881000,0.00
2013-09-18,0.00,0.00,0.00,0.00,000,0.00
2013-09-17,0.00,0.00,0.00,0.00,39900,0.00
2013-09-16,0.00,0.00,0.00,0.00,250000,0.00
2013-09-13,0.00,0.00,0.00,0.00,710000,0.00
2013-09-12,0.00,0.00,0.00,0.00,200000,0.00
2013-09-11,0.00,0.00,0.00,0.00,60000,0.00
2013-09-10,0.00,0.00,0.00,0.00,2466600,0.00
2013-09-09,0.00,0.00,0.00,0.00,210000,0.00
2013-09-06,0.00,0.00,0.00,0.00,1000000,0.00
2013-09-05,0.00,0.00,0.00,0.00,2109700,0.00
2013-09-04,0.00,0.00,0.00,0.00,1562500,0.00
2013-09-03,0.00,0.00,0.00,0.00,1000000,0.00
2013-09-02,0.00,0.00,0.00,0.00,000,0.00
2013-08-30,0.00,0.00,0.00,0.00,311800,0.00
2013-08-29,0.00,0.00,0.00,0.00,7091400,0.00
2013-08-28,0.00,0.00,0.00,0.00,1742500,0.00
2013-08-27,0.00,0.00,0.00,0.00,2164500,0.00
2013-08-26,0.00,0.00,0.00,0.00,5741700,0.00
2013-08-23,0.00,0.00,0.00,0.00,000,0.00
2013-08-22,0.00,0.00,0.00,0.00,6002200,0.00
2013-08-21,0.00,0.00,0.00,0.00,985200,0.00
2013-08-20,0.00,0.00,0.00,0.00,000,0.00
2013-08-19,0.00,0.00,0.00,0.00,500000,0.00
2013-08-16,0.00,0.00,0.00,0.00,000,0.00
2013-08-15,0.00,0.00,0.00,0.00,000,0.00
2013-08-14,0.00,0.00,0.00,0.00,000,0.00
2013-08-13,0.00,0.00,0.00,0.00,1025000,0.00
2013-08-12,0.00,0.00,0.00,0.00,1000000,0.00
2013-08-09,0.00,0.00,0.00,0.00,1000000,0.00
2013-08-08,0.00,0.00,0.00,0.00,1268200,0.00
2013-08-07,0.00,0.00,0.00,0.00,2561000,0.00
2013-08-06,0.00,0.00,0.00,0.00,155000,0.00
2013-08-05,0.00,0.00,0.00,0.00,000,0.00
2013-08-02,0.00,0.00,0.00,0.00,1700000,0.00
2013-08-01,0.00,0.00,0.00,0.00,1707200,0.00
2013-07-31,0.00,0.00,0.00,0.00,7912500,0.00
2013-07-30,0.00,0.00,0.00,0.00,000,0.00
2013-07-29,0.00,0.00,0.00,0.00,174000,0.00
2013-07-26,0.00,0.00,0.00,0.00,000,0.00
2013-07-25,0.00,0.00,0.00,0.00,000,0.00
2013-07-24,0.01,0.01,0.00,0.00,227600,0.00
2013-07-23,0.01,0.01,0.01,0.01,840000,0.01
2013-07-19,0.01,0.01,0.01,0.01,000,0.01
2013-07-18,0.01,0.01,0.01,0.01,976300,0.01
2013-07-17,0.01,0.01,0.01,0.01,165000,0.01
2013-07-16,0.01,0.01,0.01,0.01,280300,0.01
2013-07-15,0.01,0.01,0.01,0.01,1118000,0.01
2013-07-12,0.01,0.01,0.01,0.01,000,0.01
2013-07-11,0.01,0.01,0.01,0.01,1874900,0.01
2013-07-10,0.01,0.01,0.01,0.01,500000,0.01
2013-07-09,0.01,0.01,0.01,0.01,95700,0.01
2013-07-08,0.01,0.01,0.00,0.00,284000,0.00
2013-07-05,0.01,0.01,0.01,0.01,423600,0.01
2013-07-04,0.01,0.01,0.01,0.01,1292600,0.01
2013-07-03,0.01,0.01,0.01,0.01,000,0.01
2013-07-02,0.01,0.01,0.01,0.01,343000,0.01
2013-07-01,0.00,0.00,0.00,0.00,13300,0.00
2013-06-28,0.01,0.01,0.01,0.01,200000,0.01
2013-06-27,0.00,0.01,0.00,0.01,1087500,0.01
2013-06-26,0.01,0.01,0.01,0.01,324200,0.01
2013-06-25,0.01,0.01,0.01,0.01,25700,0.01
2013-06-24,0.01,0.01,0.01,0.01,35600,0.01
2013-06-21,0.01,0.01,0.01,0.01,000,0.01
2013-06-20,0.01,0.01,0.01,0.01,1250800,0.01
2013-06-18,0.01,0.01,0.01,0.01,90600,0.01
2013-06-17,0.01,0.01,0.01,0.01,000,0.01
2013-06-14,0.01,0.01,0.01,0.01,285000,0.01
2013-06-13,0.01,0.01,0.01,0.01,000,0.01
2013-06-12,0.01,0.01,0.01,0.01,665600,0.01
2013-06-11,0.01,0.01,0.01,0.01,242700,0.01
2013-06-10,0.01,0.01,0.01,0.01,000,0.01
2013-06-07,0.01,0.01,0.01,0.01,175000,0.01
2013-06-06,0.01,0.01,0.01,0.01,286000,0.01
2013-06-05,0.01,0.01,0.01,0.01,000,0.01
2013-06-04,0.01,0.01,0.01,0.01,000,0.01
2013-06-03,0.01,0.01,0.01,0.01,000,0.01
2013-05-31,0.01,0.01,0.01,0.01,12400,0.01
2013-05-30,0.01,0.01,0.01,0.01,987500,0.01
2013-05-29,0.01,0.01,0.01,0.01,5382400,0.01
2013-05-28,0.01,0.01,0.01,0.01,2781700,0.01
2013-05-27,0.01,0.01,0.01,0.01,610000,0.01
2013-05-24,0.01,0.01,0.01,0.01,5000000,0.01
2013-05-23,0.01,0.01,0.01,0.01,000,0.01
2013-05-22,0.01,0.01,0.01,0.01,500000,0.01
2013-05-21,0.01,0.01,0.01,0.01,500000,0.01
2013-05-20,0.01,0.01,0.01,0.01,2250000,0.01
2013-05-17,0.01,0.01,0.01,0.01,111100,0.01
2013-05-16,0.01,0.01,0.01,0.01,1000000,0.01
2013-05-15,0.01,0.01,0.01,0.01,2124800,0.01
2013-05-14,0.01,0.01,0.01,0.01,000,0.01
2013-05-13,0.01,0.01,0.01,0.01,536100,0.01
2013-05-10,0.01,0.01,0.01,0.01,4357200,0.01
2013-05-09,0.01,0.01,0.01,0.01,000,0.01
2013-05-08,0.01,0.01,0.01,0.01,000,0.01
2013-05-07,0.01,0.01,0.01,0.01,1448800,0.01
2013-05-06,0.01,0.01,0.01,0.01,684900,0.01
2013-05-03,0.01,0.01,0.01,0.01,543200,0.01
2013-05-02,0.01,0.01,0.01,0.01,1473300,0.01
