Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.56,0.56,0.56,0.56,000,0.55
2013-09-19,0.56,0.56,0.56,0.56,19600,0.55
2013-09-18,0.57,0.57,0.57,0.57,000,0.57
2013-09-17,0.57,0.57,0.57,0.57,000,0.57
2013-09-16,0.57,0.57,0.57,0.57,000,0.57
2013-09-13,0.57,0.57,0.57,0.57,000,0.57
2013-09-12,0.57,0.57,0.57,0.57,000,0.57
2013-09-11,0.57,0.57,0.57,0.57,000,0.57
2013-09-10,0.57,0.57,0.57,0.57,000,0.57
2013-09-09,0.56,0.57,0.56,0.57,35000,0.57
2013-09-06,0.54,0.54,0.54,0.54,000,0.53
2013-09-05,0.54,0.54,0.54,0.54,000,0.53
2013-09-04,0.54,0.54,0.54,0.54,000,0.53
2013-09-03,0.55,0.55,0.54,0.54,7000,0.53
2013-09-02,0.53,0.53,0.53,0.53,000,0.52
2013-08-30,0.53,0.53,0.53,0.53,000,0.52
2013-08-29,0.53,0.53,0.53,0.53,000,0.52
2013-08-28,0.53,0.53,0.53,0.53,000,0.52
2013-08-27,0.53,0.53,0.53,0.53,000,0.52
2013-08-26,0.53,0.53,0.53,0.53,000,0.52
2013-08-23,0.55,0.55,0.53,0.53,22200,0.52
2013-08-22,0.58,0.58,0.58,0.58,000,0.57
2013-08-21,0.58,0.58,0.58,0.58,000,0.57
2013-08-20,0.58,0.58,0.58,0.58,000,0.57
2013-08-19,0.58,0.58,0.58,0.58,000,0.57
2013-08-16,0.58,0.58,0.58,0.58,25000,0.57
2013-08-15,0.54,0.54,0.54,0.54,000,0.53
2013-08-14,0.54,0.54,0.54,0.54,25000,0.53
2013-08-13,0.54,0.54,0.54,0.54,000,0.53
2013-08-12,0.54,0.54,0.54,0.54,000,0.53
2013-08-09,0.54,0.54,0.54,0.54,000,0.53
2013-08-08,0.54,0.54,0.54,0.54,000,0.53
2013-08-07,0.55,0.55,0.54,0.54,84500,0.53
2013-08-06,0.55,0.55,0.55,0.55,000,0.54
2013-08-05,0.55,0.55,0.55,0.55,000,0.54
2013-08-02,0.55,0.55,0.55,0.55,45300,0.54
2013-08-01,0.55,0.55,0.55,0.55,000,0.54
2013-07-31,0.57,0.57,0.55,0.55,47300,0.54
2013-07-30,0.55,0.55,0.55,0.55,000,0.54
2013-07-29,0.56,0.59,0.55,0.55,130000,0.54
2013-07-26,0.50,0.50,0.50,0.50,000,0.49
2013-07-25,0.50,0.50,0.50,0.50,000,0.49
2013-07-24,0.50,0.50,0.50,0.50,000,0.49
2013-07-23,0.50,0.50,0.50,0.50,000,0.49
2013-07-22,0.50,0.50,0.50,0.50,32800,0.49
2013-07-19,0.48,0.48,0.48,0.48,000,0.47
2013-07-18,0.48,0.48,0.48,0.48,000,0.47
2013-07-17,0.48,0.48,0.48,0.48,000,0.47
2013-07-16,0.48,0.48,0.48,0.48,000,0.47
2013-07-15,0.48,0.48,0.48,0.48,000,0.47
2013-07-12,0.48,0.48,0.48,0.48,6000,0.47
2013-07-11,0.46,0.46,0.46,0.46,000,0.45
2013-07-10,0.46,0.46,0.46,0.46,000,0.45
2013-07-09,0.46,0.46,0.46,0.46,5300,0.45
2013-07-08,0.47,0.47,0.47,0.47,000,0.46
2013-07-05,0.47,0.47,0.47,0.47,000,0.46
2013-07-04,0.47,0.47,0.47,0.47,000,0.46
2013-07-03,0.47,0.47,0.47,0.47,000,0.46
2013-07-02,0.47,0.47,0.47,0.47,000,0.46
2013-07-01,0.47,0.47,0.47,0.47,000,0.46
2013-06-28,0.47,0.47,0.47,0.47,000,0.46
2013-06-27,0.47,0.47,0.47,0.47,000,0.46
2013-06-26,0.47,0.47,0.47,0.47,000,0.46
2013-06-25,0.47,0.47,0.47,0.47,000,0.46
