Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.04,0.04,0.04,0.04,99400,0.04
2013-09-19,0.05,0.05,0.04,0.04,492800,0.04
2013-09-18,0.05,0.05,0.05,0.05,137000,0.05
2013-09-17,0.05,0.05,0.05,0.05,45000,0.05
2013-09-16,0.05,0.05,0.05,0.05,000,0.05
2013-09-13,0.05,0.05,0.05,0.05,375200,0.05
2013-09-12,0.05,0.05,0.05,0.05,250000,0.05
2013-09-11,0.05,0.05,0.05,0.05,1518600,0.05
2013-09-10,0.05,0.05,0.05,0.05,000,0.05
2013-09-09,0.05,0.05,0.05,0.05,221400,0.05
2013-09-06,0.05,0.06,0.05,0.06,913100,0.06
2013-09-05,0.05,0.06,0.05,0.06,920000,0.06
2013-09-04,0.05,0.06,0.05,0.05,1455900,0.05
2013-09-03,0.05,0.05,0.05,0.05,815900,0.05
2013-09-02,0.05,0.05,0.05,0.05,000,0.05
2013-08-30,0.05,0.05,0.05,0.05,300000,0.05
2013-08-29,0.05,0.05,0.05,0.05,250000,0.05
2013-08-28,0.06,0.06,0.05,0.05,1034700,0.05
2013-08-27,0.05,0.06,0.05,0.06,1445800,0.06
2013-08-26,0.05,0.06,0.05,0.05,871000,0.05
2013-08-23,0.05,0.05,0.05,0.05,2279700,0.05
2013-08-22,0.04,0.05,0.04,0.05,207300,0.05
2013-08-21,0.04,0.05,0.04,0.04,857700,0.04
2013-08-20,0.04,0.04,0.04,0.04,194100,0.04
2013-08-19,0.04,0.04,0.04,0.04,904000,0.04
2013-08-16,0.04,0.04,0.04,0.04,919100,0.04
2013-08-15,0.04,0.04,0.04,0.04,858100,0.04
2013-08-14,0.05,0.05,0.04,0.05,647000,0.05
2013-08-13,0.04,0.05,0.04,0.05,1904800,0.05
2013-08-12,0.04,0.04,0.04,0.04,3203900,0.04
2013-08-09,0.04,0.04,0.04,0.04,401000,0.04
2013-08-08,0.04,0.04,0.03,0.03,472200,0.03
2013-08-07,0.03,0.04,0.03,0.03,1936400,0.03
2013-08-06,0.03,0.03,0.03,0.03,1264900,0.03
2013-08-05,0.03,0.03,0.03,0.03,1298000,0.03
2013-08-02,0.03,0.03,0.03,0.03,641000,0.03
2013-08-01,0.03,0.03,0.03,0.03,42600,0.03
2013-07-31,0.03,0.03,0.03,0.03,536000,0.03
2013-07-30,0.03,0.03,0.03,0.03,711900,0.03
2013-07-29,0.03,0.03,0.03,0.03,56000,0.03
2013-07-26,0.03,0.03,0.03,0.03,175500,0.03
2013-07-25,0.03,0.03,0.03,0.03,226000,0.03
2013-07-24,0.03,0.03,0.03,0.03,2497500,0.03
2013-07-23,0.03,0.03,0.03,0.03,673400,0.03
2013-07-19,0.03,0.03,0.03,0.03,85000,0.03
2013-07-18,0.03,0.03,0.03,0.03,516600,0.03
2013-07-17,0.03,0.03,0.03,0.03,315000,0.03
2013-07-16,0.03,0.03,0.03,0.03,15000,0.03
2013-07-15,0.03,0.03,0.03,0.03,122700,0.03
2013-07-12,0.03,0.03,0.03,0.03,000,0.03
2013-07-11,0.03,0.03,0.03,0.03,000,0.03
2013-07-10,0.03,0.03,0.03,0.03,150000,0.03
2013-07-09,0.03,0.03,0.03,0.03,464500,0.03
2013-07-08,0.03,0.03,0.02,0.02,782200,0.02
2013-07-05,0.03,0.03,0.03,0.03,000,0.03
2013-07-04,0.03,0.03,0.03,0.03,300000,0.03
2013-07-03,0.02,0.02,0.02,0.02,000,0.02
2013-07-02,0.02,0.02,0.02,0.02,000,0.02
2013-07-01,0.02,0.02,0.02,0.02,000,0.02
2013-06-28,0.02,0.02,0.02,0.02,390000,0.02
2013-06-27,0.02,0.02,0.02,0.02,331500,0.02
2013-06-26,0.02,0.02,0.02,0.02,1000000,0.02
2013-06-25,0.02,0.02,0.02,0.02,538700,0.02
2013-06-24,0.03,0.03,0.02,0.02,335000,0.02
2013-06-21,0.03,0.03,0.03,0.03,202000,0.03
2013-06-20,0.03,0.03,0.03,0.03,144000,0.03
2013-06-18,0.03,0.03,0.03,0.03,558500,0.03
2013-06-17,0.03,0.03,0.03,0.03,10000,0.03
2013-06-14,0.03,0.03,0.03,0.03,214000,0.03
2013-06-13,0.03,0.03,0.03,0.03,355000,0.03
2013-06-12,0.03,0.03,0.03,0.03,97500,0.03
2013-06-11,0.03,0.03,0.03,0.03,449300,0.03
2013-06-10,0.03,0.03,0.03,0.03,000,0.03
2013-06-07,0.03,0.03,0.03,0.03,35000,0.03
2013-06-06,0.03,0.03,0.03,0.03,000,0.03
2013-06-05,0.03,0.03,0.03,0.03,000,0.03
2013-06-04,0.03,0.03,0.03,0.03,000,0.03
2013-06-03,0.03,0.03,0.03,0.03,100000,0.03
2013-05-31,0.03,0.04,0.03,0.04,520800,0.04
2013-05-30,0.03,0.03,0.03,0.03,000,0.03
2013-05-29,0.03,0.03,0.03,0.03,000,0.03
2013-05-28,0.03,0.03,0.03,0.03,650000,0.03
2013-05-27,0.03,0.03,0.03,0.03,23800,0.03
2013-05-24,0.03,0.03,0.03,0.03,90000,0.03
2013-05-23,0.03,0.03,0.03,0.03,60000,0.03
2013-05-22,0.03,0.03,0.03,0.03,140000,0.03
2013-05-21,0.03,0.03,0.03,0.03,600000,0.03
2013-05-20,0.03,0.03,0.03,0.03,340000,0.03
2013-05-17,0.03,0.03,0.03,0.03,323800,0.03
2013-05-16,0.03,0.03,0.03,0.03,761100,0.03
2013-05-15,0.03,0.03,0.03,0.03,388800,0.03
2013-05-14,0.03,0.03,0.03,0.03,300000,0.03
2013-05-13,0.03,0.03,0.03,0.03,138400,0.03
2013-05-10,0.03,0.03,0.03,0.03,16700,0.03
2013-05-09,0.03,0.03,0.03,0.03,400000,0.03
2013-05-08,0.03,0.03,0.03,0.03,114700,0.03
2013-05-07,0.03,0.03,0.03,0.03,1679800,0.03
2013-05-06,0.03,0.03,0.03,0.03,3832100,0.03
2013-05-03,0.03,0.03,0.03,0.03,50000,0.03
2013-05-02,0.03,0.03,0.03,0.03,149700,0.03
2013-05-01,0.03,0.03,0.03,0.03,40000,0.03
2013-04-30,0.03,0.04,0.03,0.04,700000,0.04
