Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,4.45,4.47,4.45,4.47,87200,4.47
2013-09-19,4.48,4.48,4.42,4.44,106200,4.44
2013-09-18,4.46,4.48,4.42,4.43,121600,4.43
2013-09-17,4.44,4.46,4.43,4.46,85500,4.46
2013-09-16,4.50,4.50,4.43,4.46,146100,4.46
2013-09-13,4.54,4.55,4.50,4.50,71900,4.50
2013-09-12,4.50,4.54,4.50,4.54,49700,4.54
2013-09-11,4.46,4.50,4.46,4.49,47900,4.49
2013-09-10,4.50,4.53,4.45,4.45,102300,4.45
2013-09-09,4.43,4.51,4.41,4.49,133800,4.49
2013-09-06,4.48,4.48,4.41,4.44,129200,4.44
2013-09-05,4.45,4.46,4.41,4.44,76200,4.44
2013-09-04,4.44,4.48,4.43,4.48,66700,4.48
2013-09-03,4.43,4.44,4.39,4.44,96600,4.44
2013-09-02,4.37,4.42,4.35,4.42,138800,4.42
2013-08-30,4.36,4.40,4.35,4.40,80400,4.40
2013-08-29,4.38,4.38,4.34,4.35,86300,4.35
2013-08-28,4.37,4.39,4.35,4.36,60100,4.36
2013-08-27,4.39,4.39,4.37,4.37,90600,4.37
2013-08-26,4.37,4.40,4.37,4.38,114200,4.38
2013-08-23,4.39,4.40,4.34,4.37,96100,4.37
2013-08-22,4.39,4.40,4.35,4.39,88300,4.39
2013-08-21,4.39,4.41,4.37,4.39,93500,4.39
2013-08-20,4.37,4.42,4.35,4.38,184800,4.38
2013-08-19,4.33,4.40,4.33,4.40,50000,4.40
2013-08-16,4.40,4.40,4.35,4.35,97200,4.35
2013-08-15,4.42,4.42,4.39,4.41,68700,4.41
2013-08-14,4.37,4.42,4.37,4.42,49100,4.42
2013-08-13,4.37,4.40,4.36,4.37,110600,4.37
2013-08-12,4.37,4.39,4.34,4.38,127900,4.38
2013-08-09,4.40,4.41,4.36,4.37,122200,4.37
2013-08-08,4.39,4.42,4.38,4.38,158200,4.38
2013-08-07,4.40,4.41,4.37,4.38,122400,4.38
2013-08-06,4.39,4.46,4.30,4.41,369900,4.41
2013-08-05,4.69,4.71,4.65,4.69,123900,4.69
2013-08-02,4.68,4.77,4.65,4.65,198400,4.65
2013-08-01,4.62,4.72,4.62,4.66,151300,4.66
2013-07-31,4.67,4.67,4.57,4.61,177600,4.61
2013-07-30,4.71,4.74,4.65,4.65,213100,4.65
2013-07-29,4.72,4.74,4.68,4.71,158900,4.71
2013-07-26,4.65,4.72,4.65,4.70,63100,4.70
2013-07-25,3.50,3.50,3.50,3.50,000,3.50
2013-07-24,4.65,4.67,4.60,4.64,93100,4.64
2013-07-23,4.65,4.65,4.60,4.65,81600,4.65
2013-07-22,4.55,4.64,4.55,4.63,139000,4.63
2013-07-19,4.55,4.59,4.55,4.55,67700,4.55
2013-07-18,4.55,4.59,4.52,4.59,157100,4.59
2013-07-17,4.53,4.58,4.51,4.51,113400,4.51
2013-07-16,4.50,4.54,4.50,4.50,142500,4.50
2013-07-15,4.52,4.53,4.49,4.49,77600,4.49
2013-07-12,4.53,4.55,4.48,4.52,67600,4.52
2013-07-11,4.47,4.51,4.47,4.49,45900,4.49
2013-07-10,4.50,4.51,4.45,4.50,83900,4.50
2013-07-09,4.54,4.58,4.48,4.48,155800,4.48
2013-07-08,4.52,4.59,4.52,4.53,99800,4.53
2013-07-05,4.43,4.59,4.43,4.59,58500,4.59
2013-07-04,4.39,4.44,4.37,4.42,49700,4.42
2013-07-03,4.34,4.39,4.32,4.39,32500,4.39
2013-07-02,4.29,4.38,4.29,4.34,95500,4.34
2013-07-01,4.34,4.34,4.26,4.28,100500,4.28
2013-06-28,4.29,4.30,4.25,4.25,144400,4.25
2013-06-27,3.60,3.60,3.60,3.60,000,3.60
2013-06-26,4.23,4.33,4.23,4.25,113900,4.25
2013-06-25,4.25,4.27,4.20,4.21,77800,4.21
2013-06-24,4.23,4.28,4.22,4.27,80800,4.27
2013-06-21,4.20,4.26,4.18,4.26,117500,4.26
2013-06-20,4.26,4.26,4.20,4.21,119000,4.21
2013-06-19,4.37,4.38,4.26,4.26,161500,4.26
2013-06-18,4.39,4.44,4.30,4.39,138500,4.39
2013-06-17,4.40,4.41,4.32,4.39,128400,4.39
2013-06-14,4.28,4.38,4.25,4.29,97800,4.29
2013-06-13,4.25,4.32,4.21,4.28,44800,4.28
2013-06-12,4.22,4.30,4.22,4.29,69000,4.29
2013-06-11,4.32,4.35,4.22,4.22,134400,4.22
2013-06-10,3.60,3.60,3.60,3.60,000,3.60
2013-06-07,4.25,4.30,4.20,4.30,81000,4.30
2013-06-06,4.39,4.39,4.25,4.25,186200,4.25
2013-06-05,4.43,4.45,4.30,4.40,96100,4.40
2013-06-04,4.30,4.41,4.26,4.41,108700,4.41
2013-06-03,4.25,4.33,4.25,4.30,81200,4.30
2013-05-31,4.31,4.32,4.26,4.26,137400,4.26
2013-05-30,3.70,3.70,3.70,3.70,000,3.70
2013-05-29,3.70,3.70,3.70,3.70,000,3.70
2013-05-28,4.35,4.40,4.32,4.40,36800,4.40
2013-05-27,3.70,3.70,3.70,3.70,000,3.70
2013-05-24,4.39,4.40,4.35,4.39,83800,4.39
2013-05-23,3.70,3.70,3.70,3.70,000,3.70
2013-05-22,3.70,3.70,3.70,3.70,000,3.70
2013-05-21,4.46,4.53,4.43,4.52,98900,4.52
2013-05-20,4.44,4.50,4.40,4.49,54500,4.49
2013-05-17,4.38,4.44,4.36,4.44,82700,4.44
2013-05-16,4.41,4.44,4.38,4.39,101400,4.39
2013-05-15,4.43,4.45,4.35,4.35,166500,4.35
2013-05-14,4.44,4.47,4.42,4.42,42300,4.42
2013-05-13,4.43,4.48,4.40,4.44,99100,4.44
2013-05-10,4.43,4.46,4.40,4.41,112000,4.41
2013-05-09,4.36,4.45,4.35,4.44,120300,4.44
2013-05-08,4.35,4.39,4.30,4.35,185800,4.35
2013-05-07,4.34,4.39,4.31,4.35,87200,4.35
2013-05-06,4.25,4.38,4.25,4.36,197600,4.36
2013-05-03,3.70,3.70,3.70,3.70,000,3.70
2013-05-02,4.26,4.28,4.24,4.26,131400,4.26
2013-05-01,4.18,4.28,4.18,4.27,195400,4.27
2013-04-30,4.20,4.22,4.18,4.21,157900,4.21
2013-04-29,4.23,4.23,4.18,4.22,184800,4.22
2013-04-26,4.18,4.23,4.18,4.23,153000,4.23
2013-04-25,3.57,3.57,3.57,3.57,000,3.57
2013-04-24,4.18,4.18,4.15,4.18,172800,4.18
2013-04-23,4.25,4.25,4.17,4.18,131900,4.18
2013-04-22,4.19,4.25,4.17,4.25,84000,4.25
2013-04-19,4.15,4.21,4.15,4.21,77500,4.21
2013-04-18,4.20,4.22,4.13,4.15,115300,4.15
2013-04-17,4.26,4.29,4.20,4.20,125700,4.20
2013-04-16,4.23,4.27,4.20,4.26,74600,4.26
2013-04-15,4.27,4.28,4.21,4.28,151700,4.28
2013-04-12,4.24,4.28,4.22,4.28,95400,4.28
2013-04-11,4.19,4.24,4.18,4.24,94800,4.24
2013-04-10,4.13,4.20,4.11,4.15,97600,4.15
2013-04-09,4.16,4.19,4.14,4.14,83900,4.14
2013-04-08,4.14,4.17,4.11,4.16,92100,4.16
2013-04-05,4.12,4.15,4.10,4.14,72400,4.14
2013-04-04,4.15,4.15,4.11,4.11,72000,4.11
2013-04-03,4.15,4.15,4.13,4.15,85600,4.15
2013-04-02,4.12,4.18,4.12,4.14,73000,4.14
2013-04-01,3.67,3.67,3.67,3.67,000,3.67
2013-03-29,3.67,3.67,3.67,3.67,000,3.67
2013-03-28,4.10,4.15,4.09,4.12,127800,4.12
2013-03-27,4.11,4.12,4.07,4.11,124600,4.11
2013-03-26,4.07,4.12,4.06,4.12,187500,4.12
2013-03-25,4.05,4.12,4.05,4.10,195900,4.10
2013-03-22,4.08,4.10,4.05,4.05,211100,4.05
2013-03-21,3.67,3.67,3.67,3.67,000,3.67
2013-03-20,3.67,3.67,3.67,3.67,000,3.67
2013-03-19,4.17,4.18,4.13,4.13,139800,4.13
2013-03-18,4.19,4.20,4.17,4.18,84000,4.18
2013-03-15,4.20,4.28,4.15,4.26,312100,4.26
2013-03-14,4.21,4.21,4.16,4.16,111200,4.16
2013-03-13,4.20,4.21,4.17,4.17,94600,4.17
2013-03-12,4.23,4.24,4.20,4.20,103100,4.20
2013-03-11,4.23,4.27,4.21,4.25,46200,4.25
2013-03-08,4.23,4.28,4.22,4.22,118600,4.22
2013-03-07,4.20,4.27,4.19,4.27,175500,4.27
2013-03-06,4.12,4.20,4.12,4.20,221900,4.20
2013-03-05,4.15,4.18,4.13,4.13,195500,4.13
2013-03-04,4.22,4.22,4.14,4.14,127200,4.14
2013-03-01,4.26,4.29,4.20,4.24,76100,4.24
2013-02-28,4.26,4.27,4.22,4.26,109100,4.26
2013-02-27,4.24,4.28,4.24,4.26,161000,4.26
2013-02-26,4.24,4.29,4.23,4.28,112500,4.28
2013-02-25,4.23,4.29,4.23,4.26,143300,4.26
2013-02-22,4.25,4.27,4.21,4.25,143600,4.25
2013-02-21,4.20,4.26,4.20,4.23,148100,4.23
2013-02-20,3.51,3.51,3.51,3.51,000,3.51
2013-02-19,4.21,4.26,4.20,4.20,154600,4.20
2013-02-18,4.21,4.27,4.20,4.21,112600,4.21
2013-02-15,4.18,4.25,4.18,4.20,212800,4.20
2013-02-14,4.10,4.18,4.10,4.17,136600,4.17
2013-02-13,4.02,4.11,4.02,4.11,245200,4.11
2013-02-12,4.05,4.05,4.02,4.02,180800,4.02
2013-02-11,4.10,4.11,4.02,4.07,203800,4.07
2013-02-08,4.07,4.10,4.06,4.09,146400,4.09
2013-02-07,4.07,4.09,4.06,4.06,118500,4.06
2013-02-06,4.10,4.10,4.06,4.09,182700,4.09
2013-02-05,4.06,4.11,4.05,4.11,122800,4.11
2013-02-04,4.13,4.14,4.10,4.10,245700,4.10
2013-02-01,4.14,4.14,4.11,4.12,132300,4.12
2013-01-31,4.16,4.17,4.12,4.14,120200,4.14
2013-01-30,4.19,4.21,4.15,4.16,378500,4.16
2013-01-29,4.25,4.25,4.19,4.19,220800,4.19
2013-01-28,3.45,3.45,3.45,3.45,000,3.45
2013-01-25,4.29,4.33,4.29,4.31,165800,4.31
2013-01-24,4.28,4.31,4.27,4.28,198700,4.28
2013-01-23,4.26,4.31,4.25,4.29,264100,4.29
2013-01-22,4.22,4.26,4.21,4.26,145400,4.26
2013-01-21,4.23,4.25,4.20,4.20,160200,4.20
2013-01-18,4.21,4.24,4.19,4.19,215000,4.19
2013-01-17,4.24,4.24,4.19,4.19,206000,4.19
2013-01-16,4.22,4.25,4.21,4.24,115800,4.24
2013-01-15,4.24,4.26,4.22,4.22,119000,4.22
2013-01-14,4.28,4.29,4.23,4.24,164200,4.24
2013-01-11,4.21,4.31,4.21,4.29,102500,4.29
2013-01-10,4.20,4.23,4.17,4.23,120200,4.23
2013-01-09,4.21,4.22,4.17,4.21,121700,4.21
2013-01-08,4.21,4.24,4.16,4.19,107300,4.19
2013-01-07,4.20,4.28,4.17,4.20,150600,4.20
2013-01-04,4.21,4.23,4.15,4.17,170700,4.17
2013-01-03,4.18,4.25,4.17,4.21,128500,4.21
2013-01-02,4.08,4.16,4.07,4.16,133100,4.16
2013-01-01,3.37,3.37,3.37,3.37,000,3.37
2012-12-31,4.06,4.08,4.05,4.08,25600,4.08
2012-12-28,4.06,4.08,4.05,4.08,53200,4.08
2012-12-27,3.37,3.37,3.37,3.37,000,3.37
2012-12-26,3.37,3.37,3.37,3.37,000,3.37
2012-12-25,3.37,3.37,3.37,3.37,000,3.37
2012-12-24,4.06,4.06,4.05,4.06,30400,4.06
2012-12-21,3.37,3.37,3.37,3.37,000,3.37
2012-12-20,4.07,4.09,4.03,4.05,177900,4.05
2012-12-19,4.08,4.12,4.05,4.07,69400,4.07
2012-12-18,4.13,4.15,4.08,4.08,164100,4.08
2012-12-17,4.09,4.10,4.07,4.10,121000,4.10
2012-12-14,4.09,4.09,4.06,4.07,89400,4.07
