Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,5.25,5.32,5.15,5.21,1024900,5.21
2013-09-19,5.14,5.24,5.08,5.21,1563200,5.21
2013-09-18,5.02,5.08,5.02,5.04,1207700,5.04
2013-09-17,5.04,5.12,4.94,5.06,1056000,5.06
2013-09-16,4.95,5.16,4.93,5.09,1458000,5.09
2013-09-13,4.85,4.96,4.81,4.90,1055700,4.90
2013-09-12,4.82,4.89,4.79,4.86,1053500,4.86
2013-09-11,4.75,4.82,4.73,4.80,1000000,4.80
2013-09-10,4.76,4.77,4.73,4.75,437600,4.75
2013-09-09,4.80,4.87,4.74,4.80,723400,4.80
2013-09-06,4.70,4.77,4.61,4.77,1461700,4.77
2013-09-05,4.54,4.69,4.54,4.69,1151100,4.69
2013-09-04,4.62,4.62,4.52,4.54,771400,4.54
2013-09-03,4.70,4.72,4.59,4.60,995300,4.60
2013-09-02,4.55,4.73,4.55,4.73,806800,4.73
2013-08-30,4.36,4.52,4.34,4.52,886000,4.52
2013-08-29,4.43,4.46,4.38,4.43,923700,4.43
2013-08-28,4.43,4.49,4.39,4.49,977000,4.49
2013-08-27,4.44,4.47,4.41,4.47,535000,4.47
2013-08-26,4.46,4.48,4.42,4.43,947400,4.43
2013-08-23,4.42,4.48,4.42,4.45,942500,4.45
2013-08-22,4.38,4.49,4.33,4.44,1097200,4.44
2013-08-21,4.50,4.50,4.44,4.45,210700,4.45
2013-08-20,4.45,4.49,4.43,4.47,526200,4.47
2013-08-19,4.50,4.50,4.44,4.49,761400,4.49
2013-08-16,4.48,4.54,4.42,4.46,481600,4.46
2013-08-15,4.60,4.60,4.47,4.50,546000,4.50
2013-08-14,4.58,4.62,4.53,4.56,661600,4.56
2013-08-13,4.52,4.56,4.48,4.53,727300,4.53
2013-08-12,4.48,4.57,4.48,4.57,517400,4.57
2013-08-09,4.47,4.52,4.44,4.52,548400,4.52
2013-08-08,4.56,4.62,4.49,4.52,816500,4.52
2013-08-07,4.65,4.68,4.49,4.52,1442700,4.52
2013-08-06,4.65,4.73,4.62,4.73,2181800,4.73
2013-08-05,4.57,4.62,4.56,4.61,466800,4.61
2013-08-02,4.51,4.59,4.49,4.56,902800,4.56
2013-08-01,4.42,4.54,4.42,4.51,981300,4.51
2013-07-31,4.42,4.52,4.41,4.46,960600,4.46
2013-07-30,4.50,4.50,4.36,4.38,786300,4.38
2013-07-29,4.46,4.47,4.40,4.47,366400,4.47
2013-07-26,4.45,4.45,4.40,4.44,468200,4.44
2013-07-25,4.47,4.49,4.40,4.44,691600,4.44
2013-07-24,4.47,4.49,4.42,4.45,581900,4.45
2013-07-23,4.53,4.56,4.45,4.48,1292500,4.48
2013-07-22,4.64,4.80,4.45,4.49,882900,4.49
2013-07-19,4.43,4.50,4.36,4.50,1757500,4.50
2013-07-18,4.40,4.45,4.37,4.40,1241800,4.40
2013-07-17,4.25,4.39,4.25,4.37,1349700,4.37
2013-07-16,4.32,4.34,4.23,4.24,1152200,4.24
2013-07-15,4.37,4.38,4.28,4.34,747600,4.34
2013-07-12,4.30,4.37,4.28,4.32,747900,4.32
2013-07-11,4.38,4.38,4.25,4.28,1641700,4.28
2013-07-10,4.40,4.41,4.26,4.31,1009800,4.31
2013-07-09,4.36,4.42,4.29,4.36,1555600,4.36
2013-07-08,4.28,4.30,4.22,4.30,1032800,4.30
2013-07-05,4.17,4.28,4.15,4.28,1137100,4.28
2013-07-04,4.15,4.17,4.11,4.15,2715100,4.15
2013-07-03,4.17,4.22,4.07,4.14,2240400,4.14
2013-07-02,4.13,4.21,4.12,4.15,1976800,4.15
2013-07-01,4.18,4.21,4.10,4.14,896800,4.14
2013-06-28,4.22,4.25,4.18,4.21,1556400,4.21
2013-06-27,4.16,4.28,4.14,4.25,2294600,4.25
2013-06-26,4.15,4.20,4.13,4.15,845800,4.15
2013-06-25,4.14,4.17,4.08,4.14,1517000,4.14
2013-06-24,4.05,4.21,3.98,4.20,1737600,4.20
2013-06-21,4.11,4.15,4.06,4.13,2137600,4.13
2013-06-20,4.30,4.30,4.17,4.19,1735000,4.19
2013-06-19,4.30,4.32,4.23,4.28,2039000,4.28
2013-06-18,4.27,4.33,4.27,4.29,1950600,4.29
2013-06-17,4.30,4.36,4.26,4.36,2304500,4.36
2013-06-14,4.35,4.41,4.29,4.34,1102100,4.34
2013-06-13,4.27,4.41,4.21,4.41,1978500,4.41
2013-06-12,4.35,4.38,4.26,4.33,1553400,4.33
2013-06-11,4.36,4.46,4.36,4.40,906800,4.40
2013-06-10,4.40,4.40,4.40,4.40,000,4.40
2013-06-07,4.48,4.48,4.36,4.40,1429100,4.40
2013-06-06,4.50,4.53,4.45,4.48,1686800,4.48
2013-06-05,4.45,4.51,4.44,4.50,1544500,4.50
2013-06-04,4.53,4.56,4.47,4.51,1165100,4.51
2013-06-03,4.62,4.63,4.47,4.51,1064900,4.51
2013-05-31,4.56,4.62,4.50,4.59,1436000,4.59
2013-05-30,4.67,4.68,4.54,4.58,2124300,4.58
2013-05-29,4.50,4.66,4.48,4.65,1740300,4.65
2013-05-28,4.47,4.51,4.45,4.50,1365900,4.50
2013-05-27,4.51,4.54,4.44,4.49,1008100,4.49
2013-05-24,4.59,4.59,4.36,4.51,3598800,4.51
2013-05-23,4.78,4.78,4.47,4.61,2498700,4.61
2013-05-22,4.72,4.80,4.67,4.80,4836800,4.80
2013-05-21,4.67,4.73,4.65,4.65,1323200,4.65
2013-05-20,4.81,4.83,4.69,4.70,1552100,4.70
2013-05-17,4.84,4.89,4.76,4.81,1413000,4.73
2013-05-16,4.80,4.93,4.77,4.77,1236600,4.69
