Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,12.60,12.67,12.31,12.67,464200,12.67
2013-09-19,12.46,12.88,12.46,12.62,230900,12.62
2013-09-18,12.75,12.75,12.50,12.58,176200,12.58
2013-09-17,12.75,12.97,12.68,12.70,133400,12.70
2013-09-16,13.00,13.00,12.74,12.80,124200,12.80
2013-09-13,12.94,13.08,12.60,12.81,172500,12.81
2013-09-12,13.15,13.15,12.90,13.00,190500,13.00
2013-09-11,13.50,13.50,13.13,13.35,70500,13.35
2013-09-10,13.37,13.60,13.16,13.44,52600,13.44
2013-09-09,13.42,13.47,13.17,13.31,120800,13.31
2013-09-06,13.53,13.70,13.20,13.33,116200,13.33
2013-09-05,13.92,14.00,13.36,13.46,96200,13.46
2013-09-04,14.16,14.19,13.65,13.76,504700,13.76
2013-09-03,14.46,14.46,13.93,13.95,111400,13.95
2013-09-02,14.08,14.50,14.08,14.42,134900,14.42
2013-08-30,13.65,13.90,13.65,13.83,83000,13.83
2013-08-29,13.69,13.83,13.65,13.83,77800,13.83
2013-08-28,13.41,13.76,13.40,13.73,165800,13.73
2013-08-27,13.68,13.85,13.54,13.60,85100,13.60
2013-08-26,13.70,13.85,13.43,13.68,261100,13.68
2013-08-23,13.67,13.83,13.37,13.50,164700,13.50
2013-08-22,14.30,14.32,13.31,13.60,602100,13.60
2013-08-21,13.40,14.46,13.30,14.22,242800,14.22
2013-08-20,13.12,13.41,13.12,13.40,76300,13.25
2013-08-19,13.45,13.45,12.96,13.15,316200,13.00
2013-08-16,13.05,13.10,12.80,12.88,2157000,12.73
2013-08-15,11.82,11.82,11.82,11.82,000,11.68
2013-08-14,11.82,11.82,11.82,11.82,000,11.68
2013-08-13,11.82,11.82,11.82,11.82,000,11.68
2013-08-12,11.67,11.87,11.62,11.82,68200,11.68
2013-08-09,11.76,11.82,11.72,11.74,199300,11.61
2013-08-08,11.75,11.89,11.73,11.85,272100,11.71
2013-08-07,12.01,12.01,11.71,11.75,376600,11.61
2013-08-06,11.85,12.25,11.85,12.00,195100,11.86
2013-08-05,11.80,11.98,11.72,11.88,131400,11.74
2013-08-02,11.63,11.92,11.60,11.84,87900,11.70
2013-08-01,11.72,11.80,11.59,11.65,226300,11.52
2013-07-31,11.57,11.64,11.52,11.60,58200,11.47
2013-07-30,11.35,11.58,11.24,11.55,91600,11.42
2013-07-29,11.45,11.45,11.30,11.37,18400,11.24
2013-07-26,11.45,11.45,11.24,11.27,33500,11.14
2013-07-25,11.45,11.45,11.28,11.35,51600,11.22
2013-07-24,11.18,11.44,11.12,11.41,135100,11.28
2013-07-23,11.00,11.23,10.95,11.16,78200,11.03
2013-07-22,11.10,11.49,10.99,10.99,115300,10.86
2013-07-19,11.15,11.25,10.97,11.00,111900,10.87
2013-07-18,11.50,11.50,10.95,11.19,93900,11.06
2013-07-17,11.47,11.57,11.39,11.44,37900,11.31
2013-07-16,11.55,11.72,11.45,11.60,68100,11.47
2013-07-15,11.40,11.65,11.38,11.55,82100,11.42
