Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.22,0.22,0.22,0.22,10000,0.22
2013-09-19,0.22,0.22,0.22,0.22,000,0.22
2013-09-18,0.22,0.22,0.22,0.22,30300,0.22
2013-09-17,0.25,0.25,0.25,0.25,000,0.25
2013-09-16,0.25,0.25,0.25,0.25,000,0.25
2013-09-13,0.27,0.27,0.25,0.25,143200,0.25
2013-09-12,0.28,0.28,0.27,0.27,22700,0.27
2013-09-11,0.27,0.28,0.27,0.28,96600,0.28
2013-09-10,0.26,0.26,0.26,0.26,2000,0.26
2013-09-09,0.27,0.27,0.27,0.27,000,0.27
2013-09-06,0.28,0.28,0.27,0.27,9900,0.27
2013-09-05,0.26,0.26,0.26,0.26,7000,0.26
2013-09-04,0.28,0.28,0.28,0.28,3100,0.28
2013-09-03,0.26,0.26,0.25,0.25,45800,0.25
2013-09-02,0.28,0.28,0.28,0.28,4600,0.28
2013-08-30,0.28,0.28,0.28,0.28,000,0.28
2013-08-29,0.28,0.28,0.28,0.28,4000,0.28
2013-08-28,0.27,0.27,0.27,0.27,700,0.27
2013-08-27,0.26,0.26,0.26,0.26,47800,0.26
2013-08-26,0.26,0.26,0.26,0.26,7600,0.26
2013-08-23,0.25,0.25,0.25,0.25,8500,0.25
2013-08-22,0.25,0.25,0.25,0.25,7700,0.25
2013-08-21,0.22,0.23,0.22,0.23,99600,0.23
2013-08-20,0.22,0.22,0.22,0.22,000,0.22
2013-08-19,0.22,0.22,0.22,0.22,17000,0.22
2013-08-16,0.23,0.23,0.20,0.20,105500,0.20
2013-08-15,0.19,0.19,0.18,0.19,52300,0.19
2013-08-14,0.19,0.19,0.19,0.19,000,0.19
2013-08-13,0.19,0.19,0.19,0.19,10000,0.19
2013-08-12,0.19,0.19,0.19,0.19,7000,0.19
2013-08-09,0.22,0.22,0.20,0.20,60500,0.20
2013-08-08,0.21,0.21,0.21,0.21,30200,0.21
2013-08-07,0.22,0.22,0.22,0.22,000,0.22
2013-08-06,0.22,0.22,0.22,0.22,34900,0.22
2013-08-05,0.22,0.22,0.22,0.22,15000,0.22
2013-08-02,0.20,0.20,0.20,0.20,18900,0.20
