Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.03,0.03,0.03,0.03,2101700,0.03
2013-09-19,0.03,0.03,0.03,0.03,2522900,0.03
2013-09-18,0.03,0.03,0.03,0.03,2286900,0.03
2013-09-17,0.04,0.04,0.03,0.03,1964900,0.03
2013-09-16,0.04,0.04,0.04,0.04,1390000,0.04
2013-09-13,0.04,0.04,0.04,0.04,2871100,0.04
2013-09-12,0.04,0.04,0.04,0.04,2749900,0.04
2013-09-11,0.03,0.04,0.03,0.04,8803900,0.04
2013-09-10,0.03,0.03,0.03,0.03,179700,0.03
2013-09-09,0.03,0.03,0.03,0.03,537000,0.03
2013-09-06,0.03,0.03,0.03,0.03,777100,0.03
2013-09-05,0.03,0.04,0.03,0.04,923000,0.04
2013-09-04,0.03,0.03,0.03,0.03,1234300,0.03
2013-09-03,0.02,0.03,0.02,0.03,812000,0.03
2013-09-02,0.03,0.03,0.03,0.03,980000,0.03
2013-08-30,0.03,0.03,0.03,0.03,000,0.03
2013-08-29,0.03,0.03,0.03,0.03,433300,0.03
2013-08-28,0.03,0.03,0.03,0.03,200000,0.03
2013-08-27,0.03,0.03,0.03,0.03,120000,0.03
2013-08-26,0.03,0.03,0.03,0.03,189000,0.03
2013-08-23,0.03,0.03,0.03,0.03,300000,0.03
2013-08-22,0.03,0.03,0.03,0.03,1022300,0.03
2013-08-21,0.02,0.03,0.02,0.03,436000,0.03
2013-08-20,0.02,0.02,0.02,0.02,38800,0.02
2013-08-19,0.02,0.03,0.02,0.02,971100,0.02
2013-08-16,0.03,0.03,0.03,0.03,10700,0.03
2013-08-15,0.03,0.03,0.02,0.03,836100,0.03
2013-08-14,0.03,0.03,0.03,0.03,340000,0.03
2013-08-13,0.03,0.03,0.03,0.03,135000,0.03
2013-08-12,0.03,0.03,0.03,0.03,65000,0.03
2013-08-09,0.03,0.03,0.03,0.03,000,0.03
2013-08-08,0.03,0.03,0.03,0.03,000,0.03
2013-08-07,0.03,0.03,0.03,0.03,125400,0.03
2013-08-06,0.03,0.03,0.03,0.03,160800,0.03
2013-08-05,0.03,0.03,0.03,0.03,50000,0.03
2013-08-02,0.03,0.03,0.03,0.03,000,0.03
2013-08-01,0.03,0.03,0.03,0.03,000,0.03
2013-07-31,0.03,0.03,0.03,0.03,000,0.03
2013-07-30,0.03,0.03,0.03,0.03,000,0.03
2013-07-29,0.03,0.03,0.03,0.03,104900,0.03
2013-07-26,0.03,0.03,0.03,0.03,000,0.03
2013-07-25,0.03,0.03,0.03,0.03,844800,0.03
2013-07-24,0.03,0.03,0.03,0.03,150700,0.03
2013-07-23,0.03,0.03,0.03,0.03,000,0.03
2013-07-19,0.03,0.03,0.03,0.03,000,0.03
2013-07-18,0.03,0.03,0.03,0.03,60000,0.03
2013-07-17,0.03,0.03,0.03,0.03,000,0.03
2013-07-16,0.03,0.03,0.03,0.03,000,0.03
2013-07-15,0.03,0.03,0.03,0.03,85000,0.03
2013-07-12,0.03,0.03,0.03,0.03,230000,0.03
2013-07-11,0.03,0.03,0.03,0.03,40800,0.03
2013-07-10,0.03,0.03,0.03,0.03,160000,0.03
2013-07-09,0.03,0.03,0.03,0.03,149300,0.03
