Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.03,0.03,0.03,0.03,000,0.03
2013-09-19,0.03,0.03,0.03,0.03,50000,0.03
2013-09-18,0.02,0.03,0.02,0.03,812700,0.03
2013-09-17,0.02,0.02,0.02,0.02,48000,0.02
2013-09-16,0.02,0.02,0.02,0.02,150000,0.02
2013-09-13,0.02,0.02,0.02,0.02,140000,0.02
2013-09-12,0.02,0.02,0.02,0.02,000,0.02
2013-09-11,0.02,0.02,0.02,0.02,000,0.02
2013-09-10,0.02,0.02,0.02,0.02,000,0.02
2013-09-09,0.02,0.02,0.02,0.02,000,0.02
2013-09-06,0.02,0.02,0.02,0.02,000,0.02
2013-09-05,0.02,0.02,0.02,0.02,1200,0.02
2013-09-04,0.02,0.02,0.02,0.02,000,0.02
2013-09-03,0.02,0.02,0.02,0.02,000,0.02
2013-09-02,0.02,0.02,0.02,0.02,000,0.02
2013-08-30,0.02,0.02,0.02,0.02,000,0.02
2013-08-29,0.02,0.02,0.02,0.02,000,0.02
2013-08-28,0.02,0.02,0.02,0.02,000,0.02
2013-08-27,0.02,0.02,0.02,0.02,000,0.02
2013-08-26,0.02,0.02,0.02,0.02,1600,0.02
2013-08-23,0.02,0.02,0.02,0.02,000,0.02
2013-08-22,0.02,0.02,0.02,0.02,62600,0.02
2013-08-21,0.02,0.02,0.02,0.02,000,0.02
2013-08-20,0.02,0.02,0.02,0.02,100000,0.02
2013-08-19,0.02,0.02,0.02,0.02,000,0.02
2013-08-16,0.02,0.02,0.02,0.02,553300,0.02
2013-08-15,0.02,0.02,0.02,0.02,500000,0.02
2013-08-14,0.02,0.02,0.02,0.02,62000,0.02
2013-08-13,0.02,0.02,0.02,0.02,1797800,0.02
2013-08-12,0.02,0.02,0.02,0.02,100000,0.02
2013-08-09,0.02,0.02,0.02,0.02,125000,0.02
2013-08-08,0.02,0.02,0.02,0.02,10600,0.02
2013-08-07,0.02,0.02,0.02,0.02,1007300,0.02
2013-08-06,0.02,0.02,0.02,0.02,79900,0.02
2013-08-05,0.02,0.02,0.02,0.02,780000,0.02
2013-08-02,0.02,0.02,0.02,0.02,40000,0.02
2013-08-01,0.02,0.02,0.02,0.02,250000,0.02
2013-07-31,0.02,0.02,0.02,0.02,000,0.02
2013-07-30,0.02,0.02,0.02,0.02,365000,0.02
2013-07-29,0.02,0.02,0.02,0.02,25000,0.02
2013-07-26,0.02,0.02,0.02,0.02,1070000,0.02
2013-07-25,0.02,0.02,0.02,0.02,1000000,0.02
2013-07-24,0.01,0.01,0.01,0.01,000,0.01
2013-07-23,0.01,0.01,0.01,0.01,000,0.01
