Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.07,0.08,0.07,0.08,77300,0.08
2013-09-19,0.08,0.08,0.08,0.08,000,0.08
2013-09-18,0.08,0.08,0.08,0.08,000,0.08
2013-09-17,0.08,0.08,0.08,0.08,1500,0.08
2013-09-16,0.08,0.08,0.08,0.08,42100,0.08
2013-09-13,0.08,0.08,0.08,0.08,59200,0.08
2013-09-12,0.08,0.08,0.08,0.08,6700,0.08
2013-09-11,0.08,0.08,0.08,0.08,25000,0.08
2013-09-10,0.08,0.08,0.08,0.08,168000,0.08
2013-09-09,0.08,0.08,0.08,0.08,9000,0.08
2013-09-06,0.08,0.08,0.08,0.08,37000,0.08
2013-09-05,0.08,0.08,0.08,0.08,000,0.08
2013-09-04,0.08,0.08,0.08,0.08,211000,0.08
2013-09-03,0.08,0.08,0.08,0.08,000,0.08
2013-09-02,0.08,0.08,0.08,0.08,118000,0.08
2013-08-30,0.08,0.08,0.08,0.08,000,0.08
2013-08-29,0.08,0.08,0.08,0.08,000,0.08
2013-08-28,0.08,0.08,0.08,0.08,24500,0.08
2013-08-27,0.08,0.08,0.08,0.08,000,0.08
2013-08-26,0.08,0.08,0.08,0.08,000,0.08
2013-08-23,0.08,0.08,0.08,0.08,43500,0.08
2013-08-22,0.08,0.08,0.08,0.08,60000,0.08
2013-08-21,0.08,0.08,0.08,0.08,135000,0.08
2013-08-20,0.08,0.08,0.08,0.08,37000,0.08
2013-08-19,0.08,0.08,0.08,0.08,91500,0.08
2013-08-16,0.08,0.08,0.08,0.08,51000,0.08
2013-08-15,0.08,0.08,0.08,0.08,79700,0.08
2013-08-14,0.08,0.08,0.08,0.08,71600,0.08
2013-08-13,0.07,0.07,0.07,0.07,000,0.07
2013-08-12,0.07,0.07,0.07,0.07,320000,0.07
2013-08-09,0.08,0.08,0.08,0.08,33300,0.08
2013-08-08,0.07,0.08,0.07,0.08,20800,0.08
2013-08-07,0.08,0.08,0.08,0.08,62200,0.08
2013-08-06,0.07,0.07,0.07,0.07,000,0.07
2013-08-05,0.07,0.07,0.07,0.07,000,0.07
2013-08-02,0.07,0.07,0.07,0.07,45000,0.07
2013-08-01,0.07,0.07,0.07,0.07,195000,0.07
2013-07-31,0.07,0.07,0.07,0.07,000,0.07
2013-07-30,0.07,0.07,0.07,0.07,50000,0.07
2013-07-29,0.07,0.07,0.07,0.07,20000,0.07
2013-07-26,0.07,0.07,0.07,0.07,000,0.07
2013-07-25,0.07,0.07,0.07,0.07,000,0.07
2013-07-24,0.08,0.08,0.07,0.07,84000,0.07
2013-07-23,0.07,0.07,0.07,0.07,000,0.07
2013-07-22,0.07,0.07,0.07,0.07,100000,0.07
2013-07-19,0.07,0.07,0.07,0.07,000,0.07
2013-07-18,0.07,0.07,0.07,0.07,10000,0.07
2013-07-17,0.07,0.07,0.07,0.07,108000,0.07
2013-07-16,0.07,0.07,0.07,0.07,000,0.07
2013-07-15,0.07,0.07,0.07,0.07,9300,0.07
2013-07-12,0.07,0.07,0.06,0.06,210000,0.06
2013-07-11,0.06,0.06,0.06,0.06,000,0.06
2013-07-10,0.06,0.06,0.06,0.06,000,0.06
2013-07-09,0.06,0.06,0.06,0.06,000,0.06
2013-07-08,0.06,0.06,0.06,0.06,36000,0.06
2013-07-05,0.06,0.06,0.06,0.06,131500,0.06
2013-07-04,0.06,0.06,0.06,0.06,368400,0.06
2013-07-03,0.07,0.07,0.07,0.07,110000,0.07
2013-07-02,0.07,0.07,0.07,0.07,105100,0.07
2013-07-01,0.07,0.07,0.06,0.06,172900,0.06
2013-06-28,0.07,0.07,0.07,0.07,199000,0.07
2013-06-27,0.07,0.07,0.07,0.07,000,0.07
2013-06-26,0.07,0.07,0.07,0.07,100000,0.07
2013-06-25,0.07,0.07,0.07,0.07,30000,0.07
2013-06-24,0.07,0.07,0.07,0.07,45000,0.07
2013-06-21,0.07,0.07,0.07,0.07,17100,0.07
2013-06-20,0.07,0.07,0.07,0.07,125000,0.07
2013-06-19,0.07,0.07,0.07,0.07,100000,0.07
2013-06-18,0.08,0.08,0.07,0.07,120900,0.07
2013-06-17,0.08,0.08,0.08,0.08,000,0.08
2013-06-14,0.08,0.08,0.08,0.08,30000,0.08
2013-06-13,0.08,0.08,0.08,0.08,32000,0.08
2013-06-12,0.08,0.08,0.08,0.08,000,0.08
2013-06-11,0.08,0.08,0.08,0.08,331600,0.08
2013-06-10,0.08,0.08,0.08,0.08,000,0.08
2013-06-07,0.08,0.08,0.08,0.08,14000,0.08
2013-06-06,0.08,0.08,0.08,0.08,000,0.08
2013-06-05,0.08,0.08,0.08,0.08,000,0.08
2013-06-04,0.08,0.08,0.08,0.08,33000,0.08
2013-06-03,0.08,0.08,0.08,0.08,193600,0.08
2013-05-31,0.08,0.08,0.08,0.08,000,0.08
2013-05-30,0.08,0.08,0.08,0.08,000,0.08
2013-05-29,0.08,0.08,0.08,0.08,12700,0.08
2013-05-28,0.08,0.08,0.08,0.08,30000,0.08
2013-05-27,0.08,0.08,0.08,0.08,000,0.08
2013-05-24,0.08,0.08,0.08,0.08,000,0.08
2013-05-23,0.08,0.08,0.08,0.08,370000,0.08
2013-05-22,0.09,0.09,0.09,0.09,13600,0.09
2013-05-21,0.09,0.09,0.09,0.09,180000,0.09
2013-05-20,0.09,0.09,0.09,0.09,30000,0.09
2013-05-17,0.09,0.09,0.09,0.09,000,0.09
2013-05-16,0.09,0.09,0.09,0.09,14400,0.09
2013-05-15,0.09,0.09,0.09,0.09,14400,0.09
2013-05-14,0.09,0.09,0.09,0.09,10900,0.09
2013-05-13,0.09,0.09,0.09,0.09,000,0.09
2013-05-10,0.09,0.09,0.09,0.09,5500,0.09
2013-05-09,0.09,0.09,0.09,0.09,11000,0.09
2013-05-08,0.09,0.09,0.09,0.09,203400,0.09
2013-05-07,0.09,0.09,0.09,0.09,10000,0.09
2013-05-06,0.09,0.09,0.09,0.09,44600,0.09
2013-05-03,0.09,0.09,0.08,0.08,30000,0.08
2013-05-02,0.08,0.08,0.08,0.08,145000,0.08
2013-05-01,0.08,0.08,0.08,0.08,000,0.08
