Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.18,2.20,2.16,2.20,8653400,2.20
2013-09-19,2.15,2.16,2.14,2.16,6770200,2.16
2013-09-18,2.15,2.15,2.12,2.12,2212400,2.12
2013-09-17,2.10,2.15,2.10,2.14,6243800,2.14
2013-09-16,2.11,2.11,2.08,2.08,1961000,2.08
2013-09-13,2.09,2.11,2.08,2.09,8018300,2.09
2013-09-12,2.06,2.09,2.06,2.08,4211900,2.08
2013-09-11,2.08,2.09,2.05,2.05,4940500,2.05
2013-09-10,2.11,2.11,2.06,2.07,3087600,2.07
2013-09-09,2.10,2.12,2.09,2.09,4220100,2.09
2013-09-06,2.12,2.13,2.09,2.10,3390500,2.10
2013-09-05,2.13,2.14,2.10,2.12,3350800,2.12
2013-09-04,2.13,2.15,2.12,2.13,5325200,2.13
2013-09-03,2.10,2.16,2.10,2.14,6799400,2.14
2013-09-02,2.08,2.08,2.08,2.08,000,2.08
2013-08-30,2.05,2.09,2.04,2.08,3910400,2.08
2013-08-29,2.05,2.08,2.03,2.06,9715600,2.06
2013-08-28,2.03,2.05,2.02,2.04,3695500,2.04
2013-08-27,2.06,2.06,2.02,2.03,3965300,2.03
2013-08-26,2.05,2.09,2.05,2.05,8642900,2.05
2013-08-23,2.09,2.10,2.03,2.03,13768000,2.03
2013-08-22,2.06,2.10,2.03,2.09,4465200,2.09
2013-08-21,2.08,2.11,2.06,2.09,5681500,2.09
2013-08-20,2.04,2.10,2.04,2.07,13482100,2.07
2013-08-19,2.10,2.11,2.00,2.04,13187200,2.04
2013-08-16,2.13,2.15,2.11,2.11,3387600,2.11
2013-08-15,2.12,2.16,2.12,2.13,2024800,2.13
2013-08-14,2.16,2.16,2.10,2.13,5673700,2.13
2013-08-13,2.18,2.19,2.15,2.16,4326400,2.16
2013-08-12,2.17,2.23,2.16,2.23,1216000,2.23
2013-08-09,2.18,2.20,2.16,2.19,2045600,2.19
2013-08-08,2.20,2.20,2.16,2.20,2795300,2.20
2013-08-07,2.19,2.21,2.16,2.20,4749800,2.20
2013-08-06,2.15,2.20,2.14,2.20,3640200,2.20
2013-08-05,2.15,2.16,2.14,2.14,1610300,2.14
2013-08-02,2.15,2.19,2.13,2.16,2341400,2.16
2013-08-01,2.15,2.19,2.14,2.16,5023200,2.16
2013-07-31,2.18,2.19,2.13,2.16,3576600,2.16
2013-07-30,2.21,2.22,2.17,2.18,1859100,2.18
2013-07-29,2.19,2.23,2.18,2.21,1518600,2.21
2013-07-26,2.16,2.23,2.13,2.19,11444900,2.19
2013-07-25,2.25,2.27,2.12,2.18,4042300,2.18
2013-07-24,2.30,2.33,2.25,2.26,3626900,2.26
2013-07-23,2.29,2.32,2.27,2.29,2058500,2.29
2013-07-22,2.33,2.35,2.29,2.31,3578800,2.31
2013-07-19,2.27,2.34,2.27,2.31,4434400,2.31
2013-07-18,2.30,2.30,2.26,2.26,1659900,2.26
2013-07-17,2.24,2.30,2.22,2.27,2384400,2.27
2013-07-16,2.26,2.28,2.23,2.27,2750700,2.27
2013-07-15,2.25,2.26,2.22,2.25,3372600,2.25
2013-07-12,2.27,2.27,2.21,2.22,1701900,2.22
2013-07-11,2.20,2.27,2.20,2.25,2637600,2.25
2013-07-10,2.20,2.21,2.17,2.19,2832600,2.19
2013-07-09,2.14,2.21,2.13,2.21,4214800,2.21
2013-07-08,2.14,2.16,2.11,2.15,4988300,2.15
2013-07-05,2.20,2.23,2.16,2.20,5558200,2.20
2013-07-04,2.07,2.16,2.07,2.16,3782500,2.16
2013-07-03,2.06,2.09,2.06,2.07,4228100,2.07
2013-07-02,2.05,2.11,2.03,2.05,5873400,2.05
2013-07-01,1.99,2.03,1.96,2.02,5245000,2.02
2013-06-28,2.07,2.08,2.00,2.01,4677600,2.01
2013-06-27,2.06,2.09,2.04,2.07,7567900,2.07
2013-06-26,2.04,2.10,2.04,2.04,3365700,2.04
2013-06-25,2.05,2.09,2.02,2.04,8914400,2.04
2013-06-24,2.09,2.12,2.06,2.07,2560100,2.07
2013-06-21,2.19,2.24,2.18,2.20,5155900,2.20
2013-06-20,2.24,2.28,2.20,2.24,4809000,2.24
2013-06-18,2.26,2.31,2.18,2.20,5366200,2.20
2013-06-17,2.21,2.27,2.20,2.27,3391000,2.27
2013-06-14,2.16,2.22,2.14,2.21,3868200,2.21
2013-06-13,2.23,2.25,2.16,2.17,4185100,2.17
2013-06-12,2.22,2.26,2.21,2.26,3032700,2.26
2013-06-11,2.20,2.26,2.20,2.23,1918800,2.23
2013-06-10,2.24,2.24,2.24,2.24,000,2.24
2013-06-07,2.23,2.27,2.21,2.24,2876200,2.24
2013-06-06,2.26,2.26,2.23,2.24,5065500,2.24
2013-06-05,2.25,2.28,2.23,2.27,3306100,2.27
2013-06-04,2.30,2.32,2.26,2.28,2858200,2.28
