Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.03,0.03,0.02,0.02,6380700,0.02
2013-09-19,0.03,0.03,0.03,0.03,903300,0.03
2013-09-18,0.03,0.03,0.02,0.03,774400,0.03
2013-09-17,0.03,0.03,0.03,0.03,25700,0.03
2013-09-16,0.03,0.03,0.03,0.03,1532000,0.03
2013-09-13,0.03,0.03,0.03,0.03,965000,0.03
2013-09-12,0.03,0.03,0.03,0.03,915700,0.03
2013-09-11,0.03,0.03,0.03,0.03,63000,0.03
2013-09-10,0.03,0.03,0.03,0.03,2210600,0.03
2013-09-09,0.03,0.03,0.03,0.03,143600,0.03
2013-09-06,0.03,0.03,0.03,0.03,206300,0.03
2013-09-05,0.03,0.03,0.03,0.03,842100,0.03
2013-09-04,0.03,0.03,0.03,0.03,475000,0.03
2013-09-03,0.03,0.03,0.03,0.03,799000,0.03
2013-09-02,0.03,0.03,0.03,0.03,1038600,0.03
2013-08-30,0.03,0.03,0.03,0.03,583500,0.03
2013-08-29,0.03,0.03,0.03,0.03,360000,0.03
2013-08-28,0.03,0.03,0.03,0.03,1022600,0.03
2013-08-27,0.03,0.03,0.03,0.03,1104000,0.03
2013-08-26,0.03,0.03,0.03,0.03,668000,0.03
2013-08-23,0.03,0.03,0.03,0.03,1962500,0.03
2013-08-22,0.03,0.03,0.03,0.03,1133100,0.03
2013-08-21,0.03,0.03,0.03,0.03,600000,0.03
2013-08-20,0.03,0.03,0.03,0.03,1500000,0.03
2013-08-19,0.04,0.04,0.03,0.03,436000,0.03
2013-08-16,0.04,0.04,0.03,0.03,927100,0.03
2013-08-15,0.04,0.04,0.04,0.04,17800,0.04
2013-08-14,0.04,0.04,0.03,0.03,539000,0.03
2013-08-13,0.04,0.04,0.04,0.04,62000,0.04
2013-08-12,0.04,0.04,0.04,0.04,280000,0.04
2013-08-09,0.04,0.04,0.04,0.04,461500,0.04
2013-08-08,0.04,0.04,0.04,0.04,540000,0.04
2013-08-07,0.04,0.04,0.04,0.04,1766500,0.04
2013-08-06,0.04,0.04,0.04,0.04,321000,0.04
2013-08-05,0.04,0.04,0.04,0.04,1214900,0.04
2013-08-02,0.04,0.04,0.04,0.04,266900,0.04
2013-08-01,0.04,0.04,0.04,0.04,500000,0.04
2013-07-31,0.04,0.04,0.04,0.04,000,0.04
2013-07-30,0.04,0.04,0.04,0.04,695300,0.04
2013-07-29,0.04,0.04,0.04,0.04,1253800,0.04
2013-07-26,0.04,0.04,0.04,0.04,3193600,0.04
2013-07-25,0.04,0.04,0.04,0.04,510000,0.04
2013-07-24,0.04,0.04,0.04,0.04,1610700,0.04
2013-07-23,0.04,0.04,0.04,0.04,356600,0.04
2013-07-22,0.04,0.04,0.04,0.04,275000,0.04
2013-07-19,0.04,0.04,0.04,0.04,1282700,0.04
2013-07-18,0.04,0.04,0.04,0.04,2830800,0.04
2013-07-17,0.04,0.04,0.04,0.04,1385500,0.04
2013-07-16,0.04,0.04,0.04,0.04,22600,0.04
2013-07-15,0.04,0.04,0.04,0.04,503600,0.04
2013-07-12,0.04,0.04,0.04,0.04,379200,0.04
2013-07-11,0.04,0.04,0.04,0.04,51600,0.04
2013-07-10,0.04,0.04,0.04,0.04,415800,0.04
2013-07-09,0.04,0.04,0.04,0.04,77500,0.04
2013-07-08,0.04,0.04,0.04,0.04,79800,0.04
