Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.64,0.64,0.64,0.64,10000,0.62
2013-09-19,0.64,0.64,0.63,0.64,56000,0.62
2013-09-18,0.64,0.64,0.61,0.61,12700,0.59
2013-09-17,0.65,0.65,0.64,0.64,38900,0.62
2013-09-16,0.64,0.66,0.64,0.65,66000,0.63
2013-09-13,0.67,0.68,0.66,0.66,90700,0.64
2013-09-12,0.67,0.68,0.67,0.67,23500,0.65
2013-09-11,0.67,0.68,0.67,0.67,67800,0.65
2013-09-10,0.67,0.67,0.66,0.66,29000,0.64
2013-09-09,0.63,0.63,0.63,0.63,000,0.61
2013-09-06,0.65,0.67,0.63,0.63,80000,0.61
2013-09-05,0.64,0.65,0.64,0.65,17800,0.63
2013-09-04,0.61,0.65,0.60,0.65,31000,0.63
2013-09-03,0.62,0.64,0.62,0.62,36900,0.60
2013-09-02,0.63,0.68,0.63,0.63,118300,0.61
2013-08-30,0.64,0.69,0.64,0.68,221300,0.66
2013-08-29,0.63,0.64,0.63,0.64,29000,0.62
2013-08-28,0.60,0.60,0.60,0.60,000,0.58
2013-08-27,0.62,0.62,0.60,0.60,31300,0.58
2013-08-26,0.63,0.63,0.63,0.63,44000,0.61
2013-08-23,0.62,0.63,0.62,0.63,39000,0.61
2013-08-22,0.63,0.63,0.61,0.63,25000,0.61
2013-08-21,0.61,0.61,0.61,0.61,000,0.59
2013-08-20,0.61,0.61,0.61,0.61,000,0.59
2013-08-19,0.61,0.61,0.61,0.61,000,0.59
2013-08-16,0.61,0.61,0.61,0.61,5000,0.59
2013-08-15,0.63,0.63,0.63,0.63,000,0.61
2013-08-14,0.62,0.63,0.62,0.63,14000,0.61
2013-08-13,0.61,0.61,0.61,0.61,000,0.59
2013-08-12,0.62,0.63,0.61,0.61,137600,0.59
2013-08-09,0.56,0.62,0.56,0.62,4800,0.59
2013-08-08,0.62,0.62,0.62,0.62,1400,0.60
2013-08-07,0.60,0.62,0.59,0.62,56800,0.60
2013-08-06,0.61,0.62,0.61,0.61,32000,0.59
2013-08-05,0.56,0.61,0.56,0.60,27800,0.58
2013-08-02,0.55,0.55,0.55,0.55,12000,0.53
2013-08-01,0.54,0.56,0.53,0.56,74300,0.54
2013-07-31,0.56,0.56,0.52,0.52,26800,0.50
2013-07-30,0.56,0.56,0.55,0.55,5000,0.53
2013-07-29,0.55,0.55,0.55,0.55,300,0.53
2013-07-26,0.52,0.55,0.52,0.55,30300,0.53
2013-07-25,0.56,0.56,0.54,0.54,11300,0.52
2013-07-24,0.54,0.56,0.53,0.56,70700,0.54
2013-07-23,0.51,0.55,0.51,0.55,61700,0.53
2013-07-22,0.52,0.52,0.50,0.51,37100,0.50
2013-07-19,0.54,0.54,0.54,0.54,4000,0.52
2013-07-18,0.57,0.57,0.57,0.57,1000,0.55
2013-07-17,0.58,0.58,0.58,0.58,1800,0.56
2013-07-16,0.55,0.55,0.55,0.55,14000,0.53
2013-07-15,0.56,0.56,0.56,0.56,35000,0.54
2013-07-12,0.63,0.63,0.63,0.63,28000,0.61
2013-07-11,0.55,0.63,0.55,0.63,38000,0.61
2013-07-10,0.55,0.55,0.55,0.55,10000,0.53
2013-07-09,0.60,0.60,0.51,0.55,72100,0.53
2013-07-08,0.51,0.58,0.51,0.58,67300,0.56
2013-07-05,0.51,0.51,0.45,0.48,104900,0.46
2013-07-04,0.54,0.54,0.54,0.54,6000,0.52
2013-07-03,0.54,0.54,0.54,0.54,47900,0.52
2013-07-02,0.53,0.53,0.51,0.51,10000,0.49
2013-07-01,0.52,0.54,0.52,0.54,54700,0.52
2013-06-28,0.53,0.53,0.52,0.52,36000,0.50
2013-06-27,0.53,0.53,0.53,0.53,52000,0.51
2013-06-26,0.53,0.53,0.52,0.52,38500,0.50
2013-06-25,0.55,0.55,0.52,0.52,24000,0.50
2013-06-24,0.56,0.56,0.56,0.56,73300,0.54
2013-06-21,0.56,0.56,0.55,0.56,51400,0.54
2013-06-20,0.58,0.58,0.56,0.57,44100,0.55
2013-06-19,0.58,0.60,0.58,0.60,15300,0.58
2013-06-18,0.57,0.58,0.56,0.57,11000,0.56
2013-06-17,0.56,0.59,0.50,0.59,62900,0.57
2013-06-14,0.54,0.58,0.54,0.58,29200,0.56
2013-06-13,0.56,0.56,0.52,0.54,29900,0.52
2013-06-12,0.58,0.60,0.58,0.58,50900,0.56
2013-06-11,0.61,0.61,0.58,0.58,55000,0.56
2013-06-10,0.61,0.61,0.61,0.61,000,0.59
2013-06-07,0.61,0.61,0.61,0.61,000,0.59
2013-06-06,0.61,0.61,0.57,0.61,37900,0.59
2013-06-05,0.61,0.61,0.61,0.61,000,0.59
2013-06-04,0.61,0.61,0.61,0.61,15000,0.59
2013-06-03,0.64,0.64,0.64,0.64,000,0.62
2013-05-31,0.62,0.64,0.62,0.64,29100,0.62
2013-05-30,0.64,0.65,0.60,0.62,31000,0.60
2013-05-29,0.64,0.64,0.64,0.64,45300,0.62
2013-05-28,0.64,0.64,0.64,0.64,29800,0.62
2013-05-27,0.65,0.65,0.64,0.65,46600,0.60
2013-05-24,0.63,0.65,0.63,0.65,31000,0.60
2013-05-23,0.67,0.67,0.63,0.64,82900,0.60
2013-05-22,0.65,0.67,0.64,0.67,61700,0.62
2013-05-21,0.62,0.65,0.62,0.65,81000,0.60
2013-05-20,0.60,0.61,0.58,0.61,128500,0.57
2013-05-17,0.61,0.61,0.59,0.61,73500,0.56
2013-05-16,0.60,0.61,0.60,0.61,57500,0.57
2013-05-15,0.60,0.61,0.60,0.61,75800,0.57
2013-05-14,0.61,0.62,0.60,0.60,181500,0.56
2013-05-13,0.63,0.63,0.61,0.62,85400,0.57
2013-05-10,0.63,0.64,0.63,0.64,5900,0.59
2013-05-09,0.65,0.65,0.64,0.64,62200,0.59
2013-05-08,0.65,0.65,0.64,0.64,12600,0.60
2013-05-07,0.65,0.65,0.65,0.65,4800,0.61
2013-05-06,0.67,0.67,0.65,0.65,21800,0.61
2013-05-03,0.68,0.68,0.68,0.68,000,0.63
2013-05-02,0.68,0.69,0.68,0.68,85000,0.63
2013-05-01,0.68,0.69,0.68,0.69,11300,0.64
2013-04-30,0.69,0.69,0.67,0.69,29200,0.64
2013-04-29,0.68,0.68,0.68,0.68,000,0.63
2013-04-26,0.68,0.68,0.67,0.68,58700,0.63
2013-04-25,0.67,0.67,0.67,0.67,000,0.62
2013-04-24,0.67,0.67,0.67,0.67,8000,0.62
2013-04-23,0.69,0.69,0.67,0.67,240300,0.62
2013-04-22,0.69,0.69,0.68,0.68,41600,0.63
2013-04-19,0.69,0.69,0.69,0.69,15800,0.64
2013-04-18,0.69,0.70,0.69,0.70,28500,0.65
2013-04-17,0.68,0.72,0.68,0.72,90600,0.67
2013-04-16,0.68,0.69,0.68,0.68,142000,0.63
2013-04-15,0.71,0.71,0.68,0.68,32700,0.63
2013-04-12,0.72,0.72,0.70,0.71,15000,0.66
2013-04-11,0.73,0.73,0.71,0.71,11200,0.66
2013-04-10,0.69,0.73,0.69,0.73,61700,0.67
2013-04-09,0.68,0.68,0.68,0.68,70000,0.63
2013-04-08,0.70,0.73,0.68,0.68,233200,0.63
2013-04-05,0.70,0.70,0.70,0.70,4500,0.65
2013-04-04,0.71,0.71,0.71,0.71,5400,0.66
2013-04-03,0.73,0.73,0.70,0.70,134000,0.65
2013-04-02,0.73,0.73,0.71,0.71,26300,0.66
2013-04-01,0.70,0.70,0.70,0.70,000,0.66
2013-03-29,0.70,0.70,0.70,0.70,000,0.66
2013-03-28,0.73,0.73,0.70,0.70,19800,0.66
2013-03-27,0.74,0.74,0.74,0.74,000,0.69
2013-03-26,0.68,0.74,0.68,0.74,180000,0.69
2013-03-25,0.68,0.68,0.68,0.68,24800,0.63
2013-03-22,0.68,0.68,0.68,0.68,20000,0.63
2013-03-21,0.66,0.69,0.66,0.69,46000,0.64
2013-03-20,0.68,0.68,0.65,0.65,170000,0.60
2013-03-19,0.65,0.65,0.65,0.65,000,0.60
2013-03-18,0.66,0.66,0.65,0.65,14400,0.60
2013-03-15,0.67,0.67,0.67,0.67,29000,0.62
2013-03-14,0.67,0.67,0.67,0.67,16000,0.62
2013-03-13,0.65,0.65,0.64,0.64,14700,0.59
2013-03-12,0.64,0.64,0.63,0.64,22100,0.59
2013-03-11,0.64,0.65,0.64,0.64,28800,0.59
2013-03-08,0.65,0.67,0.62,0.65,37600,0.60
2013-03-07,0.67,0.67,0.65,0.65,32500,0.61
2013-03-06,0.64,0.67,0.63,0.67,77400,0.62
2013-03-05,0.64,0.64,0.64,0.64,2000,0.60
2013-03-04,0.64,0.65,0.64,0.65,17500,0.60
2013-03-01,0.62,0.64,0.62,0.64,35000,0.59
2013-02-28,0.65,0.65,0.62,0.62,103500,0.58
2013-02-27,0.69,0.69,0.65,0.65,95600,0.60
2013-02-26,0.69,0.69,0.68,0.68,92800,0.63
2013-02-25,0.70,0.71,0.69,0.71,71800,0.66
2013-02-22,0.69,0.71,0.68,0.69,143200,0.64
2013-02-21,0.75,0.75,0.69,0.69,122600,0.65
2013-02-20,0.74,0.76,0.69,0.75,133100,0.69
2013-02-19,0.74,0.75,0.74,0.75,9600,0.70
2013-02-18,0.73,0.75,0.72,0.72,69700,0.67
2013-02-15,0.73,0.74,0.72,0.72,47000,0.67
2013-02-14,0.75,0.79,0.69,0.72,108500,0.67
2013-02-13,0.71,0.76,0.71,0.73,123900,0.68
2013-02-12,0.69,0.70,0.68,0.68,42300,0.63
2013-02-11,0.67,0.69,0.67,0.69,43000,0.64
2013-02-08,0.69,0.70,0.67,0.67,123400,0.62
2013-02-07,0.67,0.69,0.67,0.69,61500,0.64
2013-02-06,0.72,0.72,0.65,0.65,153900,0.61
2013-02-05,0.60,0.70,0.60,0.70,523000,0.65
2013-02-04,0.59,0.60,0.59,0.59,85600,0.55
2013-02-01,0.60,0.60,0.57,0.59,47700,0.55
2013-01-31,0.57,0.62,0.57,0.60,214500,0.56
2013-01-30,0.54,0.54,0.54,0.54,10000,0.50
2013-01-29,0.50,0.55,0.50,0.55,36600,0.51
2013-01-28,0.50,0.50,0.50,0.50,000,0.47
2013-01-25,0.52,0.52,0.50,0.50,58200,0.47
2013-01-24,0.47,0.52,0.46,0.51,276300,0.47
2013-01-23,0.46,0.47,0.46,0.46,50200,0.42
2013-01-22,0.46,0.46,0.46,0.46,17300,0.42
2013-01-21,0.44,0.46,0.44,0.46,120500,0.42
2013-01-18,0.42,0.44,0.42,0.44,22900,0.41
2013-01-17,0.42,0.42,0.42,0.42,600,0.39
2013-01-16,0.43,0.43,0.43,0.43,000,0.40
2013-01-15,0.43,0.43,0.43,0.43,000,0.40
2013-01-14,0.44,0.44,0.43,0.43,57000,0.40
2013-01-11,0.44,0.46,0.44,0.44,32000,0.41
2013-01-10,0.44,0.44,0.43,0.43,21000,0.40
2013-01-09,0.43,0.46,0.43,0.46,53500,0.42
2013-01-08,0.43,0.43,0.43,0.43,3000,0.40
2013-01-07,0.44,0.44,0.44,0.44,42200,0.41
2013-01-04,0.45,0.45,0.44,0.44,18700,0.41
2013-01-03,0.46,0.46,0.45,0.45,96500,0.42
2013-01-02,0.45,0.45,0.44,0.45,61300,0.42
2013-01-01,0.44,0.44,0.44,0.44,000,0.41
2012-12-31,0.42,0.44,0.41,0.44,45300,0.41
2012-12-28,0.43,0.43,0.43,0.43,17700,0.40
2012-12-27,0.43,0.43,0.43,0.43,7300,0.40
2012-12-26,0.44,0.44,0.44,0.44,000,0.41
2012-12-25,0.44,0.44,0.44,0.44,000,0.41
2012-12-24,0.44,0.44,0.44,0.44,000,0.41
2012-12-21,0.44,0.44,0.43,0.44,67600,0.41
2012-12-20,0.44,0.44,0.43,0.44,48700,0.40
2012-12-19,0.40,0.44,0.40,0.44,176600,0.41
2012-12-18,0.40,0.40,0.39,0.39,90800,0.36
2012-12-17,0.40,0.40,0.39,0.40,54500,0.37
2012-12-14,0.40,0.40,0.40,0.40,31500,0.37
2012-12-13,0.40,0.41,0.40,0.41,10500,0.38
2012-12-12,0.41,0.41,0.41,0.41,48600,0.38
2012-12-11,0.41,0.41,0.40,0.40,35900,0.37
2012-12-10,0.44,0.44,0.42,0.43,95700,0.40
2012-12-07,0.44,0.45,0.43,0.43,170600,0.40
2012-12-06,0.47,0.48,0.44,0.44,357700,0.41
2012-12-05,0.45,0.46,0.44,0.46,146700,0.43
2012-12-04,0.43,0.45,0.43,0.45,74500,0.42
2012-12-03,0.42,0.44,0.40,0.42,61200,0.39
2012-11-30,0.38,0.44,0.38,0.44,253800,0.41
2012-11-29,0.35,0.38,0.35,0.38,598900,0.35
2012-11-28,0.35,0.35,0.35,0.35,53500,0.33
2012-11-27,0.35,0.35,0.35,0.35,36100,0.33
2012-11-26,0.34,0.35,0.34,0.34,47500,0.32
2012-11-23,0.33,0.34,0.33,0.34,151100,0.31
2012-11-22,0.33,0.34,0.33,0.34,36500,0.31
2012-11-21,0.32,0.32,0.32,0.32,22900,0.30
2012-11-20,0.33,0.33,0.33,0.33,000,0.31
2012-11-19,0.34,0.34,0.33,0.33,118000,0.31
2012-11-16,0.36,0.36,0.33,0.33,124900,0.31
2012-11-15,0.33,0.36,0.33,0.36,141000,0.33
2012-11-14,0.31,0.31,0.31,0.31,4100,0.29
2012-11-13,0.32,0.34,0.31,0.31,76400,0.28
2012-11-12,0.28,0.28,0.28,0.28,000,0.26
2012-11-09,0.28,0.28,0.28,0.28,000,0.26
2012-11-08,0.28,0.28,0.28,0.28,000,0.26
2012-11-07,0.28,0.28,0.28,0.28,81000,0.26
2012-11-06,0.26,0.26,0.26,0.26,000,0.24
2012-11-05,0.26,0.27,0.26,0.26,41500,0.24
2012-11-02,0.25,0.25,0.24,0.25,29000,0.23
2012-11-01,0.24,0.24,0.24,0.24,000,0.22
2012-10-31,0.25,0.25,0.24,0.24,68100,0.22
2012-10-30,0.26,0.26,0.26,0.26,19900,0.24
2012-10-29,0.28,0.28,0.27,0.27,80000,0.25
2012-10-26,0.28,0.28,0.28,0.28,31400,0.26
2012-10-25,0.28,0.28,0.28,0.28,000,0.26
2012-10-24,0.29,0.29,0.24,0.28,337100,0.26
2012-10-23,0.32,0.32,0.32,0.32,29000,0.30
2012-10-22,0.33,0.33,0.32,0.32,34100,0.28
2012-10-19,0.33,0.34,0.32,0.33,99600,0.29
2012-10-18,0.33,0.33,0.31,0.31,92600,0.27
2012-10-17,0.32,0.33,0.31,0.33,36500,0.29
2012-10-16,0.32,0.32,0.32,0.32,36400,0.28
2012-10-15,0.32,0.32,0.32,0.32,178400,0.28
2012-10-12,0.31,0.31,0.31,0.31,000,0.27
2012-10-11,0.31,0.32,0.31,0.31,89000,0.27
2012-10-10,0.31,0.32,0.31,0.32,35400,0.28
2012-10-09,0.30,0.32,0.30,0.32,49700,0.28
2012-10-08,0.29,0.29,0.29,0.29,45000,0.25
2012-10-05,0.27,0.27,0.27,0.27,5000,0.24
2012-10-04,0.27,0.27,0.25,0.25,78500,0.22
2012-10-03,0.31,0.31,0.27,0.28,84800,0.24
2012-10-02,0.33,0.33,0.32,0.32,49800,0.28
2012-10-01,0.30,0.32,0.30,0.32,97300,0.28
2012-09-28,0.28,0.28,0.28,0.28,39200,0.24
2012-09-27,0.28,0.28,0.28,0.28,000,0.24
2012-09-26,0.26,0.28,0.26,0.28,113100,0.24
2012-09-25,0.25,0.25,0.25,0.25,345500,0.22
2012-09-24,0.24,0.25,0.24,0.25,184500,0.22
2012-09-21,0.24,0.24,0.24,0.24,8000,0.21
2012-09-20,0.23,0.24,0.23,0.24,311200,0.21
2012-09-19,0.23,0.23,0.23,0.23,000,0.20
2012-09-18,0.23,0.23,0.23,0.23,28000,0.20
2012-09-17,0.22,0.22,0.22,0.22,100000,0.19
2012-09-14,0.22,0.23,0.22,0.22,102000,0.19
2012-09-13,0.22,0.22,0.22,0.22,14600,0.19
2012-09-12,0.23,0.23,0.23,0.23,000,0.20
2012-09-11,0.23,0.23,0.23,0.23,000,0.20
2012-09-10,0.23,0.23,0.23,0.23,000,0.20
2012-09-07,0.23,0.23,0.23,0.23,43000,0.20
2012-09-06,0.21,0.21,0.21,0.21,9200,0.18
2012-09-05,0.22,0.22,0.22,0.22,60200,0.19
