Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.71,2.80,2.71,2.75,27200,2.75
2013-09-19,2.74,2.74,2.71,2.71,12000,2.71
2013-09-18,2.75,2.75,2.74,2.74,14900,2.74
2013-09-17,2.67,2.75,2.67,2.75,40200,2.75
2013-09-16,2.40,2.65,2.40,2.65,78600,2.65
2013-09-13,2.38,2.40,2.38,2.40,15900,2.40
2013-09-12,2.38,2.50,2.29,2.29,12700,2.29
2013-09-11,2.20,2.22,2.20,2.22,7600,2.22
2013-09-10,2.29,2.30,2.20,2.20,82500,2.20
2013-09-09,2.35,2.35,2.35,2.35,000,2.35
2013-09-06,2.37,2.40,2.35,2.35,4100,2.33
2013-09-05,2.40,2.40,2.36,2.37,15500,2.35
2013-09-04,2.35,2.40,2.35,2.40,25700,2.38
2013-09-03,2.35,2.35,2.35,2.35,500,2.33
2013-09-02,2.30,2.35,2.30,2.35,23200,2.33
2013-08-30,2.30,2.30,2.25,2.25,13000,2.23
2013-08-29,2.45,2.45,2.32,2.32,59700,2.30
2013-08-28,2.45,2.45,2.45,2.45,100,2.43
2013-08-27,2.58,2.58,2.40,2.55,53300,2.53
2013-08-26,2.32,2.50,2.32,2.50,80600,2.48
2013-08-23,2.35,2.35,2.27,2.32,37700,2.30
2013-08-22,2.16,2.35,2.15,2.35,151100,2.33
2013-08-21,1.90,2.39,1.90,2.20,159900,2.18
2013-08-20,1.90,1.90,1.83,1.83,17800,1.82
2013-08-19,1.88,1.88,1.88,1.88,5500,1.87
2013-08-16,2.00,2.00,1.88,1.88,3000,1.87
2013-08-15,2.08,2.08,2.00,2.00,29600,1.99
2013-08-14,2.00,2.08,2.00,2.08,11000,2.06
2013-08-13,2.00,2.00,1.98,2.00,73300,1.99
2013-08-12,1.92,2.00,1.91,1.93,37300,1.92
2013-08-09,1.85,1.93,1.85,1.93,8600,1.92
2013-08-08,1.82,1.82,1.82,1.82,2100,1.81
2013-08-07,1.80,1.90,1.80,1.82,70700,1.81
2013-08-06,1.79,1.80,1.79,1.80,40900,1.79
2013-08-05,1.77,1.79,1.77,1.77,18600,1.76
2013-08-02,1.74,1.77,1.74,1.77,3200,1.76
2013-08-01,1.80,1.80,1.73,1.74,53800,1.73
2013-07-31,1.73,1.84,1.73,1.84,24700,1.83
2013-07-30,1.65,1.69,1.65,1.69,4300,1.68
2013-07-29,1.60,1.69,1.60,1.64,122000,1.63
2013-07-26,1.55,1.55,1.55,1.55,14200,1.54
2013-07-25,1.50,1.55,1.50,1.50,15800,1.49
2013-07-24,1.48,1.50,1.46,1.50,47900,1.49
2013-07-23,1.52,1.52,1.50,1.50,10700,1.49
2013-07-22,1.50,1.52,1.50,1.52,66300,1.51
2013-07-19,1.47,1.47,1.46,1.46,70900,1.45
2013-07-18,1.55,1.55,1.55,1.55,000,1.54
2013-07-17,1.46,1.55,1.46,1.55,13900,1.54
2013-07-16,1.36,1.55,1.36,1.46,51500,1.45
2013-07-15,1.37,1.37,1.36,1.36,15300,1.35
2013-07-12,1.37,1.37,1.37,1.37,000,1.36
2013-07-11,1.38,1.38,1.37,1.37,6000,1.36
2013-07-10,1.36,1.36,1.36,1.36,000,1.35
2013-07-09,1.36,1.36,1.36,1.36,3100,1.35
