Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.01,0.01,0.01,0.01,460700,0.01
2013-09-19,0.01,0.01,0.01,0.01,1164000,0.01
2013-09-18,0.01,0.01,0.01,0.01,255300,0.01
2013-09-17,0.01,0.02,0.01,0.01,4596400,0.01
2013-09-16,0.01,0.01,0.01,0.01,000,0.01
2013-09-13,0.01,0.01,0.01,0.01,000,0.01
2013-09-12,0.01,0.01,0.01,0.01,50000,0.01
2013-09-11,0.01,0.01,0.01,0.01,150000,0.01
2013-09-10,0.01,0.01,0.01,0.01,295100,0.01
2013-09-09,0.01,0.01,0.01,0.01,10000,0.01
2013-09-06,0.01,0.01,0.01,0.01,25000,0.01
2013-09-05,0.01,0.01,0.01,0.01,51000,0.01
2013-09-04,0.01,0.01,0.01,0.01,117000,0.01
2013-09-03,0.01,0.01,0.01,0.01,541600,0.01
2013-09-02,0.01,0.01,0.01,0.01,5200,0.01
2013-08-30,0.01,0.01,0.01,0.01,290000,0.01
2013-08-29,0.01,0.01,0.01,0.01,639100,0.01
2013-08-28,0.01,0.01,0.01,0.01,400000,0.01
2013-08-27,0.01,0.01,0.01,0.01,50000,0.01
2013-08-26,0.01,0.01,0.01,0.01,1917700,0.01
2013-08-23,0.01,0.01,0.01,0.01,200000,0.01
2013-08-22,0.01,0.01,0.01,0.01,000,0.01
2013-08-21,0.01,0.01,0.01,0.01,240000,0.01
2013-08-20,0.01,0.01,0.01,0.01,000,0.01
2013-08-19,0.01,0.01,0.01,0.01,300000,0.01
2013-08-16,0.01,0.01,0.01,0.01,190600,0.01
2013-08-15,0.01,0.01,0.01,0.01,107600,0.01
2013-08-14,0.01,0.01,0.01,0.01,1000000,0.01
2013-08-13,0.01,0.01,0.01,0.01,209600,0.01
2013-08-12,0.01,0.01,0.01,0.01,000,0.01
2013-08-09,0.01,0.01,0.01,0.01,55700,0.01
2013-08-08,0.01,0.01,0.01,0.01,250000,0.01
2013-08-07,0.01,0.01,0.01,0.01,201000,0.01
2013-08-06,0.01,0.01,0.01,0.01,1084000,0.01
2013-08-05,0.01,0.01,0.01,0.01,15600,0.01
2013-08-02,0.01,0.01,0.01,0.01,548500,0.01
2013-08-01,0.01,0.01,0.01,0.01,000,0.01
2013-07-31,0.01,0.01,0.01,0.01,500000,0.01
2013-07-30,0.01,0.01,0.01,0.01,220000,0.01
2013-07-29,0.01,0.01,0.01,0.01,100000,0.01
2013-07-26,0.01,0.01,0.01,0.01,300000,0.01
2013-07-25,0.01,0.01,0.01,0.01,100000,0.01
2013-07-24,0.01,0.01,0.01,0.01,623200,0.01
2013-07-23,0.01,0.01,0.01,0.01,589000,0.01
2013-07-19,0.01,0.01,0.01,0.01,50000,0.01
2013-07-18,0.01,0.01,0.01,0.01,670000,0.01
2013-07-17,0.01,0.01,0.01,0.01,524900,0.01
2013-07-16,0.01,0.01,0.01,0.01,449100,0.01
2013-07-15,0.01,0.01,0.01,0.01,000,0.01
2013-07-12,0.01,0.01,0.01,0.01,1070000,0.01
2013-07-11,0.01,0.01,0.01,0.01,630000,0.01
2013-07-10,0.01,0.01,0.01,0.01,000,0.01
2013-07-09,0.01,0.01,0.01,0.01,000,0.01
2013-07-08,0.01,0.01,0.01,0.01,250000,0.01
2013-07-05,0.01,0.01,0.01,0.01,70000,0.01
2013-07-04,0.01,0.01,0.01,0.01,403700,0.01
2013-07-03,0.01,0.01,0.01,0.01,251100,0.01
2013-07-02,0.01,0.01,0.01,0.01,247500,0.01
2013-07-01,0.01,0.01,0.01,0.01,791000,0.01
2013-06-28,0.01,0.01,0.01,0.01,451500,0.01
2013-06-27,0.01,0.01,0.01,0.01,593900,0.01
2013-06-26,0.01,0.01,0.01,0.01,1000000,0.01
2013-06-25,0.01,0.01,0.01,0.01,341300,0.01
2013-06-24,0.01,0.01,0.01,0.01,12400,0.01
2013-06-21,0.01,0.01,0.01,0.01,825500,0.01
2013-06-20,0.01,0.01,0.01,0.01,50000,0.01
2013-06-18,0.01,0.01,0.01,0.01,000,0.01
2013-06-17,0.01,0.01,0.01,0.01,678900,0.01
2013-06-14,0.01,0.01,0.01,0.01,325000,0.01
2013-06-13,0.01,0.01,0.01,0.01,000,0.01
2013-06-12,0.01,0.01,0.01,0.01,1090300,0.01
2013-06-11,0.01,0.01,0.01,0.01,910400,0.01
2013-06-10,0.01,0.01,0.01,0.01,000,0.01
2013-06-07,0.01,0.01,0.01,0.01,320000,0.01
2013-06-06,0.01,0.01,0.01,0.01,305000,0.01
2013-06-05,0.01,0.01,0.01,0.01,650000,0.01
2013-06-04,0.01,0.01,0.01,0.01,841400,0.01
2013-06-03,0.01,0.01,0.01,0.01,171500,0.01
2013-05-31,0.01,0.01,0.01,0.01,174400,0.01
2013-05-30,0.01,0.01,0.01,0.01,890000,0.01
2013-05-29,0.01,0.02,0.01,0.01,1883400,0.01
2013-05-28,0.01,0.01,0.01,0.01,000,0.01
2013-05-27,0.01,0.01,0.01,0.01,000,0.01
2013-05-24,0.01,0.01,0.01,0.01,000,0.01
2013-05-23,0.01,0.01,0.01,0.01,318600,0.01
2013-05-22,0.01,0.01,0.01,0.01,000,0.01
2013-05-21,0.01,0.01,0.01,0.01,14000,0.01
2013-05-20,0.01,0.01,0.01,0.01,1004200,0.01
2013-05-17,0.01,0.01,0.01,0.01,50000,0.01
2013-05-16,0.01,0.01,0.01,0.01,000,0.01
2013-05-15,0.01,0.01,0.01,0.01,000,0.01
2013-05-14,0.01,0.01,0.01,0.01,100000,0.01
2013-05-13,0.01,0.01,0.01,0.01,121600,0.01
2013-05-10,0.01,0.01,0.01,0.01,115300,0.01
2013-05-09,0.01,0.01,0.01,0.01,633600,0.01
2013-05-08,0.01,0.01,0.01,0.01,46600,0.01
2013-05-07,0.01,0.01,0.01,0.01,650000,0.01
2013-05-06,0.01,0.01,0.01,0.01,1661400,0.01
2013-05-03,0.01,0.01,0.01,0.01,150000,0.01
2013-05-02,0.01,0.01,0.01,0.01,000,0.01
2013-05-01,0.01,0.01,0.01,0.01,18800,0.01
2013-04-30,0.01,0.01,0.01,0.01,109700,0.01
2013-04-26,0.01,0.01,0.01,0.01,631500,0.01
2013-04-25,0.01,0.01,0.01,0.01,000,0.01
2013-04-24,0.01,0.01,0.01,0.01,000,0.01
2013-04-23,0.01,0.01,0.01,0.01,105000,0.01
2013-04-22,0.01,0.01,0.01,0.01,10000,0.01
2013-04-19,0.01,0.01,0.01,0.01,105000,0.01
2013-04-18,0.01,0.01,0.01,0.01,1742800,0.01
2013-04-17,0.01,0.01,0.01,0.01,160000,0.01
2013-04-16,0.01,0.01,0.01,0.01,1733800,0.01
2013-04-15,0.02,0.02,0.02,0.02,1729100,0.02
2013-04-12,0.02,0.02,0.02,0.02,287600,0.02
2013-04-11,0.02,0.02,0.02,0.02,886200,0.02
2013-04-10,0.02,0.02,0.02,0.02,12700,0.02
2013-04-09,0.02,0.02,0.02,0.02,000,0.02
2013-04-08,0.01,0.02,0.01,0.02,1048000,0.02
2013-04-05,0.02,0.02,0.01,0.01,500000,0.01
2013-04-04,0.01,0.02,0.01,0.02,130200,0.02
2013-04-03,0.02,0.02,0.02,0.02,755000,0.02
2013-04-02,0.02,0.02,0.02,0.02,1289400,0.02
2013-04-01,0.02,0.02,0.02,0.02,000,0.02
2013-03-29,0.02,0.02,0.02,0.02,000,0.02
2013-03-28,0.02,0.02,0.02,0.02,1789600,0.02
2013-03-27,0.02,0.02,0.02,0.02,1099100,0.02
2013-03-26,0.02,0.02,0.02,0.02,421500,0.02
2013-03-25,0.02,0.02,0.02,0.02,000,0.02
2013-03-22,0.02,0.02,0.02,0.02,1491800,0.02
2013-03-21,0.02,0.02,0.02,0.02,511900,0.02
2013-03-20,0.02,0.02,0.02,0.02,1485000,0.02
2013-03-19,0.02,0.02,0.02,0.02,860100,0.02
2013-03-18,0.02,0.02,0.02,0.02,1465000,0.02
2013-03-15,0.02,0.03,0.02,0.02,5503000,0.02
2013-03-14,0.02,0.02,0.02,0.02,3705000,0.02
2013-03-13,0.02,0.02,0.02,0.02,11150900,0.02
2013-03-12,0.02,0.02,0.02,0.02,5364700,0.02
2013-03-08,0.01,0.02,0.01,0.02,3474000,0.02
2013-03-07,0.01,0.01,0.01,0.01,1362800,0.01
2013-03-06,0.01,0.01,0.01,0.01,843400,0.01
2013-03-05,0.01,0.01,0.01,0.01,423000,0.01
2013-03-04,0.02,0.02,0.01,0.01,695000,0.01
2013-03-01,0.02,0.02,0.02,0.02,4382500,0.02
2013-02-28,0.01,0.02,0.01,0.02,2377600,0.02
2013-02-27,0.01,0.01,0.01,0.01,552100,0.01
2013-02-26,0.01,0.01,0.01,0.01,148600,0.01
2013-02-25,0.01,0.01,0.01,0.01,132200,0.01
2013-02-22,0.01,0.01,0.01,0.01,665000,0.01
2013-02-21,0.01,0.02,0.01,0.02,941800,0.02
2013-02-20,0.01,0.01,0.01,0.01,493400,0.01
2013-02-19,0.01,0.01,0.01,0.01,407600,0.01
2013-02-18,0.02,0.02,0.01,0.01,1125000,0.01
2013-02-15,0.02,0.02,0.01,0.01,511000,0.01
2013-02-14,0.02,0.02,0.01,0.01,1787500,0.01
