Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.09,0.09,0.09,0.09,10000,0.09
2013-09-19,0.09,0.09,0.09,0.09,330500,0.09
2013-09-18,0.09,0.09,0.09,0.09,000,0.09
2013-09-17,0.09,0.09,0.09,0.09,33300,0.09
2013-09-16,0.09,0.09,0.08,0.08,587200,0.08
2013-09-13,0.09,0.09,0.09,0.09,214600,0.09
2013-09-12,0.09,0.09,0.09,0.09,565000,0.09
2013-09-11,0.09,0.09,0.09,0.09,33300,0.09
2013-09-10,0.09,0.09,0.09,0.09,115400,0.09
2013-09-09,0.09,0.09,0.09,0.09,000,0.09
2013-09-06,0.09,0.09,0.09,0.09,95000,0.09
2013-09-05,0.09,0.09,0.09,0.09,37100,0.09
2013-09-04,0.09,0.09,0.09,0.09,369500,0.09
2013-09-03,0.09,0.09,0.09,0.09,41300,0.09
2013-09-02,0.09,0.09,0.09,0.09,292000,0.09
2013-08-30,0.09,0.09,0.09,0.09,125000,0.09
2013-08-29,0.09,0.10,0.09,0.10,19800,0.10
2013-08-28,0.09,0.09,0.09,0.09,4100,0.09
2013-08-27,0.10,0.10,0.10,0.10,70000,0.10
2013-08-26,0.10,0.10,0.10,0.10,200000,0.10
2013-08-23,0.09,0.09,0.09,0.09,21900,0.09
2013-08-22,0.09,0.09,0.09,0.09,545000,0.09
2013-08-21,0.09,0.09,0.09,0.09,1063100,0.09
2013-08-20,0.09,0.09,0.09,0.09,277000,0.09
2013-08-19,0.09,0.09,0.09,0.09,22000,0.09
2013-08-16,0.09,0.09,0.09,0.09,100000,0.09
2013-08-15,0.10,0.10,0.09,0.09,55000,0.09
2013-08-14,0.09,0.10,0.09,0.10,111300,0.10
2013-08-13,0.09,0.09,0.09,0.09,184800,0.09
2013-08-12,0.09,0.09,0.08,0.09,587300,0.09
2013-08-09,0.09,0.09,0.09,0.09,000,0.09
2013-08-08,0.09,0.09,0.09,0.09,145600,0.09
2013-08-07,0.09,0.09,0.09,0.09,40100,0.09
2013-08-06,0.09,0.09,0.09,0.09,000,0.09
2013-08-05,0.09,0.09,0.09,0.09,1300,0.09
2013-08-02,0.09,0.10,0.09,0.09,582500,0.09
2013-08-01,0.09,0.09,0.09,0.09,71800,0.09
2013-07-31,0.09,0.09,0.09,0.09,200000,0.09
2013-07-30,0.08,0.08,0.08,0.08,000,0.08
2013-07-29,0.09,0.09,0.08,0.08,83600,0.08
2013-07-26,0.09,0.09,0.09,0.09,403300,0.09
2013-07-25,0.09,0.09,0.09,0.09,335000,0.09
2013-07-24,0.09,0.09,0.09,0.09,50000,0.09
2013-07-23,0.09,0.09,0.09,0.09,36800,0.09
2013-07-22,0.10,0.10,0.09,0.09,350000,0.09
2013-07-19,0.09,0.10,0.09,0.10,294800,0.10
2013-07-18,0.10,0.10,0.09,0.09,723800,0.09
2013-07-17,0.09,0.09,0.09,0.09,53500,0.09
2013-07-16,0.09,0.09,0.09,0.09,30200,0.09
2013-07-15,0.09,0.09,0.09,0.09,48400,0.09
2013-07-12,0.09,0.10,0.09,0.10,187500,0.10
2013-07-11,0.10,0.10,0.09,0.10,353100,0.10
2013-07-10,0.10,0.10,0.10,0.10,10000,0.10
2013-07-09,0.10,0.10,0.10,0.10,30000,0.10
2013-07-08,0.10,0.10,0.10,0.10,101200,0.10
2013-07-05,0.10,0.10,0.10,0.10,40200,0.10
2013-07-04,0.10,0.10,0.09,0.09,506900,0.09
2013-07-03,0.10,0.10,0.10,0.10,577300,0.10
2013-07-02,0.10,0.10,0.09,0.09,128500,0.09
2013-07-01,0.09,0.09,0.09,0.09,83600,0.09
2013-06-28,0.08,0.09,0.08,0.09,446000,0.09
2013-06-27,0.08,0.08,0.08,0.08,390000,0.08
2013-06-26,0.08,0.08,0.08,0.08,123300,0.08
2013-06-25,0.08,0.08,0.08,0.08,407300,0.08
2013-06-24,0.07,0.07,0.07,0.07,5400,0.07
2013-06-21,0.08,0.08,0.07,0.07,412100,0.07
2013-06-20,0.08,0.08,0.08,0.08,73300,0.08
2013-06-19,0.08,0.08,0.08,0.08,118800,0.08
2013-06-18,0.08,0.08,0.08,0.08,474900,0.08
2013-06-17,0.09,0.09,0.08,0.08,439400,0.08
2013-06-14,0.09,0.09,0.09,0.09,60000,0.09
2013-06-13,0.09,0.09,0.09,0.09,114900,0.09
2013-06-12,0.09,0.09,0.08,0.08,814200,0.08
2013-06-11,0.09,0.09,0.09,0.09,172600,0.09
2013-06-10,0.09,0.09,0.09,0.09,000,0.09
2013-06-07,0.09,0.09,0.09,0.09,175000,0.09
2013-06-06,0.10,0.10,0.10,0.10,000,0.10
2013-06-05,0.10,0.10,0.09,0.10,546900,0.10
2013-06-04,0.10,0.10,0.10,0.10,157900,0.10
2013-06-03,0.10,0.10,0.10,0.10,50300,0.10
2013-05-31,0.10,0.11,0.10,0.10,219200,0.10
2013-05-30,0.10,0.10,0.10,0.10,20500,0.10
2013-05-29,0.09,0.09,0.09,0.09,000,0.09
2013-05-28,0.09,0.09,0.09,0.09,2000,0.09
2013-05-27,0.09,0.09,0.09,0.09,50900,0.09
2013-05-24,0.09,0.09,0.09,0.09,49400,0.09
2013-05-23,0.09,0.09,0.09,0.09,436600,0.09
2013-05-22,0.09,0.09,0.09,0.09,214900,0.09
2013-05-21,0.09,0.09,0.09,0.09,55000,0.09
2013-05-20,0.09,0.09,0.09,0.09,48700,0.09
2013-05-17,0.09,0.09,0.09,0.09,100000,0.09
2013-05-16,0.09,0.09,0.09,0.09,242700,0.09
2013-05-15,0.09,0.10,0.09,0.10,108300,0.10
2013-05-14,0.09,0.09,0.09,0.09,154600,0.09
2013-05-13,0.10,0.10,0.09,0.09,220100,0.09
2013-05-10,0.10,0.10,0.10,0.10,112900,0.10
2013-05-09,0.10,0.10,0.10,0.10,123000,0.10
2013-05-08,0.10,0.11,0.10,0.11,198400,0.11
2013-05-07,0.10,0.10,0.10,0.10,4800,0.10
2013-05-06,0.10,0.10,0.10,0.10,111100,0.10
2013-05-03,0.10,0.10,0.10,0.10,289800,0.10
2013-05-02,0.11,0.11,0.10,0.10,78500,0.10
2013-05-01,0.10,0.10,0.10,0.10,81500,0.10
2013-04-30,0.11,0.11,0.11,0.11,62000,0.11
2013-04-29,0.11,0.11,0.10,0.10,84000,0.10
2013-04-26,0.10,0.11,0.10,0.11,218000,0.11
2013-04-25,0.10,0.10,0.10,0.10,000,0.10
2013-04-24,0.10,0.10,0.10,0.10,121600,0.10
2013-04-23,0.11,0.11,0.10,0.10,32100,0.10
2013-04-22,0.11,0.11,0.11,0.11,200000,0.11
2013-04-19,0.11,0.11,0.10,0.10,95000,0.10
2013-04-18,0.11,0.11,0.11,0.11,15800,0.11
2013-04-17,0.11,0.11,0.11,0.11,140000,0.11
2013-04-16,0.11,0.11,0.10,0.10,335000,0.10
2013-04-15,0.12,0.12,0.11,0.11,408000,0.11
2013-04-12,0.12,0.12,0.12,0.12,103100,0.12
2013-04-11,0.12,0.12,0.11,0.11,194600,0.11
2013-04-10,0.11,0.12,0.11,0.12,594500,0.12
2013-04-09,0.12,0.12,0.12,0.12,108400,0.12
2013-04-08,0.12,0.12,0.12,0.12,15600,0.12
2013-04-05,0.12,0.12,0.11,0.12,99000,0.12
2013-04-04,0.12,0.12,0.12,0.12,426900,0.12
2013-04-03,0.13,0.13,0.12,0.12,183000,0.12
2013-04-02,0.14,0.14,0.14,0.14,000,0.14
2013-04-01,0.14,0.14,0.14,0.14,000,0.14
2013-03-29,0.14,0.14,0.14,0.14,000,0.14
2013-03-28,0.14,0.14,0.13,0.14,704500,0.14
2013-03-27,0.14,0.14,0.14,0.14,180000,0.14
2013-03-26,0.14,0.14,0.14,0.14,531000,0.14
2013-03-25,0.14,0.14,0.14,0.14,165600,0.14
2013-03-22,0.14,0.14,0.14,0.14,42000,0.14
2013-03-21,0.14,0.14,0.13,0.14,291800,0.14
2013-03-20,0.14,0.14,0.14,0.14,215900,0.14
2013-03-19,0.14,0.14,0.14,0.14,123000,0.14
2013-03-18,0.14,0.14,0.14,0.14,306600,0.14
2013-03-15,0.14,0.14,0.14,0.14,249500,0.14
2013-03-14,0.14,0.14,0.14,0.14,95000,0.14
2013-03-13,0.14,0.14,0.14,0.14,516600,0.14
2013-03-12,0.14,0.14,0.14,0.14,492000,0.14
2013-03-11,0.14,0.14,0.14,0.14,553000,0.14
2013-03-08,0.14,0.14,0.14,0.14,2221000,0.14
2013-03-07,0.14,0.14,0.14,0.14,20000,0.14
2013-03-06,0.14,0.14,0.14,0.14,1700,0.14
2013-03-05,0.14,0.14,0.14,0.14,20000,0.14
2013-03-04,0.14,0.14,0.14,0.14,136000,0.14
2013-03-01,0.14,0.16,0.14,0.16,216000,0.16
2013-02-28,0.14,0.14,0.14,0.14,57100,0.14
2013-02-27,0.14,0.14,0.14,0.14,317000,0.14
2013-02-26,0.14,0.14,0.14,0.14,156500,0.14
