Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.72,2.75,2.69,2.71,1864100,2.71
2013-09-19,2.75,2.78,2.70,2.74,3549700,2.74
2013-09-18,2.70,2.71,2.68,2.70,2064200,2.70
2013-09-17,2.71,2.73,2.70,2.70,1260800,2.70
2013-09-16,2.78,2.79,2.71,2.73,1866700,2.73
2013-09-13,2.81,2.83,2.72,2.73,1383400,2.73
2013-09-12,2.76,2.81,2.74,2.80,2457400,2.80
2013-09-11,2.69,2.76,2.69,2.76,2097100,2.76
2013-09-10,2.75,2.76,2.69,2.69,2201700,2.69
2013-09-09,2.68,2.74,2.67,2.74,1385900,2.74
2013-09-06,2.73,2.73,2.66,2.66,2275600,2.66
2013-09-05,2.72,2.74,2.66,2.69,1684800,2.69
2013-09-04,2.74,2.74,2.71,2.72,2225100,2.72
2013-09-03,2.75,2.78,2.74,2.74,889800,2.74
2013-09-02,2.71,2.80,2.71,2.75,1934800,2.75
2013-08-30,2.64,2.72,2.64,2.70,2486200,2.70
2013-08-29,2.75,2.75,2.65,2.65,2171300,2.65
2013-08-28,2.65,2.77,2.65,2.75,3282700,2.75
2013-08-27,2.74,2.77,2.69,2.70,3498800,2.70
2013-08-26,2.80,2.83,2.77,2.80,3120900,2.78
2013-08-23,2.79,2.81,2.77,2.77,2465900,2.75
2013-08-22,2.66,2.88,2.65,2.75,4204000,2.73
2013-08-21,2.66,2.73,2.63,2.72,2570100,2.70
2013-08-20,2.65,2.67,2.63,2.67,1877800,2.65
2013-08-19,2.69,2.73,2.66,2.70,1672600,2.68
2013-08-16,2.65,2.68,2.60,2.68,3415900,2.66
2013-08-15,2.55,2.65,2.55,2.65,8068800,2.63
2013-08-14,2.55,2.57,2.52,2.55,5050500,2.53
2013-08-13,2.55,2.57,2.55,2.56,2829600,2.54
2013-08-12,2.55,2.59,2.54,2.58,2313300,2.56
2013-08-09,2.51,2.56,2.51,2.54,5015400,2.52
2013-08-08,2.54,2.58,2.50,2.54,5856800,2.52
2013-08-07,2.59,2.61,2.53,2.53,4192800,2.51
2013-08-06,2.65,2.67,2.57,2.62,3054500,2.60
2013-08-05,2.67,2.68,2.61,2.64,2450700,2.62
2013-08-02,2.68,2.69,2.60,2.65,4131100,2.63
2013-08-01,2.63,2.66,2.62,2.63,4498200,2.61
2013-07-31,2.63,2.68,2.61,2.62,4410900,2.60
2013-07-30,2.67,2.67,2.58,2.60,2157400,2.58
2013-07-29,2.68,2.68,2.62,2.65,2298600,2.63
2013-07-26,2.60,2.69,2.53,2.69,8956100,2.67
2013-07-25,2.68,2.69,2.60,2.62,4606600,2.60
2013-07-24,2.68,2.72,2.67,2.72,5826000,2.70
2013-07-23,2.73,2.74,2.68,2.69,2468800,2.67
2013-07-22,2.73,2.76,2.69,2.71,6506300,2.69
2013-07-19,2.78,2.78,2.69,2.71,5429200,2.69
2013-07-18,2.80,2.83,2.77,2.80,3404200,2.78
2013-07-17,2.77,2.80,2.76,2.77,2305100,2.75
2013-07-16,2.83,2.86,2.77,2.80,3512900,2.78
2013-07-15,2.82,2.88,2.81,2.82,1510200,2.80
2013-07-12,2.86,2.91,2.81,2.82,14802600,2.80
