Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.29,0.29,0.29,0.29,000,0.29
2013-09-19,0.28,0.29,0.27,0.29,150000,0.29
2013-09-18,0.30,0.30,0.30,0.30,000,0.30
2013-09-17,0.30,0.30,0.30,0.30,000,0.30
2013-09-16,0.30,0.30,0.30,0.30,000,0.30
2013-09-13,0.30,0.31,0.29,0.30,136100,0.30
2013-09-12,0.29,0.29,0.29,0.29,25100,0.29
2013-09-11,0.30,0.30,0.29,0.29,55000,0.29
2013-09-10,0.31,0.32,0.31,0.31,33700,0.31
2013-09-09,0.30,0.30,0.29,0.30,162200,0.30
2013-09-06,0.30,0.30,0.30,0.30,16000,0.30
2013-09-05,0.29,0.30,0.29,0.30,170900,0.30
2013-09-04,0.29,0.29,0.29,0.29,25000,0.29
2013-09-03,0.28,0.28,0.28,0.28,2900,0.28
2013-09-02,0.28,0.28,0.28,0.28,32000,0.28
2013-08-30,0.30,0.30,0.30,0.30,142800,0.30
2013-08-29,0.33,0.33,0.30,0.31,68500,0.31
2013-08-28,0.32,0.33,0.32,0.33,33500,0.33
2013-08-27,0.31,0.34,0.31,0.34,205600,0.34
2013-08-26,0.31,0.32,0.31,0.31,212600,0.31
2013-08-23,0.31,0.31,0.31,0.31,119500,0.31
2013-08-22,0.31,0.31,0.30,0.30,287600,0.30
2013-08-21,0.30,0.30,0.30,0.30,140400,0.30
2013-08-20,0.29,0.30,0.29,0.30,186800,0.30
2013-08-19,0.28,0.28,0.27,0.27,127100,0.27
2013-08-16,0.28,0.28,0.27,0.27,43000,0.27
2013-08-15,0.26,0.28,0.26,0.28,147200,0.28
2013-08-14,0.26,0.26,0.26,0.26,205000,0.26
2013-08-13,0.26,0.26,0.26,0.26,7500,0.26
2013-08-12,0.26,0.26,0.25,0.25,16000,0.25
2013-08-09,0.25,0.25,0.25,0.25,000,0.25
2013-08-08,0.25,0.25,0.25,0.25,000,0.25
2013-08-07,0.25,0.25,0.25,0.25,000,0.25
2013-08-06,0.25,0.25,0.25,0.25,000,0.25
2013-08-05,0.25,0.25,0.25,0.25,23000,0.25
