Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.50,0.50,0.47,0.48,382900,0.48
2013-09-19,0.50,0.50,0.49,0.49,243800,0.49
2013-09-18,0.49,0.53,0.48,0.48,909300,0.48
2013-09-17,0.47,0.47,0.47,0.47,9500,0.47
2013-09-16,0.46,0.48,0.46,0.46,196300,0.46
2013-09-13,0.46,0.46,0.46,0.46,000,0.46
2013-09-12,0.47,0.47,0.46,0.46,33200,0.46
2013-09-11,0.46,0.46,0.44,0.44,32200,0.44
2013-09-10,0.47,0.47,0.44,0.45,196200,0.45
2013-09-09,0.47,0.48,0.46,0.47,188700,0.47
2013-09-06,0.43,0.46,0.43,0.46,170100,0.46
2013-09-05,0.41,0.42,0.41,0.42,174000,0.42
2013-09-04,0.41,0.41,0.40,0.41,274400,0.41
2013-09-03,0.41,0.41,0.41,0.41,987300,0.41
2013-09-02,0.41,0.41,0.40,0.41,362800,0.41
2013-08-30,0.41,0.42,0.40,0.41,783800,0.41
2013-08-29,0.39,0.41,0.38,0.40,897000,0.40
2013-08-28,0.40,0.42,0.39,0.39,9658100,0.39
2013-08-27,0.36,0.38,0.36,0.38,246000,0.38
2013-08-26,0.35,0.37,0.34,0.37,503600,0.37
2013-08-23,0.35,0.35,0.35,0.35,000,0.35
2013-08-22,0.35,0.35,0.35,0.35,000,0.35
2013-08-21,0.35,0.35,0.35,0.35,21100,0.35
2013-08-20,0.36,0.36,0.34,0.35,77500,0.35
2013-08-19,0.37,0.37,0.37,0.37,31400,0.37
2013-08-16,0.38,0.38,0.38,0.38,000,0.38
2013-08-15,0.38,0.38,0.38,0.38,1300,0.38
2013-08-14,0.36,0.36,0.36,0.36,000,0.36
2013-08-13,0.36,0.36,0.36,0.36,27800,0.36
2013-08-12,0.38,0.38,0.36,0.36,46700,0.36
2013-08-09,0.38,0.38,0.35,0.38,167500,0.38
2013-08-08,0.35,0.38,0.35,0.38,179000,0.38
2013-08-07,0.35,0.36,0.35,0.36,41900,0.36
2013-08-06,0.35,0.35,0.35,0.35,55000,0.35
2013-08-05,0.35,0.36,0.35,0.36,10000,0.36
2013-08-02,0.36,0.37,0.36,0.36,225000,0.36
2013-08-01,0.36,0.36,0.36,0.36,10000,0.36
2013-07-31,0.36,0.36,0.34,0.34,52300,0.34
2013-07-30,0.38,0.38,0.34,0.36,207400,0.36
2013-07-29,0.36,0.39,0.36,0.38,438800,0.38
2013-07-26,0.34,0.36,0.34,0.36,262400,0.36
2013-07-25,0.34,0.34,0.34,0.34,14600,0.34
2013-07-24,0.32,0.34,0.32,0.34,244700,0.34
2013-07-23,0.32,0.32,0.32,0.32,90000,0.32
2013-07-22,0.32,0.33,0.32,0.32,99500,0.32
2013-07-19,0.32,0.33,0.32,0.32,101500,0.32
2013-07-18,0.33,0.33,0.33,0.33,000,0.33
2013-07-17,0.32,0.33,0.31,0.33,75000,0.33
2013-07-16,0.30,0.30,0.30,0.30,5000,0.30
2013-07-15,0.32,0.32,0.30,0.30,30000,0.30
2013-07-12,0.33,0.33,0.33,0.33,000,0.33
2013-07-11,0.33,0.33,0.33,0.33,000,0.33
2013-07-10,0.33,0.33,0.33,0.33,000,0.33
2013-07-09,0.31,0.33,0.31,0.33,20500,0.33
2013-07-08,0.32,0.32,0.32,0.32,000,0.32
2013-07-05,0.32,0.32,0.32,0.32,000,0.32
2013-07-04,0.32,0.32,0.32,0.32,79400,0.32
2013-07-03,0.30,0.30,0.30,0.30,12000,0.30
2013-07-02,0.31,0.31,0.31,0.31,000,0.31
2013-07-01,0.31,0.31,0.31,0.31,000,0.31
2013-06-28,0.32,0.32,0.31,0.31,32200,0.31
2013-06-27,0.31,0.31,0.31,0.31,000,0.31
2013-06-26,0.31,0.31,0.31,0.31,48100,0.31
2013-06-25,0.31,0.31,0.31,0.31,70000,0.31
2013-06-24,0.34,0.34,0.31,0.31,307900,0.31
2013-06-21,0.32,0.32,0.32,0.32,150000,0.32
2013-06-20,0.31,0.31,0.31,0.31,000,0.31
2013-06-19,0.31,0.31,0.31,0.31,72800,0.31
