Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.09,0.09,0.09,0.09,000,0.09
2013-09-19,0.09,0.09,0.09,0.09,000,0.09
2013-09-18,0.09,0.09,0.09,0.09,000,0.09
2013-09-17,0.09,0.09,0.09,0.09,000,0.09
2013-09-16,0.09,0.09,0.09,0.09,000,0.09
2013-09-13,0.09,0.09,0.09,0.09,000,0.09
2013-09-12,0.09,0.09,0.09,0.09,000,0.09
2013-09-11,0.09,0.09,0.09,0.09,000,0.09
2013-09-10,0.09,0.09,0.09,0.09,000,0.09
2013-09-09,0.09,0.09,0.09,0.09,000,0.09
2013-09-06,0.09,0.09,0.09,0.09,000,0.09
2013-09-05,0.09,0.09,0.09,0.09,000,0.09
2013-09-04,0.09,0.09,0.09,0.09,000,0.09
2013-09-03,0.09,0.09,0.09,0.09,000,0.09
2013-09-02,0.09,0.09,0.09,0.09,000,0.09
2013-08-30,0.09,0.09,0.09,0.09,000,0.09
2013-08-29,0.09,0.09,0.09,0.09,000,0.09
2013-08-28,0.09,0.09,0.09,0.09,000,0.09
2013-08-27,0.09,0.09,0.09,0.09,000,0.09
2013-08-26,0.09,0.09,0.09,0.09,000,0.09
2013-08-23,0.09,0.09,0.09,0.09,000,0.09
2013-08-22,0.09,0.09,0.09,0.09,000,0.09
2013-08-21,0.09,0.09,0.09,0.09,000,0.09
2013-08-20,0.09,0.09,0.09,0.09,000,0.09
2013-08-19,0.09,0.09,0.09,0.09,10000,0.09
2013-08-16,0.09,0.09,0.09,0.09,000,0.09
2013-08-15,0.09,0.09,0.09,0.09,000,0.09
2013-08-14,0.09,0.09,0.09,0.09,000,0.09
2013-08-13,0.09,0.09,0.09,0.09,000,0.09
2013-08-12,0.09,0.09,0.09,0.09,000,0.09
2013-08-09,0.09,0.09,0.09,0.09,64000,0.09
2013-08-08,0.10,0.10,0.10,0.10,000,0.10
2013-08-07,0.10,0.10,0.10,0.10,57600,0.10
2013-08-06,0.10,0.10,0.10,0.10,000,0.10
2013-08-05,0.10,0.10,0.10,0.10,000,0.10
2013-08-02,0.10,0.10,0.10,0.10,000,0.10
2013-08-01,0.10,0.10,0.10,0.10,42300,0.10
2013-07-31,0.09,0.09,0.09,0.09,000,0.09
2013-07-30,0.09,0.09,0.09,0.09,000,0.09
2013-07-29,0.09,0.09,0.09,0.09,000,0.09
2013-07-26,0.09,0.09,0.09,0.09,000,0.09
2013-07-25,0.09,0.09,0.09,0.09,14200,0.09
2013-07-24,0.10,0.10,0.10,0.10,000,0.10
2013-07-23,0.10,0.10,0.10,0.10,000,0.10
2013-07-19,0.10,0.10,0.10,0.10,000,0.10
2013-07-18,0.10,0.10,0.10,0.10,000,0.10
2013-07-17,0.10,0.10,0.10,0.10,000,0.10
2013-07-16,0.10,0.10,0.10,0.10,000,0.10
2013-07-15,0.10,0.10,0.10,0.10,25000,0.10
2013-07-12,0.09,0.09,0.09,0.09,000,0.09
2013-07-11,0.09,0.09,0.09,0.09,000,0.09
2013-07-10,0.09,0.09,0.09,0.09,000,0.09
2013-07-09,0.09,0.09,0.09,0.09,18300,0.09
2013-07-08,0.10,0.10,0.10,0.10,000,0.10
2013-07-05,0.10,0.10,0.10,0.10,000,0.10
2013-07-04,0.10,0.10,0.10,0.10,000,0.10
2013-07-03,0.10,0.10,0.10,0.10,000,0.10
2013-07-02,0.10,0.10,0.10,0.10,000,0.10
2013-07-01,0.10,0.10,0.10,0.10,000,0.10
2013-06-28,0.10,0.10,0.10,0.10,000,0.10
2013-06-27,0.10,0.10,0.10,0.10,000,0.10
2013-06-26,0.10,0.10,0.10,0.10,000,0.10
2013-06-25,0.10,0.10,0.10,0.10,10000,0.10
2013-06-24,0.09,0.09,0.09,0.09,000,0.09
2013-06-21,0.09,0.09,0.09,0.09,2500,0.09
2013-06-20,0.09,0.09,0.09,0.09,15300,0.09
2013-06-18,0.09,0.09,0.09,0.09,000,0.09
2013-06-17,0.09,0.09,0.09,0.09,45600,0.09
2013-06-14,0.10,0.10,0.10,0.10,000,0.10
2013-06-13,0.10,0.10,0.10,0.10,000,0.10
2013-06-12,0.10,0.10,0.10,0.10,000,0.10
2013-06-11,0.10,0.10,0.10,0.10,5000,0.10
2013-06-10,0.10,0.10,0.10,0.10,000,0.10
2013-06-07,0.10,0.10,0.10,0.10,000,0.10
2013-06-06,0.10,0.10,0.10,0.10,40000,0.10
2013-06-05,0.10,0.10,0.10,0.10,000,0.10
2013-06-04,0.10,0.10,0.10,0.10,50000,0.10
2013-06-03,0.09,0.09,0.09,0.09,000,0.09
2013-05-31,0.09,0.09,0.09,0.09,000,0.09
2013-05-30,0.09,0.09,0.09,0.09,55100,0.09
2013-05-29,0.09,0.09,0.09,0.09,000,0.09
2013-05-28,0.07,0.09,0.07,0.09,883600,0.09
2013-05-27,0.08,0.08,0.08,0.08,000,0.08
2013-05-24,0.08,0.08,0.08,0.08,000,0.08
2013-05-23,0.08,0.08,0.08,0.08,4000,0.08
2013-05-22,0.08,0.08,0.08,0.08,77000,0.08
2013-05-21,0.08,0.08,0.08,0.08,22900,0.08
2013-05-20,0.07,0.07,0.07,0.07,136900,0.07
2013-05-17,0.07,0.07,0.07,0.07,63000,0.07
2013-05-16,0.07,0.07,0.07,0.07,000,0.07
2013-05-15,0.07,0.07,0.07,0.07,000,0.07
2013-05-14,0.07,0.07,0.07,0.07,000,0.07
2013-05-13,0.07,0.07,0.07,0.07,000,0.07
2013-05-10,0.07,0.07,0.07,0.07,000,0.07
2013-05-09,0.07,0.07,0.07,0.07,6900,0.07
2013-05-08,0.06,0.06,0.06,0.06,000,0.06
2013-05-07,0.06,0.06,0.06,0.06,000,0.06
2013-05-06,0.06,0.06,0.06,0.06,000,0.06
2013-05-03,0.06,0.06,0.06,0.06,45900,0.06
2013-05-02,0.06,0.06,0.06,0.06,88500,0.06
2013-05-01,0.07,0.07,0.07,0.07,712500,0.07
2013-04-30,0.07,0.07,0.07,0.07,4500,0.07
2013-04-29,0.07,0.07,0.07,0.07,000,0.07
2013-04-26,0.07,0.07,0.07,0.07,000,0.07
2013-04-25,0.07,0.07,0.07,0.07,000,0.07
2013-04-24,0.07,0.07,0.07,0.07,000,0.07
2013-04-23,0.07,0.07,0.07,0.07,000,0.07
2013-04-22,0.07,0.07,0.07,0.07,000,0.07
2013-04-19,0.07,0.07,0.07,0.07,000,0.07
2013-04-18,0.07,0.07,0.07,0.07,000,0.07
2013-04-17,0.07,0.07,0.07,0.07,000,0.07
2013-04-16,0.07,0.07,0.07,0.07,000,0.07
2013-04-15,0.07,0.07,0.07,0.07,000,0.07
2013-04-12,0.07,0.07,0.07,0.07,000,0.07
2013-04-11,0.07,0.07,0.07,0.07,000,0.07
2013-04-10,0.07,0.07,0.07,0.07,000,0.07
2013-04-09,0.07,0.07,0.07,0.07,000,0.07
2013-04-08,0.07,0.07,0.07,0.07,000,0.07
2013-04-05,0.07,0.07,0.07,0.07,000,0.07
2013-04-04,0.07,0.07,0.07,0.07,000,0.07
2013-04-03,0.07,0.07,0.07,0.07,000,0.07
2013-04-02,0.07,0.07,0.07,0.07,000,0.07
2013-04-01,0.07,0.07,0.07,0.07,000,0.07
2013-03-29,0.07,0.07,0.07,0.07,000,0.07
2013-03-28,0.07,0.07,0.07,0.07,000,0.07
2013-03-27,0.06,0.07,0.06,0.07,109700,0.07
2013-03-26,0.07,0.07,0.07,0.07,000,0.07
