Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.02,0.02,0.02,0.02,000,0.02
2013-09-19,0.02,0.02,0.02,0.02,000,0.02
2013-09-18,0.02,0.02,0.02,0.02,000,0.02
2013-09-17,0.02,0.02,0.02,0.02,000,0.02
2013-09-16,0.02,0.02,0.02,0.02,40000,0.02
2013-09-13,0.03,0.03,0.03,0.03,000,0.03
2013-09-12,0.03,0.03,0.03,0.03,000,0.03
2013-09-11,0.03,0.03,0.03,0.03,192500,0.03
2013-09-10,0.02,0.02,0.02,0.02,000,0.02
2013-09-09,0.02,0.02,0.02,0.02,000,0.02
2013-09-06,0.02,0.02,0.02,0.02,000,0.02
2013-09-05,0.02,0.02,0.02,0.02,000,0.02
2013-09-04,0.02,0.02,0.02,0.02,000,0.02
2013-09-03,0.02,0.02,0.02,0.02,16000,0.02
2013-09-02,0.02,0.02,0.02,0.02,50000,0.02
2013-08-30,0.02,0.02,0.02,0.02,000,0.02
2013-08-29,0.02,0.02,0.02,0.02,000,0.02
2013-08-28,0.02,0.02,0.02,0.02,332300,0.02
2013-08-27,0.02,0.02,0.02,0.02,000,0.02
2013-08-26,0.02,0.02,0.02,0.02,000,0.02
2013-08-23,0.02,0.02,0.02,0.02,000,0.02
2013-08-22,0.02,0.02,0.02,0.02,10000,0.02
2013-08-21,0.02,0.02,0.02,0.02,455400,0.02
2013-08-20,0.02,0.02,0.02,0.02,750000,0.02
2013-08-19,0.02,0.02,0.02,0.02,387200,0.02
2013-08-16,0.02,0.02,0.02,0.02,000,0.02
2013-08-15,0.02,0.02,0.02,0.02,000,0.02
2013-08-14,0.02,0.02,0.02,0.02,000,0.02
2013-08-13,0.02,0.02,0.02,0.02,222700,0.02
2013-08-12,0.02,0.02,0.02,0.02,200000,0.02
2013-08-09,0.02,0.02,0.02,0.02,000,0.02
2013-08-08,0.02,0.02,0.02,0.02,000,0.02
2013-08-07,0.02,0.02,0.02,0.02,150000,0.02
2013-08-06,0.02,0.02,0.02,0.02,000,0.02
2013-08-05,0.02,0.02,0.02,0.02,8000,0.02
2013-08-02,0.02,0.02,0.02,0.02,120000,0.02
2013-08-01,0.02,0.02,0.02,0.02,1150000,0.02
2013-07-31,0.02,0.02,0.02,0.02,128400,0.02
2013-07-30,0.02,0.02,0.02,0.02,250000,0.02
2013-07-29,0.02,0.02,0.02,0.02,21500,0.02
2013-07-26,0.01,0.01,0.01,0.01,000,0.01
2013-07-25,0.01,0.01,0.01,0.01,000,0.01
2013-07-24,0.01,0.01,0.01,0.01,000,0.01
2013-07-23,0.02,0.02,0.01,0.01,29050000,0.01
2013-07-19,0.02,0.02,0.02,0.02,000,0.02
2013-07-18,0.02,0.02,0.02,0.02,159000,0.02
2013-07-17,0.02,0.02,0.02,0.02,000,0.02
2013-07-16,0.02,0.02,0.02,0.02,000,0.02
2013-07-15,0.02,0.02,0.02,0.02,000,0.02
2013-07-12,0.02,0.02,0.02,0.02,000,0.02
2013-07-11,0.02,0.02,0.02,0.02,000,0.02
2013-07-10,0.02,0.02,0.02,0.02,598000,0.02
2013-07-09,0.02,0.02,0.02,0.02,410000,0.02
2013-07-08,0.02,0.02,0.02,0.02,232400,0.02
2013-07-05,0.02,0.02,0.02,0.02,100000,0.02
2013-07-04,0.02,0.02,0.02,0.02,000,0.02
2013-07-03,0.02,0.02,0.02,0.02,000,0.02
2013-07-02,0.02,0.02,0.02,0.02,442600,0.02
2013-07-01,0.02,0.02,0.02,0.02,000,0.02
2013-06-28,0.02,0.02,0.02,0.02,220000,0.02
2013-06-27,0.02,0.02,0.02,0.02,228600,0.02
2013-06-26,0.02,0.02,0.02,0.02,125000,0.02
2013-06-25,0.02,0.02,0.02,0.02,26300,0.02
2013-06-24,0.02,0.02,0.02,0.02,259600,0.02
2013-06-21,0.02,0.02,0.02,0.02,350000,0.02
2013-06-20,0.02,0.02,0.02,0.02,327500,0.02
2013-06-18,0.02,0.02,0.02,0.02,750000,0.02
2013-06-17,0.02,0.02,0.02,0.02,000,0.02
2013-06-14,0.02,0.02,0.02,0.02,50000,0.02
2013-06-13,0.02,0.02,0.02,0.02,25000,0.02
2013-06-12,0.02,0.02,0.02,0.02,433000,0.02
2013-06-11,0.02,0.02,0.02,0.02,000,0.02
2013-06-10,0.02,0.02,0.02,0.02,000,0.02
2013-06-07,0.02,0.02,0.02,0.02,354300,0.02
2013-06-06,0.02,0.02,0.02,0.02,37700,0.02
2013-06-05,0.03,0.03,0.03,0.03,10000,0.03
2013-06-04,0.03,0.03,0.03,0.03,000,0.03
2013-06-03,0.03,0.03,0.03,0.03,000,0.03
2013-05-31,0.03,0.03,0.03,0.03,30100,0.03
2013-05-30,0.03,0.03,0.03,0.03,50000,0.03
2013-05-29,0.03,0.03,0.03,0.03,215400,0.03
2013-05-28,0.03,0.03,0.03,0.03,380000,0.03
2013-05-27,0.02,0.03,0.02,0.03,153300,0.03
2013-05-24,0.02,0.02,0.02,0.02,000,0.02
2013-05-23,0.02,0.02,0.02,0.02,30000,0.02
2013-05-22,0.03,0.03,0.03,0.03,60000,0.03
2013-05-21,0.02,0.03,0.02,0.03,692700,0.03
2013-05-20,0.02,0.02,0.02,0.02,280000,0.02
2013-05-17,0.02,0.02,0.02,0.02,000,0.02
2013-05-16,0.02,0.02,0.02,0.02,200000,0.02
2013-05-15,0.02,0.02,0.02,0.02,000,0.02
2013-05-14,0.02,0.02,0.02,0.02,000,0.02
2013-05-13,0.02,0.02,0.02,0.02,104500,0.02
2013-05-10,0.03,0.03,0.03,0.03,300000,0.03
2013-05-09,0.03,0.03,0.03,0.03,000,0.03
2013-05-08,0.03,0.03,0.03,0.03,20000,0.03
2013-05-07,0.02,0.02,0.02,0.02,000,0.02
2013-05-06,0.02,0.02,0.02,0.02,210000,0.02
2013-05-03,0.02,0.02,0.02,0.02,200000,0.02
2013-05-02,0.03,0.03,0.03,0.03,100000,0.03
2013-05-01,0.02,0.02,0.02,0.02,50000,0.02
2013-04-30,0.02,0.02,0.02,0.02,900,0.02
2013-04-26,0.02,0.02,0.02,0.02,000,0.02
2013-04-25,0.02,0.02,0.02,0.02,000,0.02
2013-04-24,0.02,0.02,0.02,0.02,17900,0.02
2013-04-23,0.02,0.02,0.02,0.02,000,0.02
2013-04-22,0.02,0.02,0.02,0.02,000,0.02
2013-04-19,0.02,0.02,0.02,0.02,000,0.02
2013-04-18,0.02,0.02,0.02,0.02,522000,0.02
2013-04-17,0.03,0.03,0.02,0.02,202900,0.02
2013-04-16,0.03,0.03,0.03,0.03,000,0.03
2013-04-15,0.03,0.03,0.03,0.03,95000,0.03
2013-04-12,0.03,0.03,0.03,0.03,206600,0.03
2013-04-11,0.03,0.03,0.03,0.03,210000,0.03
2013-04-10,0.03,0.03,0.03,0.03,000,0.03
2013-04-09,0.03,0.03,0.03,0.03,000,0.03
2013-04-08,0.03,0.03,0.03,0.03,42600,0.03
2013-04-05,0.03,0.03,0.03,0.03,219000,0.03
2013-04-04,0.03,0.03,0.03,0.03,000,0.03
2013-04-03,0.03,0.03,0.03,0.03,000,0.03
2013-04-02,0.03,0.03,0.03,0.03,000,0.03
2013-04-01,0.03,0.03,0.03,0.03,000,0.03
2013-03-29,0.03,0.03,0.03,0.03,000,0.03
2013-03-28,0.03,0.03,0.03,0.03,000,0.03
2013-03-27,0.03,0.03,0.03,0.03,000,0.03
2013-03-26,0.03,0.03,0.03,0.03,215000,0.03
2013-03-25,0.03,0.03,0.03,0.03,000,0.03
2013-03-22,0.03,0.03,0.03,0.03,195000,0.03
2013-03-21,0.03,0.03,0.03,0.03,000,0.03
2013-03-20,0.03,0.03,0.03,0.03,10000,0.03
2013-03-19,0.03,0.03,0.03,0.03,000,0.03
