Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,5.00,5.00,4.94,4.98,32800,4.98
2013-09-19,4.89,5.00,4.84,5.00,66900,5.00
2013-09-18,4.81,4.90,4.81,4.84,23400,4.84
2013-09-17,4.87,4.90,4.85,4.87,20700,4.87
2013-09-16,4.87,4.90,4.83,4.88,37200,4.88
2013-09-13,4.97,4.97,4.81,4.90,67400,4.90
2013-09-12,5.00,5.00,4.89,4.98,36600,4.98
2013-09-11,4.95,5.00,4.92,5.00,22200,5.00
2013-09-10,4.98,5.00,4.90,5.00,35800,5.00
2013-09-09,4.98,4.98,4.90,4.98,11400,4.98
2013-09-06,4.99,4.99,4.91,4.98,9300,4.98
2013-09-05,4.98,5.00,4.98,5.00,10000,5.00
2013-09-04,4.90,4.98,4.90,4.98,5300,4.98
2013-09-03,4.99,4.99,4.90,4.90,14400,4.90
2013-09-02,4.99,4.99,4.99,4.99,500,4.99
2013-08-30,4.93,5.00,4.85,5.00,20000,5.00
2013-08-29,4.99,4.99,4.93,4.93,5000,4.93
2013-08-28,5.00,5.00,4.98,5.00,5700,5.00
2013-08-27,5.00,5.00,4.98,5.00,27900,5.00
2013-08-26,4.98,5.00,4.97,5.00,8500,5.00
2013-08-23,4.89,4.97,4.80,4.97,14600,4.97
2013-08-22,4.90,4.90,4.89,4.89,2600,4.89
2013-08-21,5.00,5.00,4.99,5.00,39900,4.89
2013-08-20,5.00,5.00,4.89,4.95,10600,4.84
2013-08-19,5.01,5.01,4.83,5.00,9800,4.89
2013-08-16,5.01,5.01,4.97,5.01,40800,4.90
2013-08-15,5.00,5.10,5.00,5.08,9900,4.97
2013-08-14,5.00,5.00,4.99,5.00,156600,4.89
2013-08-13,5.10,5.10,5.00,5.10,66100,4.99
2013-08-12,5.00,5.10,5.00,5.10,7800,4.99
2013-08-09,5.00,5.01,5.00,5.00,3500,4.89
2013-08-08,5.00,5.10,4.99,5.10,22400,4.99
2013-08-07,5.00,5.00,5.00,5.00,4800,4.89
2013-08-06,5.00,5.00,5.00,5.00,7700,4.89
2013-08-05,5.00,5.00,4.95,5.00,53400,4.89
2013-08-02,5.00,5.00,4.98,5.00,76800,4.89
2013-08-01,5.00,5.00,4.90,5.00,77100,4.89
2013-07-31,4.76,5.04,4.70,5.00,59600,4.89
2013-07-30,5.10,5.13,4.81,4.81,14000,4.70
2013-07-29,5.16,5.17,5.10,5.13,19500,5.02
2013-07-26,5.15,5.18,5.15,5.15,2600,5.04
2013-07-25,5.20,5.20,5.12,5.12,6700,5.01
2013-07-24,5.19,5.19,5.17,5.17,20200,5.06
2013-07-23,5.25,5.25,5.19,5.19,37000,5.08
2013-07-22,5.20,5.33,5.19,5.25,44900,5.13
2013-07-19,4.98,5.09,4.97,5.09,56500,4.98
2013-07-18,4.95,4.95,4.93,4.95,17000,4.84
2013-07-17,4.82,4.95,4.81,4.95,204600,4.84
2013-07-16,4.81,4.85,4.80,4.82,35800,4.71
2013-07-15,4.88,4.88,4.78,4.80,61700,4.69
2013-07-12,4.88,4.89,4.82,4.89,12200,4.78
2013-07-11,4.75,4.82,4.75,4.82,36200,4.71
2013-07-10,4.78,4.81,4.75,4.75,40300,4.65
2013-07-09,4.75,4.75,4.72,4.75,21900,4.65
2013-07-08,4.92,4.92,4.75,4.75,127800,4.65
2013-07-05,4.90,4.92,4.87,4.92,19200,4.81
2013-07-04,4.97,5.00,4.93,4.94,14000,4.83
2013-07-03,4.90,4.93,4.90,4.93,13100,4.82
2013-07-02,4.89,4.99,4.85,4.91,45200,4.80
2013-07-01,4.68,4.90,4.68,4.88,10400,4.77
2013-06-28,4.50,4.58,4.50,4.57,79400,4.47
2013-06-27,4.40,4.45,4.40,4.45,37200,4.35
2013-06-26,4.35,4.40,4.35,4.40,200000,4.30
2013-06-25,4.32,4.35,4.32,4.35,8900,4.25
2013-06-24,4.38,4.38,4.28,4.38,100300,4.28
2013-06-21,4.43,4.43,4.38,4.38,111200,4.28
2013-06-20,4.40,4.44,4.38,4.43,82000,4.33
2013-06-19,4.44,4.44,4.40,4.42,92900,4.32
2013-06-18,4.43,4.44,4.41,4.44,77000,4.34
2013-06-17,4.40,4.44,4.40,4.43,16600,4.33
2013-06-14,4.32,4.40,4.25,4.40,63400,4.30
2013-06-13,4.23,4.32,4.23,4.32,14700,4.22
2013-06-12,4.17,4.21,4.17,4.20,88200,4.11
2013-06-11,4.12,4.15,4.12,4.15,10500,4.06
2013-06-10,4.15,4.15,4.15,4.15,000,4.06
2013-06-07,4.15,4.15,4.15,4.15,1500,4.06
2013-06-06,4.15,4.15,4.15,4.15,14600,4.06
2013-06-05,4.15,4.15,4.15,4.15,125000,4.06
2013-06-04,4.15,4.15,4.15,4.15,100000,4.06
2013-06-03,4.15,4.15,4.15,4.15,121000,4.06
2013-05-31,4.15,4.15,4.15,4.15,163600,4.06
2013-05-30,4.18,4.18,4.10,4.15,10200,4.06
2013-05-29,4.25,4.25,4.20,4.20,145000,4.11
2013-05-28,4.30,4.30,4.25,4.28,107000,4.19
2013-05-27,4.39,4.39,4.29,4.29,158300,4.20
2013-05-24,4.39,4.40,4.37,4.40,162800,4.30
2013-05-23,4.42,4.44,4.37,4.39,102100,4.29
2013-05-22,4.35,4.40,4.33,4.40,78700,4.30
2013-05-21,4.32,4.35,4.32,4.33,25300,4.23
2013-05-20,4.33,4.33,4.31,4.32,11900,4.22
2013-05-17,4.27,4.35,4.25,4.31,73300,4.22
2013-05-16,4.25,4.30,4.20,4.25,37100,4.16
2013-05-15,4.15,4.25,4.15,4.25,26600,4.16
2013-05-14,4.14,4.17,4.14,4.15,25600,4.06
2013-05-13,4.10,4.14,4.10,4.14,45900,4.05
2013-05-10,4.08,4.10,4.08,4.10,14900,4.01
2013-05-09,4.00,4.08,4.00,4.08,29400,3.99
2013-05-08,4.00,4.00,4.00,4.00,100,3.91
2013-05-07,4.10,4.10,4.00,4.00,21200,3.91
2013-05-06,3.90,4.10,3.90,4.10,93600,4.01
2013-05-03,3.85,3.95,3.85,3.95,148100,3.86
2013-05-02,3.85,3.85,3.85,3.85,30700,3.77
2013-05-01,3.86,3.86,3.85,3.85,27000,3.77
2013-04-30,3.75,3.85,3.75,3.85,4300,3.77
2013-04-29,3.75,3.85,3.75,3.75,3700,3.67
