Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.70,0.70,0.70,0.70,000,0.70
2013-09-19,0.70,0.70,0.70,0.70,000,0.70
2013-09-18,0.70,0.70,0.70,0.70,8200,0.70
2013-09-17,0.69,0.69,0.69,0.69,2200,0.69
2013-09-16,0.65,0.68,0.65,0.68,11700,0.68
2013-09-13,0.69,0.70,0.68,0.68,31100,0.68
2013-09-12,0.69,0.69,0.69,0.69,000,0.69
2013-09-11,0.70,0.70,0.68,0.68,36400,0.68
2013-09-10,0.69,0.70,0.69,0.70,8400,0.70
2013-09-09,0.68,0.70,0.68,0.70,64300,0.70
2013-09-06,0.69,0.69,0.69,0.69,700,0.69
2013-09-05,0.68,0.68,0.68,0.68,000,0.68
2013-09-04,0.68,0.68,0.67,0.68,11900,0.68
2013-09-03,0.68,0.68,0.68,0.68,7600,0.68
2013-09-02,0.68,0.68,0.68,0.68,000,0.68
2013-08-30,0.68,0.68,0.68,0.68,9700,0.68
2013-08-29,0.68,0.68,0.62,0.68,195200,0.68
2013-08-28,0.71,0.71,0.71,0.71,000,0.71
2013-08-27,0.70,0.71,0.68,0.71,3900,0.71
2013-08-26,0.72,0.72,0.70,0.70,39300,0.69
2013-08-23,0.67,0.67,0.66,0.66,17000,0.66
2013-08-22,0.70,0.70,0.70,0.70,89100,0.69
2013-08-21,0.70,0.71,0.70,0.71,3000,0.70
2013-08-20,0.67,0.70,0.67,0.70,25300,0.69
2013-08-19,0.68,0.69,0.68,0.69,7500,0.68
2013-08-16,0.67,0.67,0.67,0.67,9500,0.67
2013-08-15,0.69,0.69,0.69,0.69,14500,0.68
2013-08-14,0.69,0.69,0.68,0.68,12500,0.68
2013-08-13,0.70,0.70,0.70,0.70,000,0.69
2013-08-12,0.70,0.70,0.70,0.70,000,0.69
2013-08-09,0.70,0.71,0.70,0.70,54100,0.69
2013-08-08,0.70,0.70,0.70,0.70,32400,0.69
2013-08-07,0.66,0.67,0.66,0.67,69000,0.67
2013-08-06,0.68,0.68,0.68,0.68,000,0.68
2013-08-05,0.68,0.68,0.68,0.68,19800,0.68
