Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.69,2.70,2.65,2.69,124700,2.69
2013-09-19,2.67,2.71,2.67,2.69,235500,2.69
2013-09-18,2.65,2.66,2.62,2.66,1314500,2.66
2013-09-17,2.61,2.69,2.61,2.65,3554500,2.65
2013-09-16,2.61,2.61,2.60,2.60,218700,2.60
2013-09-13,2.60,2.64,2.60,2.63,54600,2.63
2013-09-12,2.60,2.64,2.60,2.63,47300,2.63
2013-09-11,2.65,2.67,2.58,2.61,121200,2.61
2013-09-10,2.64,2.65,2.58,2.65,132600,2.60
2013-09-09,2.61,2.65,2.57,2.64,109100,2.59
2013-09-06,2.61,2.65,2.59,2.65,744600,2.60
2013-09-05,2.60,2.63,2.59,2.61,751400,2.56
2013-09-04,2.51,2.56,2.49,2.55,345100,2.50
2013-09-03,2.37,2.51,2.37,2.51,338900,2.46
2013-09-02,2.37,2.40,2.36,2.39,144500,2.34
2013-08-30,2.43,2.44,2.37,2.40,91900,2.35
2013-08-29,2.45,2.45,2.40,2.45,116900,2.40
2013-08-28,2.46,2.46,2.42,2.45,63400,2.40
2013-08-27,2.45,2.50,2.42,2.46,136600,2.41
2013-08-26,2.39,2.50,2.39,2.50,274700,2.45
2013-08-23,2.55,2.55,2.21,2.40,2156200,2.35
2013-08-22,2.62,2.62,2.52,2.55,299600,2.50
2013-08-21,2.65,2.66,2.57,2.62,250700,2.57
2013-08-20,2.67,2.75,2.65,2.66,91800,2.60
2013-08-19,2.67,2.69,2.63,2.68,126600,2.62
2013-08-16,2.67,2.70,2.67,2.69,31200,2.63
2013-08-15,2.68,2.73,2.68,2.70,119100,2.64
2013-08-14,2.62,2.73,2.62,2.71,56000,2.65
2013-08-13,2.64,2.70,2.57,2.62,111600,2.57
2013-08-12,2.56,2.66,2.56,2.61,124600,2.56
2013-08-09,2.66,2.66,2.50,2.56,248600,2.51
2013-08-08,2.75,2.77,2.66,2.66,136500,2.60
2013-08-07,2.79,2.80,2.77,2.77,44500,2.71
2013-08-06,2.80,2.83,2.71,2.80,161500,2.74
2013-08-05,2.85,2.87,2.80,2.83,84900,2.77
2013-08-02,2.86,2.92,2.83,2.85,173200,2.79
2013-08-01,2.84,2.87,2.84,2.86,40300,2.80
2013-07-31,2.85,2.90,2.83,2.85,157700,2.79
2013-07-30,2.83,2.87,2.80,2.85,48600,2.79
2013-07-29,2.80,2.85,2.78,2.83,54000,2.77
2013-07-26,2.82,2.85,2.75,2.80,62200,2.74
2013-07-25,2.84,2.85,2.75,2.85,39100,2.79
2013-07-24,2.85,2.86,2.77,2.85,24800,2.79
2013-07-23,2.85,2.90,2.85,2.87,201600,2.81
2013-07-22,2.79,2.87,2.79,2.85,216100,2.79
2013-07-19,2.75,2.83,2.75,2.82,212200,2.76
2013-07-18,2.84,2.90,2.82,2.84,232100,2.78
2013-07-17,2.83,2.90,2.83,2.85,229100,2.79
2013-07-16,2.80,2.87,2.74,2.85,324800,2.79
2013-07-15,2.80,2.84,2.79,2.81,100300,2.75
2013-07-12,2.73,2.80,2.68,2.78,469700,2.72
2013-07-11,2.64,2.79,2.64,2.74,458000,2.68
2013-07-10,2.58,2.70,2.58,2.70,182600,2.64
2013-07-09,2.50,2.61,2.50,2.59,89900,2.54
2013-07-08,2.56,2.61,2.52,2.59,559000,2.54
2013-07-05,2.61,2.61,2.54,2.56,618900,2.51
2013-07-04,2.53,2.67,2.53,2.62,55800,2.57
2013-07-03,2.53,2.57,2.50,2.55,54900,2.50
2013-07-02,2.49,2.57,2.49,2.57,252900,2.52
2013-07-01,2.50,2.54,2.50,2.51,234000,2.46
2013-06-28,2.49,2.55,2.46,2.50,692700,2.45
2013-06-27,2.53,2.54,2.48,2.52,760200,2.47
2013-06-26,2.43,2.57,2.43,2.52,378600,2.47
2013-06-25,2.42,2.49,2.42,2.45,43400,2.40
2013-06-24,2.52,2.55,2.41,2.42,65700,2.37
2013-06-21,2.50,2.55,2.47,2.55,202600,2.50
2013-06-20,2.55,2.55,2.47,2.52,85800,2.47
2013-06-19,2.55,2.58,2.54,2.55,283600,2.50
2013-06-18,2.50,2.54,2.48,2.52,860800,2.47
2013-06-17,2.50,2.53,2.47,2.50,574100,2.45
2013-06-14,2.48,2.55,2.48,2.55,156000,2.50
2013-06-13,2.51,2.52,2.46,2.49,598700,2.44
2013-06-12,2.48,2.53,2.48,2.51,101200,2.46
2013-06-11,2.50,2.54,2.49,2.51,1127600,2.46
2013-06-10,2.65,2.65,2.65,2.65,000,2.60
2013-06-07,2.65,2.65,2.65,2.65,000,2.60
2013-06-06,2.65,2.66,2.59,2.65,25600,2.60
2013-06-05,2.68,2.69,2.66,2.67,859100,2.61
2013-06-04,2.65,2.70,2.60,2.67,919400,2.61
2013-06-03,2.61,2.67,2.60,2.67,49200,2.61
2013-05-31,2.58,2.62,2.55,2.62,23200,2.57
2013-05-30,2.59,2.62,2.59,2.59,33600,2.54
2013-05-29,2.55,2.59,2.45,2.59,21700,2.54
2013-05-28,2.45,2.59,2.45,2.59,76300,2.54
2013-05-27,2.49,2.54,2.45,2.50,31400,2.45
2013-05-24,2.48,2.50,2.42,2.50,83800,2.45
2013-05-23,2.46,2.50,2.37,2.50,254600,2.45
2013-05-22,2.59,2.59,2.49,2.52,58900,2.47
2013-05-21,2.62,2.63,2.55,2.58,60900,2.53
2013-05-20,2.64,2.67,2.58,2.61,74700,2.56
2013-05-17,2.60,2.64,2.59,2.63,45600,2.58
2013-05-16,2.59,2.62,2.56,2.60,9500,2.55
2013-05-15,2.64,2.67,2.56,2.60,55200,2.55
2013-05-14,2.61,2.67,2.61,2.65,138200,2.60
2013-05-13,2.61,2.63,2.60,2.62,806600,2.57
2013-05-10,2.63,2.65,2.59,2.61,20500,2.56
2013-05-09,2.67,2.67,2.64,2.66,461500,2.60
2013-05-08,2.67,2.68,2.65,2.67,121700,2.61
2013-05-07,2.65,2.67,2.65,2.67,971400,2.61
2013-05-06,2.59,2.67,2.59,2.66,45200,2.60
2013-05-03,2.66,2.66,2.50,2.59,101000,2.54
2013-05-02,2.68,2.72,2.60,2.64,56800,2.59
2013-05-01,2.74,2.75,2.74,2.75,12200,2.69
2013-04-30,2.72,2.75,2.72,2.75,105300,2.69
2013-04-29,2.71,2.72,2.66,2.66,4700,2.60
2013-04-26,2.75,2.75,2.75,2.75,400,2.69
2013-04-25,2.75,2.75,2.75,2.75,000,2.69
2013-04-24,2.75,2.75,2.72,2.75,18200,2.69
2013-04-23,2.76,2.76,2.70,2.75,14100,2.69
2013-04-22,2.75,2.80,2.72,2.76,24900,2.70
2013-04-19,2.75,2.80,2.70,2.75,67700,2.69
2013-04-18,2.74,2.77,2.72,2.75,46800,2.69
2013-04-17,2.66,2.75,2.66,2.72,45900,2.66
2013-04-16,2.56,2.65,2.56,2.65,40500,2.60
2013-04-15,2.57,2.57,2.54,2.57,15500,2.52
2013-04-12,2.59,2.59,2.57,2.57,22800,2.52
2013-04-11,2.57,2.58,2.57,2.58,19800,2.53
2013-04-10,2.57,2.58,2.52,2.57,19400,2.52
2013-04-09,2.53,2.57,2.52,2.52,15900,2.47
2013-04-08,2.53,2.53,2.51,2.51,29300,2.46
2013-04-05,2.57,2.58,2.53,2.53,198200,2.48
2013-04-04,2.59,2.59,2.51,2.52,75600,2.47
2013-04-03,2.65,2.65,2.50,2.55,58300,2.50
2013-04-02,2.71,2.71,2.65,2.65,14200,2.60
2013-04-01,2.71,2.71,2.71,2.71,000,2.65
2013-03-29,2.71,2.71,2.71,2.71,000,2.65
2013-03-28,2.70,2.73,2.64,2.71,68300,2.65
2013-03-27,2.62,2.70,2.62,2.70,53600,2.64
2013-03-26,2.62,2.62,2.54,2.60,38600,2.55
2013-03-25,2.47,2.62,2.47,2.60,54700,2.55
2013-03-22,2.50,2.55,2.46,2.55,35800,2.50
2013-03-21,2.54,2.54,2.45,2.47,54800,2.42
2013-03-20,2.54,2.63,2.52,2.55,60500,2.50
2013-03-19,2.46,2.64,2.46,2.60,127100,2.50
2013-03-18,2.44,2.46,2.42,2.45,89200,2.35
2013-03-15,2.42,2.43,2.40,2.40,27400,2.30
2013-03-14,2.30,2.40,2.30,2.40,25900,2.30
2013-03-13,2.33,2.35,2.26,2.28,871100,2.19
2013-03-12,2.35,2.35,2.33,2.33,14800,2.24
2013-03-11,2.41,2.41,2.37,2.38,22400,2.29
2013-03-08,2.45,2.45,2.41,2.41,8300,2.32
2013-03-07,2.45,2.47,2.42,2.45,71600,2.35
2013-03-06,2.45,2.48,2.42,2.45,69300,2.35
2013-03-05,2.45,2.47,2.43,2.44,122700,2.34
2013-03-04,2.40,2.44,2.40,2.44,77800,2.34
2013-03-01,2.47,2.47,2.36,2.40,124100,2.30
2013-02-28,2.36,2.50,2.36,2.48,84600,2.38
2013-02-27,2.33,2.36,2.33,2.36,29400,2.27
2013-02-26,2.25,2.33,2.23,2.33,54900,2.24
2013-02-25,2.34,2.35,2.24,2.25,132600,2.16
2013-02-22,2.29,2.33,2.25,2.32,76600,2.23
2013-02-21,2.35,2.35,2.22,2.27,182800,2.18
2013-02-20,2.21,2.39,2.21,2.35,144500,2.26
2013-02-19,2.07,2.20,2.06,2.17,156900,2.08
2013-02-18,2.09,2.12,2.06,2.07,255700,1.99
2013-02-15,2.07,2.08,2.06,2.06,23600,1.98
2013-02-14,2.11,2.11,2.05,2.06,72400,1.98
2013-02-13,2.16,2.16,2.11,2.11,32800,2.03
2013-02-12,2.15,2.19,2.15,2.18,55100,2.09
2013-02-11,2.20,2.20,2.15,2.19,28300,2.10
2013-02-08,2.15,2.15,2.10,2.15,47700,2.06
2013-02-07,2.13,2.15,2.11,2.15,18900,2.06
2013-02-06,2.16,2.16,2.13,2.13,14900,2.05
2013-02-05,2.15,2.16,2.13,2.16,71300,2.07
2013-02-04,2.18,2.18,2.14,2.15,21200,2.06
2013-02-01,2.15,2.20,2.13,2.13,64300,2.05
2013-01-31,2.12,2.12,2.09,2.12,10700,2.04
2013-01-30,2.15,2.15,2.10,2.12,48100,2.04
2013-01-29,2.10,2.15,2.09,2.15,45100,2.06
2013-01-28,2.14,2.14,2.14,2.14,000,2.06
2013-01-25,2.14,2.14,2.10,2.14,27800,2.06
2013-01-24,2.07,2.15,2.04,2.14,71100,2.06
2013-01-23,2.13,2.14,2.06,2.11,47300,2.03
2013-01-22,2.14,2.14,2.12,2.13,7400,2.05
2013-01-21,2.14,2.14,2.07,2.14,7600,2.06
2013-01-18,2.11,2.15,2.05,2.14,38900,2.06
2013-01-17,2.12,2.14,2.11,2.12,65000,2.04
2013-01-16,2.11,2.15,2.05,2.15,37200,2.06
2013-01-15,2.06,2.12,2.05,2.11,65800,2.03
2013-01-14,2.09,2.11,2.07,2.08,89600,2.00
2013-01-11,2.04,2.10,2.04,2.09,16700,2.01
2013-01-10,2.00,2.05,2.00,2.05,52300,1.97
2013-01-09,2.02,2.03,1.99,2.03,22800,1.95
2013-01-08,2.01,2.02,1.99,2.02,37800,1.94
2013-01-07,1.98,2.01,1.98,2.00,22000,1.92
2013-01-04,2.00,2.00,2.00,2.00,000,1.92
2013-01-03,2.00,2.00,2.00,2.00,22000,1.92
2013-01-02,2.00,2.00,1.91,1.92,21100,1.84
