Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,17.16,17.16,17.16,17.16,800,17.16
2013-09-19,17.00,17.35,17.00,17.07,6700,17.07
2013-09-18,16.51,16.51,16.51,16.51,100,16.51
2013-09-17,16.50,16.50,16.50,16.50,9900,16.50
2013-09-16,16.40,16.40,16.40,16.40,000,16.40
2013-09-13,16.40,16.40,16.40,16.40,000,16.40
2013-09-12,16.50,16.50,16.40,16.40,5300,16.40
2013-09-11,16.80,17.05,16.80,17.01,43300,16.51
2013-09-10,16.61,16.61,16.61,16.61,200,16.12
2013-09-09,16.75,17.00,16.55,16.55,9200,16.06
2013-09-06,16.50,16.74,16.22,16.50,2000,16.01
2013-09-05,16.60,16.60,16.30,16.50,15700,16.01
2013-09-04,16.00,16.40,15.90,16.40,3500,15.92
2013-09-03,15.40,15.50,15.40,15.50,1700,15.04
2013-09-02,15.20,15.20,15.20,15.20,4600,14.75
2013-08-30,15.16,15.20,15.16,15.20,28600,14.75
2013-08-29,15.05,15.15,15.05,15.15,2300,14.70
2013-08-28,15.00,15.00,15.00,15.00,000,14.56
2013-08-27,15.00,15.00,15.00,15.00,400,14.56
2013-08-26,15.20,15.20,15.08,15.08,5000,14.64
2013-08-23,15.20,15.20,15.20,15.20,9000,14.75
2013-08-22,15.20,15.20,15.20,15.20,4000,14.75
2013-08-21,15.20,15.20,15.12,15.20,2100,14.75
2013-08-20,15.30,15.30,15.20,15.20,2900,14.75
2013-08-19,15.20,15.45,15.20,15.45,3500,15.00
2013-08-16,15.10,15.20,15.10,15.20,9500,14.75
2013-08-15,15.09,15.20,15.09,15.11,12900,14.67
2013-08-14,15.10,15.20,15.00,15.10,8500,14.66
2013-08-13,15.10,15.10,15.00,15.00,12000,14.56
2013-08-12,15.05,15.20,14.95,15.20,16000,14.75
2013-08-09,15.20,15.20,15.20,15.20,100,14.75
2013-08-08,15.40,15.40,15.40,15.40,000,14.95
2013-08-07,15.40,15.40,15.40,15.40,000,14.95
2013-08-06,15.00,15.40,15.00,15.40,22900,14.95
2013-08-05,15.10,15.15,15.10,15.15,3600,14.70
2013-08-02,14.95,15.15,14.95,15.10,13100,14.66
2013-08-01,14.91,15.00,14.90,14.95,14300,14.51
2013-07-31,14.80,14.90,14.80,14.90,700,14.46
2013-07-30,14.72,14.72,14.72,14.72,000,14.29
2013-07-29,14.75,14.75,14.72,14.72,500,14.29
2013-07-26,14.70,14.75,14.70,14.72,1000,14.29
2013-07-25,14.65,14.65,14.61,14.61,1100,14.18
2013-07-24,14.60,14.60,14.60,14.60,300,14.17
2013-07-23,15.15,15.15,15.15,15.15,600,14.70
2013-07-22,15.15,15.15,15.15,15.15,000,14.70
2013-07-19,15.15,15.30,15.15,15.15,5900,14.70
2013-07-18,15.12,15.12,15.12,15.12,900,14.68
2013-07-17,15.00,15.00,15.00,15.00,000,14.56
2013-07-16,15.50,15.50,15.50,15.50,000,15.04
2013-07-15,14.90,14.90,14.90,14.90,000,14.46
2013-07-12,14.53,14.53,14.53,14.53,000,14.10
2013-07-11,15.00,15.00,14.53,14.53,4700,14.10
2013-07-10,15.00,15.00,14.25,15.00,7100,14.56
2013-07-09,14.89,14.95,14.89,14.95,1400,14.51
2013-07-08,14.92,14.92,14.92,14.92,1600,14.48
2013-07-05,14.98,14.98,14.98,14.98,2400,14.54
2013-07-04,14.99,14.99,14.99,14.99,000,14.55
2013-07-03,14.99,14.99,14.99,14.99,1600,14.55
2013-07-02,14.99,14.99,14.99,14.99,400,14.55
2013-07-01,14.90,14.99,14.90,14.99,2700,14.55
2013-06-28,15.01,15.01,14.90,14.90,1600,14.46
2013-06-27,14.73,15.02,14.73,15.00,1400,14.56
2013-06-26,14.70,14.70,14.63,14.70,700,14.27
2013-06-25,14.63,14.63,14.63,14.63,100,14.20
2013-06-24,15.25,15.25,14.60,14.60,2500,14.17
2013-06-21,15.30,15.30,15.25,15.25,4900,14.80
2013-06-20,15.50,15.50,15.37,15.37,700,14.92
2013-06-19,15.35,15.35,15.35,15.35,3100,14.90
2013-06-18,15.35,15.35,15.35,15.35,000,14.90
2013-06-17,15.63,15.63,15.35,15.35,500,14.90
2013-06-14,15.60,15.60,15.60,15.60,2000,15.14
2013-06-13,15.50,15.50,15.50,15.50,000,15.04
2013-06-12,15.50,15.60,15.50,15.50,6900,15.04
2013-06-11,15.40,15.40,15.40,15.40,3900,14.95
2013-06-10,15.40,15.40,15.40,15.40,000,14.95
2013-06-07,15.40,15.40,15.40,15.40,2000,14.95
2013-06-06,15.50,15.50,15.30,15.40,11200,14.95
2013-06-05,15.47,15.90,15.47,15.48,4900,15.02
2013-06-04,15.50,15.50,15.40,15.50,13100,15.04
2013-06-03,15.70,15.70,15.50,15.50,800,15.04
2013-05-31,16.00,16.00,16.00,16.00,300,15.53
2013-05-30,15.90,15.97,15.90,15.97,1200,15.50
2013-05-29,16.00,16.00,16.00,16.00,000,15.53
2013-05-28,16.00,16.00,16.00,16.00,000,15.53
2013-05-27,16.05,16.05,16.00,16.00,1700,15.53
2013-05-24,16.00,16.05,16.00,16.05,1000,15.58
2013-05-23,16.25,16.26,16.00,16.00,3500,15.53
2013-05-22,16.82,16.82,16.82,16.82,000,16.33
2013-05-21,16.82,16.82,16.82,16.82,000,16.33
2013-05-20,16.80,16.82,16.60,16.82,2000,16.33
2013-05-17,16.55,16.55,16.50,16.50,600,16.01
2013-05-16,17.00,17.00,17.00,17.00,000,16.50
2013-05-15,17.00,17.00,17.00,17.00,600,16.50
2013-05-14,17.01,17.70,17.01,17.70,1300,17.18
2013-05-13,17.00,17.00,17.00,17.00,000,16.50
2013-05-10,16.70,16.70,16.70,16.70,3000,16.21
2013-05-09,16.70,16.70,16.70,16.70,400,16.21
2013-05-08,16.25,16.40,16.20,16.40,9000,15.92
2013-05-07,17.90,17.90,16.40,16.40,10700,15.92
2013-05-06,17.85,17.90,17.80,17.85,3000,17.33
2013-05-03,17.50,17.65,17.50,17.65,1400,17.13
2013-05-02,17.85,17.85,17.60,17.61,2800,17.09
2013-05-01,17.90,17.90,17.90,17.90,000,17.37
2013-04-30,17.80,17.96,17.80,17.96,1900,17.43
2013-04-29,17.70,17.90,17.60,17.60,3700,17.08
2013-04-26,18.00,18.00,17.81,18.00,3700,17.47
2013-04-25,17.90,17.90,17.90,17.90,000,17.37
2013-04-24,17.50,18.00,17.50,17.90,5700,17.37
2013-04-23,17.10,17.50,17.10,17.50,200,16.99
2013-04-22,17.00,17.00,17.00,17.00,000,16.50
2013-04-19,16.84,16.84,16.84,16.84,2500,16.34
2013-04-18,17.00,17.00,17.00,17.00,000,16.50
2013-04-17,16.90,17.00,16.83,17.00,5500,16.50
2013-04-16,17.05,17.14,16.90,17.00,2200,16.50
2013-04-15,17.30,17.30,17.30,17.30,4000,16.79
2013-04-12,17.50,17.50,17.50,17.50,000,16.99
2013-04-11,17.70,17.75,17.40,17.50,10300,16.99
2013-04-10,17.90,17.90,17.90,17.90,000,17.37
2013-04-09,17.95,18.00,17.90,17.90,2300,17.37
2013-04-08,18.00,18.00,18.00,18.00,500,17.47
2013-04-05,17.85,18.00,17.75,18.00,4200,17.47
2013-04-04,18.00,18.00,18.00,18.00,1000,17.47
2013-04-03,18.00,18.00,18.00,18.00,11000,17.47
2013-04-02,17.70,18.00,17.70,18.00,1600,17.47
2013-04-01,18.00,18.00,18.00,18.00,000,17.47
2013-03-29,18.00,18.00,18.00,18.00,000,17.47
2013-03-28,18.00,18.00,18.00,18.00,15900,17.47
2013-03-27,18.00,18.00,17.97,17.97,3000,17.44
2013-03-26,17.55,17.55,17.55,17.55,000,17.03
2013-03-25,17.55,17.55,17.55,17.55,1200,17.03
2013-03-22,17.60,17.60,17.60,17.60,000,17.08
2013-03-21,17.64,17.64,17.60,17.60,3800,17.08
2013-03-20,17.30,17.50,17.24,17.50,5600,16.99
2013-03-19,17.60,17.70,17.60,17.70,800,17.18
2013-03-18,17.30,17.50,17.30,17.50,2300,16.99
2013-03-15,17.00,17.60,17.00,17.60,2200,17.08
