Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.00,0.00,0.00,0.00,1834200,0.00
2013-09-19,0.00,0.00,0.00,0.00,220000,0.00
2013-09-18,0.00,0.00,0.00,0.00,700000,0.00
2013-09-17,0.00,0.00,0.00,0.00,330000,0.00
2013-09-16,0.00,0.00,0.00,0.00,000,0.00
2013-09-13,0.00,0.00,0.00,0.00,2050000,0.00
2013-09-12,0.00,0.00,0.00,0.00,6701300,0.00
2013-09-11,0.00,0.00,0.00,0.00,1208200,0.00
2013-09-10,0.00,0.00,0.00,0.00,6728600,0.00
2013-09-09,0.00,0.00,0.00,0.00,12586600,0.00
2013-09-06,0.00,0.00,0.00,0.00,1841600,0.00
2013-09-05,0.00,0.00,0.00,0.00,594900,0.00
2013-09-04,0.00,0.00,0.00,0.00,73309900,0.00
2013-09-03,0.00,0.00,0.00,0.00,1005000,0.00
2013-09-02,0.00,0.00,0.00,0.00,10200000,0.00
2013-08-30,0.00,0.00,0.00,0.00,775000,0.00
2013-08-29,0.00,0.00,0.00,0.00,2420000,0.00
2013-08-28,0.00,0.00,0.00,0.00,10114900,0.00
2013-08-27,0.00,0.00,0.00,0.00,11893300,0.00
2013-08-26,0.00,0.00,0.00,0.00,3000000,0.00
2013-08-23,0.00,0.00,0.00,0.00,200000,0.00
2013-08-22,0.00,0.00,0.00,0.00,000,0.00
2013-08-21,0.00,0.00,0.00,0.00,500000,0.00
2013-08-20,0.00,0.00,0.00,0.00,300000,0.00
2013-08-19,0.00,0.00,0.00,0.00,690100,0.00
2013-08-16,0.00,0.00,0.00,0.00,1245000,0.00
2013-08-15,0.00,0.00,0.00,0.00,3500900,0.00
2013-08-14,0.00,0.00,0.00,0.00,120000,0.00
2013-08-13,0.00,0.00,0.00,0.00,4963500,0.00
2013-08-12,0.00,0.00,0.00,0.00,154800,0.00
2013-08-09,0.00,0.00,0.00,0.00,1100000,0.00
2013-08-08,0.00,0.00,0.00,0.00,4344900,0.00
2013-08-07,0.00,0.00,0.00,0.00,140000,0.00
2013-08-06,0.00,0.00,0.00,0.00,10600000,0.00
2013-08-05,0.00,0.00,0.00,0.00,1995000,0.00
2013-08-02,0.00,0.00,0.00,0.00,645600,0.00
2013-08-01,0.00,0.00,0.00,0.00,200000,0.00
2013-07-31,0.00,0.00,0.00,0.00,000,0.00
2013-07-30,0.00,0.00,0.00,0.00,306700,0.00
2013-07-29,0.00,0.00,0.00,0.00,300000,0.00
2013-07-26,0.00,0.00,0.00,0.00,2502700,0.00
2013-07-25,0.01,0.01,0.00,0.00,11060700,0.00
2013-07-24,0.01,0.01,0.01,0.01,2734600,0.01
2013-07-23,0.00,0.00,0.00,0.00,5289000,0.00
2013-07-22,0.00,0.00,0.00,0.00,5800000,0.00
2013-07-19,0.00,0.00,0.00,0.00,5803000,0.00
