Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.61,0.61,0.61,0.61,000,0.61
2013-09-19,0.61,0.61,0.61,0.61,000,0.61
2013-09-18,0.61,0.61,0.61,0.61,000,0.61
2013-09-17,0.61,0.61,0.61,0.61,000,0.61
2013-09-16,0.61,0.61,0.61,0.61,000,0.61
2013-09-13,0.61,0.61,0.61,0.61,000,0.61
2013-09-12,0.61,0.61,0.61,0.61,000,0.61
2013-09-11,0.61,0.61,0.61,0.61,000,0.61
2013-09-10,0.61,0.61,0.61,0.61,000,0.61
2013-09-09,0.61,0.61,0.61,0.61,000,0.61
2013-09-06,0.61,0.61,0.61,0.61,000,0.61
2013-09-05,0.61,0.61,0.61,0.61,000,0.61
2013-09-04,0.61,0.61,0.61,0.61,000,0.61
2013-09-03,0.61,0.61,0.61,0.61,000,0.61
2013-09-02,0.61,0.61,0.61,0.61,000,0.61
2013-08-30,0.61,0.61,0.61,0.61,000,0.61
2013-08-29,0.61,0.61,0.61,0.61,000,0.61
2013-08-28,0.61,0.61,0.61,0.61,000,0.61
2013-08-27,0.61,0.61,0.61,0.61,000,0.61
2013-08-26,0.61,0.61,0.61,0.61,000,0.61
2013-08-23,0.61,0.61,0.61,0.61,000,0.61
2013-08-22,0.61,0.61,0.61,0.61,000,0.61
2013-08-21,0.61,0.61,0.61,0.61,10000,0.61
2013-08-20,0.61,0.61,0.60,0.60,20000,0.60
2013-08-19,0.60,0.60,0.60,0.60,000,0.60
2013-08-16,0.60,0.60,0.60,0.60,000,0.60
2013-08-15,0.60,0.60,0.60,0.60,000,0.60
2013-08-14,0.60,0.60,0.60,0.60,000,0.60
2013-08-13,0.60,0.60,0.60,0.60,000,0.60
2013-08-12,0.60,0.60,0.60,0.60,000,0.60
2013-08-09,0.60,0.60,0.60,0.60,000,0.60
2013-08-08,0.60,0.60,0.60,0.60,10000,0.60
2013-08-07,0.62,0.62,0.62,0.62,10000,0.62
2013-08-06,0.62,0.62,0.62,0.62,15500,0.62
2013-08-05,0.62,0.62,0.62,0.62,60000,0.62
2013-08-02,0.64,0.64,0.62,0.62,21600,0.62
2013-08-01,0.90,0.90,0.90,0.90,000,0.90
2013-07-31,0.90,0.90,0.90,0.90,5600,0.90
2013-07-30,0.90,0.90,0.90,0.90,000,0.90
2013-07-29,0.90,0.90,0.90,0.90,000,0.90
2013-07-26,0.90,0.90,0.90,0.90,000,0.90
2013-07-25,0.90,0.90,0.90,0.90,000,0.90
2013-07-24,0.90,0.90,0.90,0.90,000,0.90
2013-07-23,0.90,0.90,0.90,0.90,3900,0.90
2013-07-19,0.90,0.90,0.90,0.90,000,0.90
2013-07-18,0.90,0.90,0.90,0.90,000,0.90
2013-07-17,0.90,0.90,0.90,0.90,000,0.90
2013-07-16,0.90,0.90,0.90,0.90,000,0.90
2013-07-15,0.97,0.97,0.90,0.90,9400,0.90
2013-07-12,1.00,1.00,1.00,1.00,000,1.00
2013-07-11,1.00,1.00,1.00,1.00,000,1.00
2013-07-10,1.00,1.00,1.00,1.00,000,1.00
2013-07-09,1.00,1.00,1.00,1.00,000,1.00
2013-07-08,1.00,1.00,1.00,1.00,000,1.00
2013-07-05,1.00,1.00,1.00,1.00,000,1.00
2013-07-04,1.00,1.00,1.00,1.00,000,1.00
2013-07-03,1.00,1.00,1.00,1.00,000,1.00
2013-07-02,1.00,1.00,1.00,1.00,000,1.00
2013-07-01,1.00,1.00,1.00,1.00,000,1.00
2013-06-28,1.00,1.00,1.00,1.00,000,1.00
2013-06-27,1.00,1.00,1.00,1.00,13000,1.00
2013-06-26,0.90,0.90,0.90,0.90,000,0.90
2013-06-25,0.90,0.90,0.90,0.90,000,0.90
2013-06-24,0.90,0.90,0.90,0.90,26500,0.90
2013-06-21,0.91,0.91,0.91,0.91,000,0.91
2013-06-20,0.91,0.91,0.91,0.91,5000,0.91
2013-06-18,0.94,0.94,0.94,0.94,000,0.94
2013-06-17,0.94,0.94,0.94,0.94,000,0.94
2013-06-14,0.94,0.94,0.94,0.94,000,0.94
2013-06-13,0.94,0.94,0.94,0.94,000,0.94
