Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.81,0.81,0.78,0.78,38500,0.78
2013-09-19,0.78,0.83,0.78,0.83,83000,0.83
2013-09-18,0.71,0.73,0.71,0.73,13700,0.73
2013-09-17,0.74,0.74,0.71,0.71,3000,0.71
2013-09-16,0.70,0.74,0.70,0.74,7600,0.74
2013-09-13,0.75,0.75,0.71,0.73,119800,0.73
2013-09-12,0.78,0.83,0.78,0.78,124400,0.78
2013-09-11,0.77,0.77,0.74,0.76,99100,0.76
2013-09-10,0.80,0.80,0.77,0.80,41300,0.80
2013-09-09,0.80,0.82,0.80,0.82,139800,0.82
2013-09-06,0.75,0.77,0.75,0.77,351600,0.77
2013-09-05,0.80,0.80,0.75,0.77,491200,0.77
2013-09-04,0.86,0.87,0.83,0.85,1410900,0.85
2013-09-03,0.88,0.88,0.86,0.86,69900,0.86
2013-09-02,0.88,0.88,0.85,0.87,37400,0.87
2013-08-30,0.92,0.93,0.91,0.93,66100,0.93
2013-08-29,0.90,0.90,0.87,0.90,758200,0.90
2013-08-28,0.88,0.95,0.88,0.95,829700,0.95
2013-08-27,0.94,0.95,0.94,0.94,288800,0.94
2013-08-26,0.95,0.96,0.93,0.93,77900,0.93
2013-08-23,0.87,0.89,0.87,0.88,216900,0.88
2013-08-22,0.87,0.87,0.82,0.84,112100,0.84
2013-08-21,0.87,0.88,0.85,0.87,109800,0.87
2013-08-20,0.85,0.86,0.83,0.85,53300,0.85
2013-08-19,0.85,0.87,0.85,0.85,31800,0.85
2013-08-16,0.88,0.88,0.81,0.85,317000,0.85
2013-08-15,0.81,0.91,0.81,0.91,209800,0.91
2013-08-14,0.76,0.78,0.76,0.77,295600,0.77
2013-08-13,0.73,0.74,0.71,0.73,4362300,0.73
2013-08-12,0.69,0.70,0.68,0.70,1417300,0.70
2013-08-09,0.68,0.68,0.64,0.66,1175300,0.66
2013-08-08,0.63,0.64,0.63,0.64,276500,0.64
2013-08-07,0.65,0.66,0.64,0.64,56900,0.64
2013-08-06,0.69,0.70,0.68,0.69,32100,0.69
2013-08-05,0.68,0.72,0.68,0.69,40700,0.69
2013-08-02,0.70,0.70,0.67,0.67,101300,0.67
2013-08-01,0.70,0.72,0.70,0.70,336400,0.70
2013-07-31,0.71,0.74,0.71,0.74,215100,0.74
2013-07-30,0.73,0.75,0.73,0.74,466800,0.74
2013-07-29,0.75,0.75,0.72,0.74,163400,0.74
2013-07-26,0.77,0.81,0.75,0.75,918600,0.75
2013-07-25,0.72,0.76,0.72,0.75,523400,0.75
2013-07-24,0.74,0.78,0.74,0.78,2017600,0.78
2013-07-23,0.66,0.67,0.63,0.64,2135200,0.64
2013-07-22,0.57,0.60,0.56,0.59,1552000,0.59
2013-07-19,0.56,0.56,0.54,0.55,686800,0.55
2013-07-18,0.56,0.57,0.56,0.56,330700,0.56
2013-07-17,0.57,0.58,0.56,0.58,1284300,0.58
2013-07-16,0.56,0.56,0.53,0.54,279400,0.54
2013-07-15,0.56,0.57,0.56,0.57,998800,0.57
2013-07-12,0.58,0.58,0.56,0.57,4233500,0.57
2013-07-11,0.55,0.57,0.53,0.55,3557400,0.55
2013-07-10,0.50,0.50,0.47,0.47,663900,0.47
2013-07-09,0.51,0.51,0.49,0.50,1251800,0.50
2013-07-08,0.51,0.51,0.50,0.50,306200,0.50
2013-07-05,0.56,0.56,0.53,0.54,354600,0.54
2013-07-04,0.55,0.58,0.55,0.56,1263500,0.56
2013-07-03,0.55,0.55,0.51,0.52,1111900,0.52
2013-07-02,0.53,0.56,0.51,0.56,1744900,0.56
2013-07-01,0.54,0.54,0.47,0.49,2347600,0.49
2013-06-28,0.46,0.46,0.41,0.42,3384600,0.42
2013-06-27,0.46,0.49,0.45,0.46,1144900,0.46
2013-06-26,0.50,0.55,0.46,0.47,856700,0.47
2013-06-25,0.50,0.50,0.47,0.49,1876500,0.49
2013-06-24,0.59,0.59,0.51,0.55,2291800,0.55
2013-06-21,0.63,0.63,0.57,0.60,3445800,0.60
2013-06-20,0.69,0.69,0.63,0.63,1059700,0.63
2013-06-18,0.75,0.75,0.72,0.75,122200,0.75
2013-06-17,0.79,0.79,0.75,0.77,319000,0.77
2013-06-14,0.82,0.83,0.79,0.81,48600,0.81
2013-06-13,0.82,0.82,0.79,0.81,237100,0.81
2013-06-12,0.86,0.86,0.81,0.83,176000,0.83
2013-06-11,0.88,0.88,0.86,0.87,191100,0.87
2013-06-10,0.88,0.88,0.88,0.88,000,0.88
2013-06-07,0.89,0.89,0.86,0.88,480700,0.88
2013-06-06,0.88,0.88,0.86,0.86,533400,0.86
2013-06-05,0.90,0.90,0.87,0.89,343400,0.89
2013-06-04,0.90,0.92,0.90,0.92,794700,0.92
2013-06-03,0.92,0.92,0.90,0.92,362000,0.92
2013-05-31,0.93,0.93,0.90,0.92,1384900,0.92
2013-05-30,0.92,0.93,0.88,0.89,1018200,0.89
2013-05-29,0.87,0.88,0.85,0.88,486300,0.88
2013-05-28,0.90,0.90,0.88,0.88,17100,0.88
2013-05-27,0.89,0.90,0.88,0.90,34000,0.90
2013-05-24,0.88,0.90,0.88,0.90,23400,0.90
2013-05-23,0.86,0.87,0.86,0.87,46100,0.87
2013-05-22,0.92,0.92,0.89,0.89,166300,0.89
2013-05-21,0.90,0.92,0.90,0.91,4676300,0.91
2013-05-20,0.86,0.87,0.86,0.87,89200,0.87
2013-05-17,0.85,0.89,0.85,0.89,336400,0.89
2013-05-16,0.87,0.88,0.85,0.85,239600,0.85
2013-05-15,0.89,0.90,0.86,0.88,146900,0.88
2013-05-14,0.87,0.89,0.87,0.87,156100,0.87
2013-05-13,0.87,0.88,0.86,0.86,259600,0.86
2013-05-10,0.90,0.93,0.89,0.93,3318200,0.93
2013-05-09,0.90,0.94,0.90,0.93,301200,0.93
2013-05-08,0.90,0.90,0.85,0.90,313900,0.90
2013-05-07,0.94,0.94,0.94,0.94,500,0.94
2013-05-06,0.99,1.00,0.95,0.95,30700,0.95
2013-05-03,0.97,0.98,0.97,0.98,30100,0.98
2013-05-02,1.05,1.05,0.97,0.99,33700,0.99
2013-05-01,1.00,1.02,1.00,1.02,193600,1.02
2013-04-30,0.97,1.00,0.96,0.98,42800,0.98
2013-04-26,1.01,1.04,1.01,1.04,445100,1.04
2013-04-25,0.86,0.86,0.86,0.86,000,0.86
2013-04-24,0.85,0.87,0.85,0.86,210400,0.86
2013-04-23,0.87,0.88,0.85,0.88,60100,0.88
2013-04-22,0.89,0.89,0.86,0.88,91700,0.88
2013-04-19,0.85,0.87,0.82,0.85,1396400,0.85
2013-04-18,0.89,0.89,0.85,0.87,245900,0.87
2013-04-17,0.94,0.94,0.89,0.90,168100,0.90
2013-04-16,0.90,0.99,0.85,0.93,371000,0.93
2013-04-15,1.15,1.15,1.03,1.07,237200,1.07
2013-04-12,1.23,1.24,1.18,1.20,80300,1.20
2013-04-11,1.24,1.24,1.22,1.22,28200,1.22
2013-04-10,1.25,1.29,1.25,1.26,176600,1.26
2013-04-09,1.29,1.29,1.25,1.25,73800,1.25
2013-04-08,1.22,1.30,1.22,1.29,234600,1.29
2013-04-05,1.28,1.28,1.23,1.23,259900,1.23
2013-04-04,1.21,1.23,1.18,1.19,218200,1.19
2013-04-03,1.30,1.34,1.27,1.32,625300,1.32
2013-04-02,1.44,1.44,1.38,1.39,97400,1.39
2013-04-01,1.45,1.45,1.45,1.45,000,1.45
2013-03-29,1.45,1.45,1.45,1.45,000,1.45
2013-03-28,1.42,1.46,1.42,1.45,116900,1.45
2013-03-27,1.41,1.45,1.41,1.44,252000,1.44
2013-03-26,1.45,1.45,1.42,1.43,162700,1.43
2013-03-25,1.52,1.52,1.47,1.48,68100,1.48
2013-03-22,1.49,1.52,1.49,1.51,91600,1.51
2013-03-21,1.50,1.50,1.47,1.49,50900,1.49
2013-03-20,1.49,1.51,1.46,1.50,285700,1.50
2013-03-19,1.47,1.55,1.47,1.55,159200,1.55
2013-03-18,1.49,1.51,1.46,1.49,226300,1.49
2013-03-15,1.51,1.51,1.46,1.49,260700,1.49
2013-03-14,1.49,1.55,1.47,1.50,147600,1.50
2013-03-13,1.51,1.54,1.45,1.49,389600,1.49
2013-03-12,1.51,1.52,1.49,1.51,174200,1.51
2013-03-08,1.57,1.58,1.51,1.56,984700,1.56
2013-03-07,1.50,1.60,1.50,1.57,2440300,1.57
2013-03-06,1.38,1.50,1.38,1.47,393400,1.47
2013-03-05,1.41,1.41,1.34,1.38,2374000,1.38
2013-03-04,1.50,1.55,1.50,1.50,759800,1.50
2013-03-01,1.55,1.56,1.47,1.50,1602200,1.50
2013-02-28,1.65,1.65,1.62,1.64,581900,1.64
2013-02-27,1.72,1.73,1.67,1.70,482000,1.70
2013-02-26,1.72,1.72,1.68,1.72,19800,1.72
2013-02-25,1.75,1.75,1.71,1.72,100000,1.72
2013-02-22,1.71,1.81,1.71,1.78,299100,1.78
2013-02-21,1.78,1.78,1.68,1.74,121400,1.74
2013-02-20,1.79,1.86,1.79,1.84,115500,1.84
2013-02-19,1.88,1.89,1.80,1.81,68200,1.81
2013-02-18,1.90,1.91,1.84,1.86,1423300,1.86
2013-02-15,1.97,1.97,1.91,1.93,408000,1.93
2013-02-14,1.96,1.97,1.96,1.96,45900,1.96
2013-02-13,1.98,2.00,1.96,2.00,96300,2.00
2013-02-12,1.97,2.00,1.95,1.97,501000,1.97
2013-02-11,2.03,2.09,2.00,2.00,42600,2.00
2013-02-08,1.99,2.04,1.98,2.03,220500,2.03
2013-02-07,1.99,2.00,1.97,1.99,137500,1.99
2013-02-06,1.96,2.00,1.95,2.00,504700,2.00
2013-02-05,1.98,1.98,1.91,1.97,154800,1.97
2013-02-04,2.05,2.07,1.98,2.01,125000,2.01
2013-02-01,2.05,2.05,1.96,2.05,334800,2.05
2013-01-31,2.09,2.11,2.06,2.06,336600,2.06
2013-01-30,2.10,2.13,2.09,2.09,103900,2.09
2013-01-29,2.11,2.12,2.06,2.07,817400,2.07
2013-01-28,2.22,2.22,2.22,2.22,000,2.22
2013-01-25,2.19,2.22,2.18,2.22,2087500,2.22
2013-01-24,2.20,2.25,2.18,2.20,338600,2.20
2013-01-23,2.13,2.18,2.09,2.14,172900,2.14
2013-01-22,2.01,2.12,1.99,2.00,278100,2.00
2013-01-21,1.99,2.02,1.99,1.99,48700,1.99
2013-01-18,1.98,1.98,1.95,1.96,123900,1.96
2013-01-17,1.98,1.99,1.98,1.98,210900,1.98
2013-01-16,1.99,2.02,1.99,2.00,76000,2.00
2013-01-15,2.00,2.02,1.97,1.98,1180500,1.98
2013-01-14,2.00,2.10,1.99,2.06,59200,2.06
2013-01-11,1.98,2.03,1.95,2.00,176600,2.00
2013-01-10,1.95,2.00,1.95,1.98,67700,1.98
2013-01-09,2.00,2.03,1.99,2.00,209300,2.00
2013-01-08,2.00,2.00,1.96,2.00,163200,2.00
2013-01-07,2.00,2.03,2.00,2.03,28200,2.03
2013-01-04,1.99,2.03,1.99,2.00,143400,2.00
2013-01-03,2.12,2.12,2.05,2.08,146500,2.08
2013-01-02,2.02,2.13,2.02,2.05,51900,2.05
2013-01-01,2.01,2.01,2.01,2.01,000,2.01
2012-12-31,2.01,2.01,2.01,2.01,500,2.01
2012-12-28,2.00,2.03,1.96,2.01,11100,2.01
2012-12-27,1.93,2.00,1.93,2.00,16300,2.00
2012-12-26,1.98,1.98,1.98,1.98,000,1.98
2012-12-25,1.98,1.98,1.98,1.98,000,1.98
2012-12-24,1.95,1.98,1.95,1.98,42300,1.98
2012-12-21,1.99,1.99,1.93,1.94,252700,1.94
2012-12-20,2.01,2.05,2.01,2.05,253800,2.05
2012-12-19,2.04,2.05,2.04,2.04,177900,2.04
2012-12-18,2.00,2.05,2.00,2.05,785300,2.05
2012-12-17,2.00,2.03,2.00,2.02,109300,2.02
2012-12-14,1.96,1.99,1.96,1.99,66400,1.99
2012-12-13,1.99,2.00,1.96,1.99,352800,1.99
2012-12-12,2.00,2.02,2.00,2.02,336500,2.02
