Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.47,0.49,0.46,0.49,2423300,0.49
2013-09-19,0.46,0.47,0.46,0.46,1544900,0.46
2013-09-18,0.46,0.47,0.46,0.47,1315000,0.47
2013-09-17,0.45,0.47,0.44,0.45,815400,0.45
2013-09-16,0.44,0.46,0.44,0.45,1362900,0.45
2013-09-13,0.44,0.45,0.43,0.43,1490900,0.43
2013-09-12,0.47,0.48,0.45,0.45,1860000,0.45
2013-09-11,0.44,0.47,0.44,0.47,1266700,0.47
2013-09-10,0.42,0.45,0.42,0.44,992800,0.44
2013-09-09,0.43,0.44,0.41,0.42,1631100,0.42
2013-09-06,0.43,0.45,0.43,0.43,1399900,0.43
2013-09-05,0.44,0.46,0.43,0.43,1178600,0.43
2013-09-04,0.44,0.45,0.43,0.44,1539700,0.44
2013-09-03,0.43,0.47,0.43,0.45,1789900,0.45
2013-09-02,0.44,0.46,0.42,0.43,1785700,0.43
2013-08-30,0.44,0.46,0.44,0.44,1199800,0.44
2013-08-29,0.44,0.46,0.44,0.44,1291900,0.44
2013-08-28,0.47,0.47,0.45,0.46,1573100,0.46
2013-08-27,0.47,0.48,0.47,0.47,506000,0.47
2013-08-26,0.50,0.50,0.47,0.49,1719900,0.49
2013-08-23,0.50,0.50,0.48,0.50,1440000,0.50
2013-08-22,0.48,0.50,0.47,0.50,1586000,0.50
2013-08-21,0.49,0.51,0.47,0.50,1266900,0.50
2013-08-20,0.50,0.51,0.47,0.49,4405900,0.49
2013-08-19,0.54,0.55,0.52,0.53,1433800,0.53
2013-08-16,0.59,0.59,0.53,0.54,3977400,0.54
2013-08-15,0.59,0.60,0.58,0.58,1199000,0.58
2013-08-14,0.60,0.61,0.58,0.60,2551000,0.60
2013-08-13,0.57,0.61,0.56,0.61,2453500,0.61
2013-08-12,0.56,0.60,0.55,0.60,1882700,0.60
2013-08-09,0.57,0.59,0.55,0.56,2180800,0.56
2013-08-08,0.60,0.61,0.57,0.58,2310000,0.58
2013-08-07,0.61,0.62,0.60,0.61,1651600,0.61
2013-08-06,0.62,0.63,0.60,0.62,749300,0.62
2013-08-05,0.62,0.62,0.61,0.62,1546000,0.62
2013-08-02,0.61,0.63,0.61,0.61,1545700,0.61
2013-08-01,0.61,0.64,0.60,0.61,1147100,0.61
2013-07-31,0.64,0.65,0.59,0.60,2654700,0.60
2013-07-30,0.65,0.67,0.61,0.63,3067400,0.63
2013-07-29,0.58,0.65,0.58,0.65,3099700,0.65
2013-07-26,0.58,0.58,0.56,0.57,1508100,0.57
2013-07-25,0.61,0.61,0.57,0.58,2019000,0.58
2013-07-24,0.57,0.62,0.56,0.62,1931900,0.62
2013-07-23,0.56,0.60,0.52,0.55,3918100,0.55
2013-07-22,0.52,0.57,0.52,0.56,2285200,0.56
2013-07-19,0.47,0.50,0.47,0.50,1891600,0.50
2013-07-18,0.48,0.48,0.46,0.47,673000,0.47
2013-07-17,0.45,0.47,0.45,0.47,425000,0.47
2013-07-16,0.47,0.48,0.46,0.46,1607800,0.46
2013-07-15,0.46,0.47,0.45,0.46,1130600,0.46
2013-07-12,0.47,0.47,0.46,0.46,773000,0.46
2013-07-11,0.45,0.47,0.44,0.46,1056600,0.46
2013-07-10,0.43,0.45,0.42,0.45,1516900,0.45
2013-07-09,0.43,0.43,0.41,0.43,459500,0.43
2013-07-08,0.39,0.43,0.39,0.41,785500,0.41
2013-07-05,0.41,0.42,0.40,0.41,769000,0.41
2013-07-04,0.41,0.41,0.40,0.41,190900,0.41
2013-07-03,0.41,0.41,0.39,0.40,1061000,0.40
2013-07-02,0.38,0.41,0.38,0.41,973400,0.41
2013-07-01,0.38,0.39,0.38,0.38,2372700,0.38
2013-06-28,0.40,0.41,0.38,0.39,1452000,0.39
2013-06-27,0.41,0.43,0.40,0.41,737500,0.41
2013-06-26,0.39,0.41,0.39,0.41,588500,0.41
2013-06-25,0.40,0.41,0.39,0.41,1689300,0.41
2013-06-24,0.41,0.41,0.39,0.39,1161800,0.39
2013-06-21,0.44,0.44,0.41,0.42,10943400,0.42
2013-06-20,0.44,0.46,0.43,0.44,1791100,0.44
2013-06-19,0.44,0.46,0.43,0.44,3677300,0.44
2013-06-18,0.42,0.44,0.41,0.43,1611600,0.43
2013-06-17,0.41,0.43,0.41,0.42,1098800,0.42
2013-06-14,0.40,0.44,0.40,0.43,493300,0.43
2013-06-13,0.44,0.44,0.41,0.42,3209700,0.42
2013-06-12,0.42,0.44,0.42,0.44,1605200,0.44
2013-06-11,0.43,0.44,0.43,0.44,2412100,0.44
2013-06-10,0.43,0.43,0.43,0.43,000,0.43
2013-06-07,0.41,0.48,0.41,0.43,2861300,0.43
2013-06-06,0.41,0.41,0.38,0.40,3347100,0.40
2013-06-05,0.41,0.44,0.41,0.43,2837200,0.43
2013-06-04,0.42,0.45,0.37,0.44,2648600,0.44
2013-06-03,0.40,0.43,0.39,0.42,1449100,0.42
2013-05-31,0.38,0.40,0.38,0.39,4728100,0.39
2013-05-30,0.35,0.40,0.35,0.38,2516400,0.38
2013-05-29,0.38,0.40,0.37,0.38,4573200,0.38
2013-05-28,0.42,0.43,0.40,0.40,1550400,0.40
2013-05-27,0.43,0.44,0.42,0.43,1165700,0.43
2013-05-24,0.46,0.46,0.43,0.44,2398300,0.44
2013-05-23,0.46,0.46,0.44,0.45,2648300,0.45
2013-05-22,0.46,0.47,0.45,0.46,842200,0.46
2013-05-21,0.46,0.46,0.44,0.45,1449500,0.45
2013-05-20,0.44,0.50,0.44,0.44,5519800,0.44
2013-05-17,0.40,0.42,0.39,0.41,1336900,0.41
