Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.12,0.12,0.12,0.12,18500,0.12
2013-09-19,0.12,0.12,0.12,0.12,78000,0.12
2013-09-18,0.12,0.12,0.11,0.11,12600,0.11
2013-09-17,0.11,0.11,0.11,0.11,100000,0.11
2013-09-16,0.11,0.11,0.11,0.11,100000,0.11
2013-09-13,0.12,0.12,0.12,0.12,000,0.12
2013-09-12,0.12,0.12,0.12,0.12,59700,0.12
2013-09-11,0.12,0.12,0.12,0.12,8000,0.12
2013-09-10,0.12,0.12,0.12,0.12,000,0.12
2013-09-09,0.12,0.12,0.12,0.12,97000,0.12
2013-09-06,0.11,0.12,0.10,0.11,459000,0.11
2013-09-05,0.12,0.12,0.11,0.12,147900,0.12
2013-09-04,0.13,0.13,0.12,0.12,536800,0.12
2013-09-03,0.12,0.13,0.12,0.12,1514900,0.12
2013-09-02,0.12,0.12,0.12,0.12,000,0.12
2013-08-30,0.12,0.12,0.12,0.12,180000,0.12
2013-08-29,0.12,0.12,0.12,0.12,000,0.12
2013-08-28,0.12,0.12,0.12,0.12,431800,0.12
2013-08-27,0.12,0.12,0.12,0.12,148400,0.12
2013-08-26,0.12,0.14,0.12,0.12,657300,0.12
2013-08-23,0.10,0.12,0.10,0.12,346500,0.12
2013-08-22,0.10,0.10,0.10,0.10,18400,0.10
2013-08-21,0.10,0.10,0.10,0.10,212600,0.10
2013-08-20,0.11,0.11,0.11,0.11,10000,0.11
2013-08-19,0.10,0.10,0.10,0.10,000,0.10
2013-08-16,0.12,0.12,0.10,0.10,245300,0.10
2013-08-15,0.10,0.12,0.10,0.12,125000,0.12
2013-08-14,0.10,0.10,0.10,0.10,000,0.10
2013-08-13,0.09,0.10,0.09,0.10,275100,0.10
2013-08-12,0.09,0.09,0.09,0.09,100000,0.09
2013-08-09,0.09,0.09,0.09,0.09,80000,0.09
2013-08-08,0.09,0.09,0.09,0.09,309300,0.09
2013-08-07,0.10,0.10,0.09,0.09,637500,0.09
2013-08-06,0.11,0.11,0.10,0.11,237700,0.11
2013-08-05,0.12,0.12,0.12,0.12,92400,0.12
2013-08-02,0.10,0.10,0.10,0.10,300,0.10
2013-08-01,0.10,0.10,0.10,0.10,100000,0.10
2013-07-31,0.12,0.12,0.10,0.10,1157600,0.10
2013-07-30,0.11,0.12,0.11,0.12,56000,0.12
2013-07-29,0.12,0.12,0.12,0.12,000,0.12
2013-07-26,0.12,0.12,0.12,0.12,10000,0.12
2013-07-25,0.12,0.12,0.12,0.12,000,0.12
2013-07-24,0.12,0.12,0.11,0.12,136600,0.12
2013-07-23,0.11,0.12,0.10,0.12,200000,0.12
2013-07-22,0.10,0.11,0.10,0.11,60000,0.11
2013-07-19,0.10,0.10,0.10,0.10,60000,0.10
2013-07-18,0.09,0.10,0.08,0.10,261900,0.10
2013-07-17,0.10,0.10,0.08,0.08,12000,0.08
2013-07-16,0.10,0.10,0.10,0.10,000,0.10
2013-07-15,0.10,0.10,0.10,0.10,5000,0.10
2013-07-12,0.10,0.10,0.09,0.09,95000,0.09
2013-07-11,0.09,0.09,0.09,0.09,60000,0.09
2013-07-10,0.09,0.09,0.09,0.09,000,0.09
2013-07-09,0.09,0.09,0.09,0.09,197000,0.09
2013-07-08,0.09,0.09,0.09,0.09,48200,0.09
2013-07-05,0.09,0.09,0.09,0.09,47800,0.09
2013-07-04,0.10,0.10,0.10,0.10,255700,0.10
2013-07-03,0.10,0.10,0.09,0.09,57000,0.09
2013-07-02,0.09,0.09,0.09,0.09,50000,0.09
2013-07-01,0.09,0.09,0.09,0.09,000,0.09
2013-06-28,0.08,0.09,0.08,0.09,38000,0.09
2013-06-27,0.08,0.08,0.08,0.08,495000,0.08
2013-06-26,0.09,0.09,0.09,0.09,80000,0.09
2013-06-25,0.09,0.09,0.09,0.09,150000,0.09
2013-06-24,0.10,0.10,0.10,0.10,000,0.10
2013-06-21,0.10,0.10,0.10,0.10,52300,0.10
2013-06-20,0.10,0.10,0.10,0.10,000,0.10
2013-06-19,0.10,0.10,0.10,0.10,45700,0.10
2013-06-18,0.12,0.12,0.10,0.10,49300,0.10
2013-06-17,0.12,0.12,0.12,0.12,000,0.12
2013-06-14,0.12,0.12,0.12,0.12,4000,0.12
2013-06-13,0.12,0.12,0.12,0.12,44900,0.12
2013-06-12,0.12,0.12,0.12,0.12,65000,0.12
2013-06-11,0.12,0.12,0.12,0.12,110000,0.12
2013-06-10,0.12,0.12,0.12,0.12,000,0.12
2013-06-07,0.12,0.12,0.12,0.12,87100,0.12
2013-06-06,0.12,0.12,0.10,0.10,625600,0.10
2013-06-05,0.12,0.12,0.12,0.12,52000,0.12
2013-06-04,0.12,0.12,0.12,0.12,150400,0.12
2013-06-03,0.12,0.12,0.12,0.12,35000,0.12
2013-05-31,0.12,0.12,0.12,0.12,000,0.12
2013-05-30,0.12,0.12,0.12,0.12,8400,0.12
2013-05-29,0.12,0.12,0.12,0.12,85700,0.12
2013-05-28,0.12,0.13,0.12,0.12,311600,0.12
2013-05-27,0.11,0.11,0.11,0.11,000,0.11
2013-05-24,0.11,0.11,0.11,0.11,22000,0.11
2013-05-23,0.10,0.12,0.10,0.12,1272900,0.12
2013-05-22,0.11,0.11,0.09,0.09,1482300,0.09
2013-05-21,0.12,0.12,0.11,0.11,349200,0.11
2013-05-20,0.13,0.13,0.12,0.12,1679200,0.12
2013-05-17,0.14,0.14,0.13,0.13,256200,0.13
2013-05-16,0.14,0.14,0.14,0.14,50000,0.14
2013-05-15,0.13,0.14,0.13,0.14,950000,0.14
2013-05-14,0.14,0.14,0.14,0.14,30000,0.14
2013-05-13,0.15,0.15,0.15,0.15,15000,0.15
2013-05-10,0.15,0.16,0.14,0.16,63400,0.16
2013-05-09,0.14,0.15,0.14,0.15,367000,0.15
2013-05-08,0.14,0.14,0.14,0.14,113000,0.14
2013-05-07,0.14,0.14,0.14,0.14,000,0.14
2013-05-06,0.14,0.14,0.14,0.14,000,0.14
2013-05-03,0.14,0.14,0.14,0.14,9700,0.14
2013-05-02,0.14,0.15,0.14,0.15,30900,0.15
2013-05-01,0.14,0.14,0.14,0.14,55000,0.14
2013-04-30,0.14,0.14,0.14,0.14,70500,0.14
2013-04-29,0.14,0.14,0.14,0.14,288300,0.14
2013-04-26,0.14,0.14,0.14,0.14,38500,0.14
2013-04-25,0.13,0.13,0.13,0.13,000,0.13
2013-04-24,0.13,0.14,0.13,0.13,588300,0.13
2013-04-23,0.14,0.14,0.13,0.14,276000,0.14
2013-04-22,0.15,0.15,0.15,0.15,30000,0.15
2013-04-19,0.15,0.15,0.15,0.15,152800,0.15
2013-04-18,0.16,0.16,0.15,0.15,243400,0.15
2013-04-17,0.15,0.16,0.15,0.16,200700,0.16
2013-04-16,0.15,0.16,0.14,0.15,1789900,0.15
2013-04-15,0.16,0.16,0.16,0.16,180000,0.16
2013-04-12,0.17,0.17,0.16,0.17,152900,0.17
2013-04-11,0.17,0.17,0.16,0.16,142100,0.16
2013-04-10,0.17,0.17,0.17,0.17,20000,0.17
2013-04-09,0.17,0.17,0.17,0.17,113000,0.17
2013-04-08,0.17,0.18,0.17,0.18,78200,0.18
2013-04-05,0.17,0.17,0.17,0.17,150400,0.17
2013-04-04,0.17,0.17,0.17,0.17,179100,0.17
2013-04-03,0.18,0.18,0.17,0.17,520000,0.17
2013-04-02,0.19,0.19,0.18,0.18,15500,0.18
2013-04-01,0.19,0.19,0.19,0.19,000,0.19
2013-03-29,0.19,0.19,0.19,0.19,000,0.19
2013-03-28,0.19,0.19,0.19,0.19,000,0.19
2013-03-27,0.19,0.19,0.19,0.19,170000,0.19
