Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.02,0.02,0.02,0.02,5716200,0.02
2013-09-19,0.02,0.03,0.02,0.02,7610300,0.02
2013-09-18,0.03,0.03,0.02,0.02,13933100,0.02
2013-09-17,0.03,0.03,0.03,0.03,6481100,0.03
2013-09-16,0.03,0.03,0.03,0.03,4552300,0.03
2013-09-13,0.03,0.03,0.03,0.03,2409700,0.03
2013-09-12,0.03,0.03,0.03,0.03,6688400,0.03
2013-09-11,0.03,0.03,0.03,0.03,6975800,0.03
2013-09-10,0.03,0.03,0.03,0.03,10533900,0.03
2013-09-09,0.03,0.03,0.03,0.03,20691200,0.03
2013-09-06,0.03,0.03,0.03,0.03,10211400,0.03
2013-09-05,0.03,0.03,0.03,0.03,8222400,0.03
2013-09-04,0.03,0.03,0.03,0.03,21684700,0.03
2013-09-03,0.03,0.03,0.03,0.03,38060000,0.03
2013-09-02,0.03,0.03,0.03,0.03,22400000,0.03
2013-08-30,0.03,0.03,0.03,0.03,29034500,0.03
2013-08-29,0.03,0.04,0.03,0.03,64204100,0.03
2013-08-28,0.04,0.04,0.03,0.03,38288000,0.03
2013-08-27,0.05,0.05,0.04,0.04,12641600,0.04
2013-08-26,0.05,0.05,0.05,0.05,32042400,0.05
2013-08-23,0.04,0.05,0.04,0.05,52106300,0.05
2013-08-22,0.04,0.04,0.03,0.04,29458500,0.04
2013-08-21,0.04,0.05,0.04,0.04,39705100,0.04
2013-08-20,0.05,0.08,0.04,0.04,133392100,0.04
2013-08-19,0.04,0.05,0.03,0.05,56984700,0.05
2013-08-16,0.02,0.03,0.02,0.03,35986800,0.03
2013-08-15,0.02,0.02,0.02,0.02,5351500,0.02
2013-08-14,0.02,0.02,0.02,0.02,3538000,0.02
2013-08-13,0.02,0.02,0.02,0.02,3441300,0.02
2013-08-12,0.02,0.02,0.02,0.02,9447300,0.02
2013-08-09,0.02,0.02,0.02,0.02,59360700,0.02
2013-08-08,0.02,0.02,0.02,0.02,000,0.02
2013-08-07,0.02,0.02,0.02,0.02,000,0.02
2013-08-06,0.02,0.02,0.02,0.02,000,0.02
2013-08-05,0.01,0.02,0.01,0.02,14267100,0.02
2013-08-02,0.01,0.01,0.01,0.01,6319300,0.01
2013-08-01,0.01,0.01,0.01,0.01,5120900,0.01
2013-07-31,0.01,0.01,0.01,0.01,3180000,0.01
2013-07-30,0.01,0.01,0.01,0.01,2810200,0.01
2013-07-29,0.01,0.01,0.01,0.01,846400,0.01
2013-07-26,0.01,0.01,0.01,0.01,3615000,0.01
2013-07-25,0.01,0.01,0.01,0.01,3682900,0.01
2013-07-24,0.01,0.01,0.01,0.01,3751900,0.01
2013-07-23,0.01,0.01,0.01,0.01,3655900,0.01
2013-07-22,0.01,0.02,0.01,0.01,4815400,0.01
2013-07-19,0.01,0.01,0.01,0.01,4499800,0.01
2013-07-18,0.01,0.01,0.01,0.01,327400,0.01
2013-07-17,0.01,0.01,0.01,0.01,841900,0.01
2013-07-16,0.01,0.01,0.01,0.01,552700,0.01
2013-07-15,0.01,0.01,0.01,0.01,795500,0.01
2013-07-12,0.01,0.01,0.01,0.01,2418500,0.01
2013-07-11,0.01,0.01,0.01,0.01,2004500,0.01
2013-07-10,0.01,0.01,0.01,0.01,856900,0.01
2013-07-09,0.01,0.01,0.01,0.01,1524800,0.01
2013-07-08,0.01,0.01,0.01,0.01,2987500,0.01
2013-07-05,0.01,0.01,0.01,0.01,3080000,0.01
2013-07-04,0.01,0.01,0.01,0.01,766600,0.01
2013-07-03,0.01,0.01,0.01,0.01,3175100,0.01
2013-07-02,0.01,0.01,0.01,0.01,2100000,0.01
2013-07-01,0.01,0.01,0.01,0.01,2387600,0.01
2013-06-28,0.01,0.01,0.01,0.01,3780600,0.01
2013-06-27,0.01,0.01,0.01,0.01,4531200,0.01
2013-06-26,0.01,0.01,0.01,0.01,695000,0.01
2013-06-25,0.01,0.01,0.01,0.01,778100,0.01
2013-06-24,0.01,0.01,0.01,0.01,2218200,0.01
2013-06-21,0.01,0.01,0.01,0.01,1797500,0.01
2013-06-20,0.01,0.01,0.01,0.01,5175000,0.01
2013-06-19,0.01,0.01,0.01,0.01,2381800,0.01
2013-06-18,0.01,0.01,0.01,0.01,7103800,0.01
2013-06-17,0.01,0.01,0.01,0.01,6226900,0.01
2013-06-14,0.01,0.01,0.01,0.01,7284300,0.01
2013-06-13,0.01,0.01,0.01,0.01,5606300,0.01
2013-06-12,0.01,0.01,0.01,0.01,3675000,0.01
2013-06-11,0.01,0.01,0.01,0.01,14926200,0.01
2013-06-10,0.01,0.01,0.01,0.01,000,0.01
2013-06-07,0.02,0.02,0.01,0.01,27802100,0.01
2013-06-06,0.02,0.02,0.02,0.02,26732100,0.02
2013-06-05,0.02,0.02,0.01,0.02,80097500,0.02
2013-06-04,0.01,0.01,0.01,0.01,000,0.01
2013-06-03,0.01,0.01,0.01,0.01,000,0.01
2013-05-31,0.01,0.01,0.01,0.01,10990500,0.01
2013-05-30,0.01,0.01,0.01,0.01,1089700,0.01
2013-05-29,0.01,0.01,0.01,0.01,1380400,0.01
2013-05-28,0.01,0.01,0.01,0.01,1316100,0.01
2013-05-27,0.01,0.01,0.01,0.01,1677100,0.01
2013-05-24,0.01,0.01,0.01,0.01,1020000,0.01
2013-05-23,0.01,0.01,0.01,0.01,1500000,0.01
2013-05-22,0.01,0.01,0.01,0.01,1624600,0.01
2013-05-21,0.01,0.01,0.01,0.01,1460000,0.01
2013-05-20,0.01,0.01,0.01,0.01,5628500,0.01
2013-05-17,0.01,0.01,0.01,0.01,2025000,0.01
2013-05-16,0.01,0.01,0.01,0.01,1800000,0.01
2013-05-15,0.01,0.01,0.01,0.01,5659300,0.01
2013-05-14,0.01,0.01,0.01,0.01,2672200,0.01
2013-05-13,0.01,0.01,0.01,0.01,1121400,0.01
2013-05-10,0.01,0.01,0.01,0.01,63000,0.01
2013-05-09,0.01,0.01,0.01,0.01,200000,0.01
2013-05-08,0.01,0.01,0.01,0.01,19000,0.01
2013-05-07,0.01,0.01,0.01,0.01,4814000,0.01
2013-05-06,0.01,0.01,0.01,0.01,100000,0.01
2013-05-03,0.01,0.01,0.01,0.01,290000,0.01
2013-05-02,0.01,0.01,0.01,0.01,30000,0.01
2013-05-01,0.01,0.01,0.01,0.01,1973900,0.01
2013-04-30,0.01,0.01,0.01,0.01,757100,0.01
2013-04-29,0.01,0.01,0.01,0.01,1451500,0.01
2013-04-26,0.01,0.01,0.01,0.01,150000,0.01
2013-04-25,0.01,0.01,0.01,0.01,000,0.01
2013-04-24,0.01,0.01,0.01,0.01,5633700,0.01
2013-04-23,0.01,0.01,0.01,0.01,30000,0.01
2013-04-22,0.01,0.01,0.01,0.01,4195000,0.01
2013-04-19,0.01,0.01,0.01,0.01,1067800,0.01
2013-04-18,0.01,0.01,0.01,0.01,739200,0.01
2013-04-17,0.01,0.01,0.01,0.01,1783000,0.01
2013-04-16,0.01,0.01,0.01,0.01,8467300,0.01
2013-04-15,0.01,0.01,0.01,0.01,6325100,0.01
2013-04-12,0.01,0.01,0.01,0.01,1009000,0.01
2013-04-11,0.01,0.01,0.00,0.01,1350000,0.01
2013-04-10,0.01,0.01,0.01,0.01,4217100,0.01
2013-04-09,0.01,0.01,0.01,0.01,2688500,0.01
2013-04-08,0.01,0.01,0.01,0.01,3155000,0.01
2013-04-05,0.01,0.01,0.00,0.00,14849100,0.00
2013-04-04,0.01,0.01,0.01,0.01,1725000,0.01
2013-04-03,0.01,0.01,0.01,0.01,1870200,0.01
2013-04-02,0.01,0.01,0.01,0.01,1384500,0.01
2013-04-01,0.01,0.01,0.01,0.01,000,0.01
2013-03-29,0.01,0.01,0.01,0.01,000,0.01
2013-03-28,0.01,0.01,0.01,0.01,421000,0.01
2013-03-27,0.01,0.01,0.01,0.01,000,0.01
2013-03-26,0.01,0.01,0.01,0.01,1241600,0.01
2013-03-25,0.01,0.01,0.01,0.01,624500,0.01
2013-03-22,0.01,0.01,0.01,0.01,2733300,0.01
2013-03-21,0.01,0.01,0.01,0.01,1687600,0.01
2013-03-20,0.01,0.01,0.01,0.01,000,0.01
2013-03-19,0.01,0.01,0.01,0.01,000,0.01
2013-03-18,0.01,0.01,0.01,0.01,000,0.01
2013-03-15,0.01,0.01,0.01,0.01,78600,0.01
2013-03-14,0.01,0.01,0.01,0.01,600000,0.01
2013-03-13,0.01,0.01,0.01,0.01,110000,0.01
2013-03-12,0.01,0.01,0.01,0.01,2271000,0.01
2013-03-11,0.01,0.01,0.01,0.01,1640500,0.01
2013-03-08,0.01,0.01,0.01,0.01,3430400,0.01
2013-03-07,0.01,0.01,0.01,0.01,900000,0.01
2013-03-06,0.01,0.01,0.01,0.01,1890000,0.01
2013-03-05,0.01,0.01,0.01,0.01,000,0.01
2013-03-04,0.01,0.01,0.01,0.01,7544700,0.01
2013-03-01,0.01,0.01,0.01,0.01,285000,0.01
2013-02-28,0.01,0.01,0.01,0.01,13196000,0.01
2013-02-27,0.01,0.01,0.01,0.01,847200,0.01
2013-02-26,0.01,0.01,0.01,0.01,10755000,0.01
2013-02-25,0.01,0.01,0.01,0.01,877300,0.01
2013-02-22,0.01,0.01,0.01,0.01,3406000,0.01
2013-02-21,0.01,0.01,0.01,0.01,1000000,0.01
