Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,6.57,6.60,6.57,6.60,3800,6.52
2013-09-19,6.60,6.60,6.57,6.57,10600,6.49
2013-09-18,6.59,6.59,6.59,6.59,000,6.51
2013-09-17,6.59,6.59,6.51,6.59,600,6.51
2013-09-16,6.60,6.60,6.60,6.60,1200,6.52
2013-09-13,6.51,6.60,6.50,6.55,13400,6.47
2013-09-12,6.56,6.56,6.50,6.51,8800,6.43
2013-09-11,6.59,6.59,6.51,6.51,3000,6.43
2013-09-10,6.50,6.60,6.50,6.59,52600,6.51
2013-09-09,6.50,6.50,6.49,6.50,4600,6.42
2013-09-06,6.50,6.50,6.50,6.50,16200,6.42
2013-09-05,6.50,6.55,6.50,6.50,12700,6.42
2013-09-04,6.50,6.55,6.48,6.50,7000,6.42
2013-09-03,6.51,6.51,6.50,6.50,35900,6.42
2013-09-02,6.51,6.55,6.48,6.50,16300,6.42
2013-08-30,6.51,6.53,6.48,6.50,11300,6.42
2013-08-29,6.51,6.60,6.50,6.58,8900,6.50
2013-08-28,6.55,6.55,6.51,6.52,5800,6.44
2013-08-27,6.51,6.51,6.51,6.51,1200,6.43
2013-08-26,6.59,6.59,6.50,6.59,6900,6.51
2013-08-23,6.50,6.60,6.49,6.60,11000,6.52
2013-08-22,6.50,6.60,6.49,6.49,24400,6.41
2013-08-21,6.42,6.50,6.42,6.50,5900,6.42
2013-08-20,6.51,6.51,6.41,6.41,6900,6.33
2013-08-19,6.40,6.50,6.40,6.50,22000,6.42
2013-08-16,6.58,6.58,6.40,6.41,41700,6.33
2013-08-15,6.49,6.55,6.49,6.55,5100,6.47
2013-08-14,6.50,6.58,6.50,6.50,7300,6.42
2013-08-13,6.50,6.50,6.48,6.50,8300,6.42
2013-08-12,6.50,6.55,6.48,6.48,7600,6.40
2013-08-09,6.50,6.50,6.45,6.47,27800,6.39
2013-08-08,6.55,6.58,6.45,6.45,113800,6.37
2013-08-07,6.54,6.56,6.54,6.55,10400,6.47
2013-08-06,6.59,6.59,6.54,6.54,6300,6.46
2013-08-05,6.59,6.60,6.59,6.59,16100,6.51
2013-08-02,6.51,6.58,6.51,6.58,4600,6.50
2013-08-01,6.58,6.59,6.51,6.51,12700,6.43
2013-07-31,6.59,6.59,6.59,6.59,100,6.51
2013-07-30,6.59,6.59,6.52,6.52,1000,6.44
2013-07-29,6.59,6.59,6.55,6.59,5600,6.51
2013-07-26,6.56,6.59,6.56,6.56,2800,6.48
2013-07-25,6.59,6.59,6.59,6.59,1500,6.51
2013-07-24,6.59,6.59,6.59,6.59,4300,6.51
2013-07-23,6.59,6.59,6.59,6.59,3100,6.51
2013-07-22,6.59,6.59,6.51,6.59,5100,6.51
2013-07-19,6.60,6.60,6.60,6.60,2800,6.52
2013-07-18,6.60,6.60,6.60,6.60,1700,6.52
2013-07-17,6.55,6.60,6.55,6.60,4600,6.52
2013-07-16,6.50,6.55,6.50,6.55,10200,6.47
2013-07-15,6.50,6.55,6.47,6.47,18000,6.39
2013-07-12,6.50,6.50,6.50,6.50,14500,6.42
2013-07-11,6.55,6.55,6.50,6.50,9700,6.42
2013-07-10,6.52,6.60,6.50,6.54,61400,6.46
2013-07-09,6.60,6.60,6.60,6.60,2900,6.52
2013-07-08,6.60,6.79,6.58,6.60,18900,6.52
2013-07-05,6.60,6.60,6.55,6.60,21200,6.52
2013-07-04,6.55,6.55,6.50,6.55,16500,6.47
2013-07-03,6.40,6.65,6.40,6.55,43200,6.47
2013-07-02,6.50,6.60,6.25,6.39,181400,6.31
2013-07-01,5.99,6.00,5.99,6.00,9300,5.93
2013-06-28,5.98,6.00,5.93,5.93,19900,5.86
2013-06-27,5.89,5.98,5.81,5.93,6000,5.86
2013-06-26,5.80,5.80,5.80,5.80,000,5.73
2013-06-25,5.85,5.89,5.80,5.80,5600,5.73
2013-06-24,5.83,5.83,5.82,5.82,1800,5.75
2013-06-21,5.85,5.97,5.82,5.82,6600,5.75
2013-06-20,5.92,5.92,5.82,5.82,4800,5.75
2013-06-19,5.96,5.96,5.96,5.96,000,5.89
2013-06-18,5.92,5.96,5.92,5.96,2000,5.89
2013-06-17,5.96,5.96,5.91,5.96,6200,5.89
