Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.09,0.09,0.09,0.09,58000,0.09
2013-09-19,0.09,0.09,0.09,0.09,180000,0.09
2013-09-18,0.09,0.09,0.09,0.09,51800,0.09
2013-09-17,0.09,0.09,0.09,0.09,000,0.09
2013-09-16,0.09,0.09,0.09,0.09,129500,0.09
2013-09-13,0.09,0.09,0.09,0.09,000,0.09
2013-09-12,0.09,0.09,0.09,0.09,21900,0.09
2013-09-11,0.09,0.09,0.09,0.09,3800,0.09
2013-09-10,0.09,0.09,0.09,0.09,000,0.09
2013-09-09,0.09,0.09,0.09,0.09,28500,0.09
2013-09-06,0.09,0.09,0.09,0.09,10000,0.09
2013-09-05,0.09,0.09,0.09,0.09,47400,0.09
2013-09-04,0.09,0.09,0.09,0.09,000,0.09
2013-09-03,0.09,0.09,0.09,0.09,1715000,0.09
2013-09-02,0.09,0.09,0.09,0.09,430000,0.09
2013-08-30,0.10,0.10,0.10,0.10,000,0.10
2013-08-29,0.10,0.10,0.10,0.10,000,0.10
2013-08-28,0.10,0.10,0.10,0.10,000,0.10
2013-08-27,0.10,0.10,0.10,0.10,000,0.10
2013-08-26,0.10,0.10,0.10,0.10,000,0.10
2013-08-23,0.10,0.10,0.10,0.10,000,0.10
2013-08-22,0.10,0.10,0.10,0.10,15000,0.10
2013-08-21,0.09,0.09,0.09,0.09,000,0.09
2013-08-20,0.09,0.09,0.09,0.09,103300,0.09
2013-08-19,0.09,0.09,0.09,0.09,000,0.09
2013-08-16,0.09,0.09,0.09,0.09,000,0.09
2013-08-15,0.09,0.09,0.09,0.09,000,0.09
2013-08-14,0.09,0.09,0.09,0.09,26000,0.09
2013-08-13,0.09,0.09,0.09,0.09,25000,0.09
2013-08-12,0.08,0.08,0.08,0.08,000,0.08
2013-08-09,0.08,0.08,0.08,0.08,000,0.08
2013-08-08,0.08,0.08,0.08,0.08,000,0.08
2013-08-07,0.09,0.09,0.08,0.08,344000,0.08
2013-08-06,0.09,0.09,0.09,0.09,396000,0.09
2013-08-05,0.09,0.09,0.09,0.09,680000,0.09
2013-08-02,0.09,0.09,0.09,0.09,854000,0.09
2013-08-01,0.09,0.09,0.09,0.09,600000,0.09
