Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,0.65,0.66,0.65,0.66,447800,0.65
2013-09-19,0.65,0.65,0.65,0.65,380000,0.64
2013-09-18,0.67,0.67,0.65,0.67,126700,0.65
2013-09-17,0.67,0.67,0.65,0.65,190500,0.64
2013-09-16,0.65,0.65,0.65,0.65,1694800,0.64
2013-09-13,0.64,0.67,0.64,0.65,559600,0.64
2013-09-12,0.64,0.64,0.64,0.64,30000,0.63
2013-09-11,0.64,0.65,0.64,0.64,56400,0.63
2013-09-10,0.65,0.65,0.65,0.65,34000,0.64
2013-09-09,0.65,0.65,0.65,0.65,17600,0.64
2013-09-06,0.65,0.66,0.65,0.65,115400,0.64
2013-09-05,0.64,0.64,0.64,0.64,331800,0.63
2013-09-04,0.65,0.65,0.65,0.65,000,0.64
2013-09-03,0.65,0.65,0.65,0.65,50000,0.64
2013-09-02,0.65,0.65,0.65,0.65,12500,0.64
2013-08-30,0.62,0.65,0.62,0.65,4328000,0.64
2013-08-29,0.64,0.64,0.64,0.64,27000,0.63
2013-08-28,0.63,0.64,0.62,0.63,113900,0.62
2013-08-27,0.64,0.65,0.64,0.65,186200,0.64
2013-08-26,0.66,0.66,0.64,0.65,127100,0.64
2013-08-23,0.64,0.67,0.64,0.67,250500,0.66
2013-08-22,0.63,0.64,0.63,0.63,195400,0.62
2013-08-21,0.59,0.64,0.58,0.62,6438000,0.61
2013-08-20,0.47,0.47,0.47,0.47,000,0.46
2013-08-19,0.52,0.52,0.47,0.47,15000,0.46
2013-08-16,0.50,0.51,0.50,0.51,15000,0.50
2013-08-15,0.49,0.49,0.49,0.49,161300,0.48
2013-08-14,0.49,0.49,0.49,0.49,000,0.48
2013-08-13,0.49,0.49,0.49,0.49,000,0.48
2013-08-12,0.49,0.49,0.49,0.49,1600,0.48
2013-08-09,0.49,0.49,0.49,0.49,4600,0.48
2013-08-08,0.49,0.49,0.49,0.49,4500,0.48
2013-08-07,0.49,0.49,0.49,0.49,000,0.48
2013-08-06,0.49,0.49,0.49,0.49,000,0.48
2013-08-05,0.49,0.49,0.49,0.49,000,0.48
2013-08-02,0.50,0.50,0.49,0.49,7000,0.48
2013-08-01,0.49,0.49,0.49,0.49,000,0.48
2013-07-31,0.49,0.49,0.49,0.49,000,0.48
2013-07-30,0.49,0.49,0.49,0.49,23500,0.48
2013-07-29,0.49,0.49,0.49,0.49,2700,0.48
2013-07-26,0.48,0.48,0.48,0.48,000,0.47
2013-07-25,0.48,0.48,0.48,0.48,000,0.47
