Date,Open,High,Low,Close,Volume,Adj Close
2013-09-20,2.21,2.21,2.18,2.21,8294200,2.21
2013-09-19,2.23,2.24,2.20,2.23,411800,2.23
2013-09-18,2.20,2.23,2.20,2.23,391400,2.23
2013-09-17,2.17,2.20,2.14,2.20,378200,2.20
2013-09-16,2.12,2.17,2.10,2.17,272100,2.17
2013-09-13,2.13,2.13,2.08,2.11,218300,2.11
2013-09-12,2.09,2.13,2.09,2.11,144200,2.11
2013-09-11,2.10,2.10,2.10,2.10,210100,2.10
2013-09-10,2.11,2.13,2.08,2.09,338200,2.09
2013-09-09,2.12,2.16,2.11,2.12,177400,2.12
2013-09-06,2.13,2.20,2.10,2.12,346300,2.12
2013-09-05,2.07,2.15,2.06,2.13,1366500,2.13
2013-09-04,2.08,2.08,2.06,2.07,183800,2.07
2013-09-03,2.07,2.08,2.06,2.08,315500,2.08
2013-09-02,2.07,2.07,2.07,2.07,125100,2.07
2013-08-30,2.06,2.07,2.06,2.07,107800,2.07
2013-08-29,2.07,2.08,2.07,2.07,130600,2.07
2013-08-28,2.07,2.08,2.05,2.07,140900,2.07
2013-08-27,2.07,2.07,2.05,2.07,289100,2.07
2013-08-26,2.07,2.07,2.05,2.07,123700,2.07
2013-08-23,2.07,2.07,2.05,2.07,86700,2.07
2013-08-22,2.07,2.07,2.06,2.07,80900,2.07
2013-08-21,2.07,2.07,2.06,2.07,73200,2.07
2013-08-20,2.07,2.07,2.05,2.07,228100,2.07
2013-08-19,2.06,2.07,2.05,2.07,57800,2.07
2013-08-16,2.06,2.07,2.05,2.05,208100,2.05
2013-08-15,2.06,2.07,2.06,2.06,104700,2.06
2013-08-14,2.07,2.07,2.06,2.06,227500,2.06
2013-08-13,2.07,2.07,2.06,2.06,383900,2.06
2013-08-12,2.06,2.07,2.06,2.06,260200,2.06
2013-08-09,2.07,2.07,2.06,2.06,44900,2.06
2013-08-08,2.06,2.07,2.06,2.07,44000,2.07
2013-08-07,2.07,2.07,2.07,2.07,64000,2.07
2013-08-06,2.07,2.07,2.06,2.07,26400,2.07
2013-08-05,2.07,2.07,2.06,2.07,168200,2.07
2013-08-02,2.07,2.07,2.05,2.06,198500,2.06
2013-08-01,2.05,2.07,2.05,2.07,66400,2.07
2013-07-31,2.06,2.08,2.05,2.05,755800,2.05
2013-07-30,2.06,2.07,2.05,2.07,209000,2.07
2013-07-29,2.07,2.08,2.06,2.07,133800,2.07
2013-07-26,2.07,2.08,2.06,2.07,249600,2.07
